name,price,price_per_gb,color,first_word_latency,cas_latency,total_capacity_gb,DDR_version,speed_mhz,num_modules,gb_per_module,capacity,latency,speed
Silicon Power XPOWER Turbine 16 GB,29.97,0.9892667658223633,Blue,0.6962102225260121,0.7032967032967032,0.058823529411764705,4.0,0.3684210526315789,2,8,16,16.0,3200.0
G.Skill Trident Z5 Neo 32 GB,119.99,0.9684329700091016,Black,0.6962102225260121,0.39560439560439553,0.12156862745098039,5.0,0.736842105263158,2,16,32,30.0,6000.0
Kingston FURY Renegade 32 GB,97.15,0.9763580260616689,Black,0.7805878332194123,0.7032967032967032,0.12156862745098039,4.0,0.42105263157894735,2,16,32,16.0,3600.0
G.Skill Flare X5 32 GB,99.99,0.9753701689346682,Black,0.6962102225260121,0.39560439560439553,0.12156862745098039,5.0,0.736842105263158,2,16,32,30.0,6000.0
Silicon Power SP016GBLFU320B22 16 GB,25.97,0.99204164539259,,0.41140730614414833,0.5714285714285714,0.058823529411764705,4.0,0.3684210526315789,2,8,16,22.0,3200.0
G.Skill Trident Z5 Neo RGB 64 GB,219.99,0.9719071192310254,Black / Silver,0.6962102225260121,0.39560439560439553,0.24705882352941178,5.0,0.736842105263158,2,32,64,30.0,6000.0
TEAMGROUP Vulcan Z 16 GB,36.99,0.9843940772970453,Black,0.6962102225260121,0.6593406593406593,0.058823529411764705,4.0,0.42105263157894735,2,8,16,18.0,3600.0
G.Skill Ripjaws S5 32 GB,99.99,0.9753701689346682,Black,0.6962102225260121,0.3516483516483516,0.12156862745098039,5.0,0.7894736842105263,2,16,32,32.0,6400.0
Corsair Dominator Platinum RGB 64 GB,379.99,0.9441583235287588,Black,0.7192222981696667,0.3516483516483516,0.24705882352941178,5.0,0.8157894736842106,4,16,64,32.0,6600.0
Corsair Vengeance RGB 64 GB,199.99,0.9753701689346682,Black,0.4430773904458116,0.17582417582417575,0.24705882352941178,5.0,0.736842105263158,2,32,64,40.0,6000.0
TEAMGROUP T-Force Delta RGB 32 GB,84.99,0.9805758430084134,White,0.4936583883952306,0.21978021978021978,0.12156862745098039,5.0,0.736842105263158,2,16,32,38.0,6000.0
G.Skill Trident Z5 RGB 64 GB,289.99,0.9597642462317135,Black,0.6962102225260121,0.3076923076923077,0.24705882352941178,5.0,0.8421052631578947,2,32,64,34.0,6800.0
Corsair Vengeance RGB RT 256 GB,1379.99,0.9502186605101338,Black,0.6962102225260121,0.6593406593406593,1.0,4.0,0.42105263157894735,8,32,256,18.0,3600.0
