name,price,type,efficiency,wattage,modular,color,efficiency_type,modularity,Watts
Fractal Design Integra M,,ATX,0.8723404255319148,0.2972972972972973,0.6000000000000001,,bronze,Semi,750
be quiet! Straight Power 10,,ATX,0.925531914893617,0.21621621621621623,0.0,,gold,False,600
Sentey SDP650-SS,,ATX,0.851063829787234,0.24324324324324326,0.0,,plus,False,650
Sentey ERP-600-SS,,ATX,0.0,0.21621621621621623,0.0,,white,False,600
Thortech Thunderbolt PLUS,,ATX,0.925531914893617,0.32432432432432434,1.0,,gold,Full,800
Super Flower Leadex VI Platinum PRO,,ATX,0.9574468085106382,0.43243243243243246,1.0,Black / Blue,platinum,Full,1000
Antec True Power,,ATX,0.925531914893617,0.24324324324324326,0.0,,gold,False,650
Super Flower Leadex Gold,,ATX,0.925531914893617,0.24324324324324326,1.0,,gold,Full,650
Thermaltake Smart DPS G,,ATX,0.925531914893617,0.2972972972972973,0.6000000000000001,,gold,Semi,750
SeaSonic SS-850HT Silver,169.0,ATX,0.9042553191489362,0.35135135135135137,0.0,,silver,False,850
Rosewill Capstone,,ATX,0.925531914893617,0.2972972972972973,0.0,,gold,False,750
Antec High Current Pro,,ATX,0.9574468085106382,0.5945945945945946,1.0,,platinum,Full,1300
Nfortec Sagitta RGB,,ATX,0.925531914893617,0.35135135135135137,1.0,Black,gold,Full,850
Xilence XP850MR9,,ATX,0.925531914893617,0.35135135135135137,0.6000000000000001,Black / Red,gold,Semi,850
be quiet! Pure Power 10,,ATX,0.9042553191489362,0.10810810810810811,0.0,,silver,False,400
Cooler Master Silent Pro Hybrid,,ATX,0.925531914893617,0.5945945945945946,1.0,,gold,Full,1300
Antec True Power,,ATX,0.8723404255319148,0.1891891891891892,1.0,,bronze,Full,550
Thermaltake Toughpower Grand,,ATX,0.925531914893617,0.24324324324324326,0.6000000000000001,,gold,Semi,650
Thermaltake Toughpower Grand,,ATX,0.925531914893617,0.2972972972972973,0.6000000000000001,,gold,Semi,750
Rosewill Quark 1000,,ATX,0.9574468085106382,0.43243243243243246,1.0,,platinum,Full,1000
Antec NeoECO 650 Gold,,ATX,0.925531914893617,0.24324324324324326,0.6000000000000001,Black,gold,Semi,650
Antec High Current Pro,269.0,ATX,0.9574468085106382,0.43243243243243246,1.0,,platinum,Full,1000
Cooler Master Extreme 2,,ATX,0.0,0.14864864864864863,0.0,,white,False,475
Cooler Master GXII,,ATX,0.8723404255319148,0.2972972972972973,0.0,,bronze,False,750
Enermax REVOLUTION X't II,,ATX,0.925531914893617,0.2972972972972973,0.6000000000000001,,gold,Semi,750
Raidmax RX-735AP,,ATX,0.8723404255319148,0.2891891891891892,0.6000000000000001,,bronze,Semi,735
