name,price,type,efficiency,wattage,modular,color,efficiency_type,modularity
NZXT HALE 90,,ATX,87.0,750,10.0,,gold,Full
RIOTORO BUILDER,,ATX,87.0,1200,10.0,Black / Red,gold,Full
Sentey MBP HM,,ATX,82.0,850,6.0,Black,bronze,Semi
FSP Group Hydro X,,ATX,87.0,450,0.0,,gold,False
Antec VP,,ATX,80.0,630,0.0,,plus,False
NZXT HALE82N 550W,,ATX,82.0,550,0.0,,bronze,False
Enermax EMG900EWT,,ATX,87.0,900,10.0,,gold,Full
NZXT HALE82N 650W,,ATX,82.0,650,0.0,,bronze,False
Fractal Design Tesla R2,,ATX,87.0,800,0.0,,gold,False
OCZ ZX,,ATX,87.0,1000,10.0,,gold,Full
Lian Li PE,,SFX,87.0,550,10.0,,gold,Full
Enermax ENP500AWT,,ATX,80.0,500,0.0,,plus,False
OCZ ZX,,ATX,87.0,1250,10.0,,gold,Full
Thermaltake Toughpower Grand,,ATX,87.0,850,0.0,,gold,False
FSP Group AURUM GOLD 400,,ATX,87.0,400,0.0,,gold,False
BFG BFGR650WGSPSU,,ATX,0.0,650,0.0,,white,False
Cooler Master Hyper White,,ATX,80.0,400,0.0,Black,plus,False
Rosewill Capstone G750,,ATX,87.0,750,6.0,,gold,Semi
Rosewill Capstone G1000,,ATX,87.0,1000,6.0,,gold,Semi
G.Skill PS850P,,ATX,90.0,850,10.0,Black,platinum,Full
Thermaltake Toughpower,,ATX,85.0,1200,6.0,,silver,Semi
Cougar CMD 600,,ATX,82.0,600,6.0,Black / Blue,bronze,Semi
Cooler Master VSM,,ATX,87.0,650,6.0,,gold,Semi
LC-Power LC1000 V2.4,,ATX,90.0,1000,10.0,Black,platinum,Full
Diablotek PSDA300,,ATX,0.0,300,0.0,,white,False
Antec High Current Pro,,ATX,87.0,850,6.0,,gold,Semi
Rosewill ARC M650,,ATX,82.0,650,6.0,,bronze,Semi
Fractal Design Tesla R2,,ATX,87.0,650,0.0,,gold,False
Fractal Design Integra R2,,ATX,82.0,650,0.0,,bronze,False
Linkworld LPK2-30-P4,,ATX,0.0,500,0.0,,white,False
Enermax REVOLUTION DUO,,ATX,87.0,700,0.0,Black,gold,False
Sentey ERP-700-SS,,ATX,0.0,700,0.0,,white,False
Sentey ERP-500-SM,,ATX,0.0,500,10.0,,white,Full
Antec High Current Gamer Extreme,,ATX,87.0,850,10.0,,gold,Full
Cooler Master MasterWatt,,ATX,82.0,450,6.0,Black,bronze,Semi
Ultra X4 Special Edition,,ATX,82.0,850,10.0,,bronze,Full
Super Flower Golden Silent,,ATX,87.0,430,6.0,,gold,Semi
LC-Power LC6460GP3 V2.3 230V,,ATX,85.0,460,0.0,Black,silver,False
Super Flower Leadex Gold,,ATX,87.0,750,10.0,,gold,Full
Thermaltake German,,ATX,87.0,650,6.0,,gold,Semi
LEPA G800-MB,,ATX,87.0,800,6.0,,gold,Semi
Thermaltake Toughpower DPS G,,ATX,87.0,850,10.0,,gold,Full
StarTech ATX2POWER350,,ATX,0.0,350,0.0,,white,False
SeaSonic Platinum,128.04,ATX,82.0,600,0.0,,bronze,False
Apex AL-A400ATX,80.0,ATX,0.0,400,0.0,,white,False
Noua Volture GX-MV,,ATX,87.0,850,10.0,Black,gold,Full
Super Flower LEADEX Special Edition,,ATX,90.0,1000,10.0,Black,platinum,Full
Rosewill VALENS-500,,ATX,87.0,500,0.0,,gold,False
Rosewill VALENS-600M,,ATX,87.0,600,6.0,,gold,Semi
Raidmax Vampire,,ATX,87.0,700,6.0,,gold,Semi
LC-Power LC6450 V2.3,,ATX,82.0,450,0.0,Black,bronze,False
Enermax REVOLUTION X't,,ATX,87.0,630,6.0,,gold,Semi
Ultra X4,,ATX,82.0,750,10.0,,bronze,Full
Ultra X4,,ATX,85.0,1050,10.0,,silver,Full
XFX XTR,,ATX,87.0,550,10.0,,gold,Full
Fractal Design Edison M,,ATX,87.0,450,6.0,,gold,Semi
Fractal Design Edison M,,ATX,87.0,550,6.0,,gold,Semi
FirePower ZX,,ATX,87.0,850,10.0,,gold,Full
Thermaltake Toughpower Grand,,ATX,90.0,1200,10.0,,platinum,Full
Super Flower Leadex Platinum,,ATX,90.0,750,10.0,Black,platinum,Full
Rocketfish RF-900WPS,,ATX,0.0,900,10.0,,white,Full
Thermaltake Toughpower XT,,ATX,87.0,1475,6.0,,gold,Semi
Thermaltake Toughpower XT,,ATX,87.0,1375,6.0,,gold,Semi
Rosewill RD-Z,,ATX,80.0,500,0.0,Black,plus,False
PC Power & Cooling Silencer MK III,,ATX,82.0,400,6.0,,bronze,Semi
SeaSonic PRIME Ultra Gold 550,,ATX,87.0,550,10.0,Black,gold,Full
In Win Commander III,,ATX,87.0,800,6.0,,gold,Semi
Cooler Master Silent Pro Hybrid,,ATX,87.0,1050,10.0,,gold,Full
E-Power EP-600NE-XV,,ATX,0.0,600,0.0,,white,False
LEPA G1000-MA,,ATX,87.0,1000,6.0,,gold,Semi
In Win Commander III 600,,ATX,87.0,600,6.0,,gold,Semi
Cougar RX600,,ATX,80.0,600,0.0,,plus,False
Antec Basiq,,ATX,0.0,500,0.0,,white,False
Cougar RX500,,ATX,80.0,500,0.0,,plus,False
Antec Earthwatts,,ATX,80.0,750,0.0,,plus,False
Antec NeoECO,,ATX,80.0,400,0.0,,plus,False
Antec True Power,,ATX,82.0,750,10.0,,bronze,Full
Apevia ITX-AP250W,,Mini ITX,0.0,250,0.0,,white,False
HEC HP485D Retail,,ATX,0.0,485,0.0,,white,False
XFX ProSeries,,ATX,87.0,1050,10.0,,gold,Full
CoolMax CL-700B,,ATX,0.0,700,0.0,,white,False
CoolMax CUL-650B,,ATX,0.0,650,6.0,,white,Semi
Enermax EGX1250EWT,,ATX,82.0,1250,6.0,,bronze,Semi
Enermax EMG800EWT,,ATX,87.0,800,10.0,,gold,Full
OCZ Z Series Gold,,ATX,87.0,1000,6.0,,gold,Semi
Raidmax RX-1000AE,,ATX,87.0,1000,6.0,,gold,Semi
Raidmax RX-600AF,,ATX,82.0,600,0.0,,bronze,False
Rosewill Libertas,,ATX,80.0,650,10.0,,plus,Full
Rosewill Libertas,,ATX,82.0,800,10.0,,bronze,Full
Rosewill Lightning,,ATX,87.0,800,6.0,,gold,Semi
Silverstone Strider,,ATX,87.0,1200,10.0,,gold,Full
Rosewill RV350,,ATX,0.0,350,0.0,,white,False
Silverstone DA700,,ATX,0.0,700,10.0,,white,Full
Silverstone Strider,,ATX,87.0,1000,6.0,,gold,Semi
Thermaltake Toughpower,,ATX,85.0,1350,6.0,,silver,Semi
Thermaltake TR2,,ATX,80.0,1000,6.0,,plus,Semi
Thermaltake TR2,,ATX,0.0,650,10.0,,white,Full
Thermaltake TR2,,ATX,87.0,500,0.0,,gold,False
Rosewill Quark 650,,ATX,90.0,650,10.0,,platinum,Full
SeaSonic SSP-550RT,,ATX,87.0,550,0.0,,gold,False
SeaSonic SSP-650RT,,ATX,87.0,650,0.0,,gold,False
Xion AXP-850K14XE,,ATX,82.0,850,6.0,,bronze,Semi
Xion AXP-1000K14XE,,ATX,82.0,1000,6.0,,bronze,Semi
Apevia Raptor,,ATX,0.0,450,0.0,Black / Red,white,False
Thortech Thunderbolt,,ATX,87.0,1200,10.0,,gold,Full
Enermax EPM750AWT,,ATX,90.0,750,6.0,,platinum,Semi
Enermax EPM600AWT,,ATX,90.0,600,6.0,,platinum,Semi
Enermax RevoBron,,ATX,82.0,600,6.0,,bronze,Semi
Thermaltake Toughpower,,ATX,80.0,1000,0.0,,plus,False
Cougar RSB400,,ATX,80.0,400,0.0,,plus,False
FSP Group AU-1000PRO,,ATX,87.0,1000,0.0,,gold,False
FSP Group AU-850PRO,,ATX,87.0,850,0.0,,gold,False
Thermaltake Toughpower DPS G RGB Gold,,ATX,87.0,750,10.0,,gold,Full
