name,price,type,efficiency,wattage,modular,color,efficiency_type,modularity
CoolMax ZU-900B,,ATX,82.0,900,6.0,,bronze,Semi
Zalman LE,,ATX,0.0,400,0.0,,white,False
be quiet! Straight Power E9,,ATX,87.0,600,0.0,,gold,False
PC Power & Cooling S75CF,,ATX,80.0,750,0.0,,plus,False
Enermax ETL450AWT-M,,ATX,82.0,450,6.0,,bronze,Semi
CoolMax RM-1000B,,ATX,0.0,1000,0.0,,white,False
Logisys PS550AC,,ATX,0.0,550,0.0,,white,False
Sparkle FSP300-60THA,,ATX,0.0,300,0.0,,white,False
GAMDIAS ASTRAPE P1 G,,ATX,87.0,650,10.0,Black / Multicolor,gold,Full
Cougar DX600,,ATX,80.0,600,0.0,,plus,False
Diablotek PHD550,,ATX,0.0,550,0.0,,white,False
Diablotek PSDA500,,ATX,0.0,500,0.0,,white,False
Diablotek PSDA350,,ATX,0.0,350,0.0,,white,False
Diablotek PSDA400,,ATX,0.0,400,0.0,,white,False
Diablotek PSDA600,,ATX,0.0,600,0.0,,white,False
Rosewill Fortress,,ATX,90.0,450,0.0,,platinum,False
Xion XON-1250P14HE,,ATX,0.0,1250,0.0,,white,False
Xion AXP-850R14N,,ATX,0.0,850,0.0,,white,False
Xion XON-800R14N,,ATX,0.0,800,10.0,,white,Full
StarTech ATXPW500PRO2,,ATX,0.0,500,0.0,,white,False
StarTech ATXPOW350PRO,,ATX,0.0,350,0.0,,white,False
StarTech ATX2PW530PRO,,ATX,82.0,530,0.0,,bronze,False
StarTech ATXPW350DELL,,ATX,0.0,350,0.0,,white,False
Xion AXP-700W14FG,,ATX,87.0,700,10.0,,gold,Full
Xion AXP-1000R14HE,,ATX,82.0,1000,10.0,,bronze,Full
NZXT HALE90 V2,,ATX,87.0,850,10.0,,gold,Full
StarTech ATX2POW450HS,,ATX,0.0,450,0.0,,white,False
Azza PSAZ-1000PT14,,ATX,90.0,1000,6.0,,platinum,Semi
CoolMax CU-700B,,ATX,0.0,700,6.0,,white,Semi
Aerocool GT-1050SG,,ATX,87.0,1050,6.0,,gold,Semi
LEPA G1200-MA,,ATX,87.0,1200,6.0,,gold,Semi
Zalman 1000-HP Plus,,ATX,85.0,1000,10.0,,silver,Full
Sentey MBP HM,,ATX,82.0,650,6.0,Black,bronze,Semi
Sentey MBP HM,,ATX,82.0,1000,6.0,Black,bronze,Semi
XFX P1-650X-XXB9,,ATX,82.0,650,6.0,,bronze,Semi
XFX P1-850X-XXB9,,ATX,82.0,850,6.0,,bronze,Semi
Kingwin Lazer,,ATX,80.0,750,10.0,,plus,Full
PC Power & Cooling PPCT860,,ATX,80.0,860,0.0,,plus,False
Kingwin Lazer,,ATX,82.0,850,6.0,,bronze,Semi
Kingwin Lazer Gold,,ATX,87.0,550,10.0,,gold,Full
Kingwin MK,,ATX,0.0,750,0.0,,white,False
FSP Group Raider 450,,ATX,82.0,450,0.0,,bronze,False
XFX P1-650S-CAB9,,ATX,82.0,650,0.0,,bronze,False
PC Power & Cooling Silencer,,ATX,85.0,910,0.0,,silver,False
Sparkle Magna GOLD PRO,,ATX,87.0,850,6.0,,gold,Semi
FSP Group FSP300-60GHT,,TFX,80.0,300,0.0,,plus,False
FSP Group FSP300-60GHS-R,,SFX,80.0,300,0.0,,plus,False
XClio GreatPower,,ATX,80.0,500,10.0,,plus,Full
FSP Group ZEN 400,,ATX,82.0,400,0.0,,bronze,False
FSP Group SAGA+ 500R,,ATX,0.0,500,0.0,,white,False
FSP Group SAGA+ 400R,,ATX,0.0,400,0.0,,white,False
Broadway Com Corp OKIA-BLACK-680,,ATX,0.0,680,0.0,,white,False
SHARKOON WPM Bronze,,ATX,82.0,400,6.0,,bronze,Semi
Enermax Platimax D.F.,,ATX,90.0,850,10.0,,platinum,Full
Enermax ENP350AST,,ATX,0.0,350,0.0,,white,False
PC Power & Cooling T12W,,ATX,0.0,1200,0.0,,white,False
Enermax ENP550AWT,,ATX,0.0,550,0.0,,white,False
Kingwin Lazer Platinum,,ATX,90.0,550,6.0,,platinum,Semi
Silverstone Strider,,ATX,85.0,500,0.0,,silver,False
be quiet! Power Zone,,ATX,82.0,750,10.0,,bronze,Full
PC Power & Cooling Silencer Mk II,,ATX,82.0,650,0.0,,bronze,False
XClio Goodpower 750W,,ATX,82.0,750,10.0,,bronze,Full
Rosewill PHOTON 1350,,ATX,87.0,1350,10.0,Black,gold,Full
Enermax REVOLUTION DUO,,ATX,87.0,500,0.0,,gold,False
Rosewill Tachyon,,ATX,90.0,550,6.0,,platinum,Semi
Rosewill Tachyon,,ATX,90.0,750,6.0,,platinum,Semi
Rosewill Capstone G1200,,ATX,87.0,1200,6.0,,gold,Semi
Solid Gear SDGR-900E,,ATX,0.0,900,0.0,,white,False
FSP Group AURUM 92+,,ATX,90.0,550,6.0,,platinum,Semi
LEPA MaxGold,,ATX,87.0,500,0.0,,gold,False
LEPA MX-F1,,ATX,0.0,350,0.0,,white,False
Athena Power AP-MFATX35,,Mini ITX,82.0,350,0.0,,bronze,False
FSP Group PT1200FM,,ATX,90.0,1200,10.0,,platinum,Full
Cooler Master VSM,,ATX,87.0,750,6.0,,gold,Semi
In Win Commander II,,ATX,82.0,1200,10.0,,bronze,Full
Logisys PS550E12,,ATX,0.0,550,0.0,,white,False
Logisys PS480X2,,ATX,0.0,480,0.0,,white,False
Logisys PS575XBK,,ATX,0.0,575,0.0,,white,False
Rosewill ARC M450,,ATX,82.0,450,6.0,,bronze,Semi
Topower GAPS-500LX,,ATX,0.0,500,0.0,,white,False
Xion EN-600F12,,ATX,0.0,600,0.0,,white,False
Nfortec Sagitta RGB,,ATX,87.0,1050,10.0,Black,gold,Full
LEPA G1000-MB,,ATX,87.0,1000,10.0,,gold,Full
In Win Glacier,,ATX,87.0,900,6.0,,gold,Semi
Fractal Design Tesla R2,,ATX,87.0,500,0.0,,gold,False
BitFenix Fury,,ATX,87.0,550,6.0,,gold,Semi
Cougar CMX1200V3,,ATX,82.0,1200,6.0,,bronze,Semi
Cyonic AU-450X,,ATX,87.0,450,10.0,,gold,Full
Sentey GSP750-SM,,ATX,87.0,750,10.0,,gold,Full
Sentey GSP850-SM,,ATX,87.0,850,10.0,,gold,Full
Sentey GSP1000-SM,,ATX,87.0,1000,10.0,,gold,Full
Sentey ERP-400-SS,,ATX,0.0,400,0.0,,white,False
Linkworld LPG8 630w,,ATX,0.0,630,0.0,,white,False
Cougar COUGAR-A760,,ATX,82.0,760,0.0,,bronze,False
Cougar COUGAR-RS650,,ATX,80.0,650,0.0,,plus,False
PC Power & Cooling Silencer MK III,,ATX,87.0,850,6.0,,gold,Semi
Sparkle SPI300T8AB-B204,,TFX,82.0,300,0.0,,bronze,False
Cougar COUGAR-PX700,,ATX,82.0,700,0.0,,bronze,False
Xion XON-1000P14F,,ATX,0.0,1000,0.0,,white,False
Topower TOP-900W,,ATX,80.0,900,10.0,,plus,Full
Kingwin STR-500,,ATX,90.0,500,6.0,,platinum,Semi
FSP Group AU-750M,,ATX,87.0,750,6.0,,gold,Semi
LEPA B550-MB,,ATX,82.0,550,6.0,,bronze,Semi
Super Flower Amazon,,ATX,82.0,550,0.0,,bronze,False
Thermaltake Toughpower,,ATX,85.0,1000,6.0,,silver,Semi
Ultra U12-42467,,ATX,82.0,750,6.0,,bronze,Semi
Raidmax Vampire,,ATX,87.0,900,6.0,,gold,Semi
Corsair CX-430 V3,,ATX,82.0,430,0.0,,bronze,False
Sparkle R-SPI700GHN,,ATX,80.0,700,0.0,,plus,False
FSP Group FSP300-60GHT(85),,TFX,82.0,300,0.0,,bronze,False
Enermax ENP650AWT B,,ATX,82.0,650,0.0,,bronze,False
Enermax ENP550AWT B,,ATX,82.0,550,0.0,,bronze,False
SeaSonic PRIME AIRTOUCH,,ATX,87.0,850,10.0,Black / Red,gold,Full
Logisys PS600XBK,,ATX,0.0,600,0.0,,white,False
E-Power EP-1200P10-T2,,ATX,80.0,1200,6.0,,plus,Semi
Enermax REVOLUTION X't,,ATX,87.0,530,6.0,,gold,Semi
Kingwin KX-1000,,ATX,82.0,1000,6.0,,bronze,Semi
Kingwin Lazer Gold,,ATX,87.0,1300,6.0,,gold,Semi
FirePower ZT,,ATX,82.0,550,10.0,,bronze,Full
In Win Commander II,,ATX,82.0,850,10.0,,bronze,Full
Thermaltake Toughpower Grand,,ATX,90.0,1050,10.0,,platinum,Full
Thermaltake EVO_Blue,,ATX,0.0,650,10.0,,white,Full
Rosewill Glacier 1200M,,ATX,82.0,1200,6.0,,bronze,Semi
HEC HEC200SAFX,,Mini ITX,0.0,200,0.0,,white,False
Thortech Thunderbolt PLUS,,ATX,87.0,1200,10.0,,gold,Full
Thortech Thunderbolt PLUS,,ATX,87.0,1000,10.0,,gold,Full
VIVO 24K,,ATX,87.0,650,10.0,,gold,Full
TUNIQ PSU-POT750-BK,,ATX,82.0,750,0.0,,bronze,False
Cougar VTE X2,,ATX,80.0,700,0.0,Black,plus,False
NZXT HALE90 V2,,ATX,87.0,1000,10.0,,gold,Full
NZXT HALE82,,ATX,82.0,650,6.0,,bronze,Semi
LEPA G,,ATX,87.0,650,6.0,,gold,Semi
Silverstone OP850,,ATX,0.0,850,0.0,,white,False
CoolMax ZP-750B,,ATX,82.0,750,6.0,,bronze,Semi
E-Power EP-500LS-1,,ATX,0.0,500,0.0,,white,False
NZXT HALE82,,ATX,82.0,750,6.0,,bronze,Semi
Apevia ATX-AS500W-BL,,ATX,0.0,500,0.0,,white,False
Apevia ATX-AS500W-GN,,ATX,0.0,500,0.0,,white,False
Apevia ATX-CW500WP4,,ATX,0.0,500,0.0,,white,False
Apevia ATX-TL450W-BK,,ATX,0.0,450,0.0,,white,False
Apex AL-A350ATX,,ATX,0.0,350,0.0,,white,False
HEC Raptor500,,ATX,0.0,500,0.0,,white,False
HEC HP585D,,ATX,0.0,585,0.0,,white,False
HEC X-Power Pro 650,,ATX,0.0,650,0.0,,white,False
HEC XPOWER585 OEM,,ATX,0.0,585,0.0,,white,False
HEC XPOWER780,,ATX,0.0,600,0.0,,white,False
HEC ZEPHYR650,,ATX,0.0,650,0.0,,white,False
HEC Zephyr MX-750,,ATX,82.0,750,0.0,,bronze,False
Topower ZU-500W,,ATX,0.0,500,0.0,,white,False
CoolMax CU-600B,,ATX,0.0,600,6.0,,white,Semi
CoolMax CA-350,,ATX,0.0,350,0.0,,white,False
CoolMax CA-400,,ATX,0.0,400,0.0,,white,False
CoolMax CT-450 (silver),,ATX,0.0,450,0.0,,white,False
CoolMax VL-600B,,ATX,0.0,600,0.0,,white,False
CoolMax CUG-700B,,ATX,0.0,700,10.0,,white,Full
CoolMax CUG-950B,,ATX,0.0,950,10.0,,white,Full
VisionTek 900489,,ATX,82.0,700,6.0,,bronze,Semi
VisionTek 900490,,ATX,82.0,800,6.0,,bronze,Semi
VisionTek 900488,,ATX,0.0,550,10.0,,white,Full
CoolMax CUL-750B,,ATX,0.0,750,6.0,,white,Semi
CoolMax CUL-850B,,ATX,0.0,850,6.0,,white,Semi
CoolMax CUQ-1350B,,ATX,80.0,1350,0.0,,plus,False
CoolMax CX-400B,,ATX,0.0,400,0.0,,white,False
CoolMax CXI-600B,,ATX,0.0,600,0.0,,white,False
VisionTek 900347,,ATX,0.0,650,0.0,,white,False
Dynapower EJ-750A80,,ATX,82.0,750,10.0,,bronze,Full
Dynapower EP-45X.0562B,,ATX,0.0,450,0.0,,white,False
Enermax EMG700AWT,,ATX,87.0,700,10.0,,gold,Full
Enermax EPG500AWT,,ATX,87.0,500,0.0,,gold,False
Enermax EPG600AWT,,ATX,87.0,600,0.0,,gold,False
Sparkle R-SPI650ACAG,,ATX,87.0,650,0.0,,gold,False
Sparkle R-SPI750ACAG,,ATX,87.0,750,0.0,,gold,False
Rosewill LP-6100C,,ATX,0.0,300,0.0,,white,False
Rosewill SL-300TFX,,TFX,0.0,300,0.0,,white,False
Silverstone OP1000-E,,ATX,0.0,1000,0.0,,white,False
Silverstone OP1000-P,,ATX,80.0,1000,0.0,,plus,False
Silverstone OP750,,ATX,0.0,750,0.0,,white,False
Silverstone OP800,,ATX,0.0,800,0.0,,white,False
XClio STABLEPOWER GOLD 1000W,,ATX,87.0,1000,10.0,,gold,Full
XClio STABLEPOWER GOLD 750W,,ATX,87.0,750,10.0,,gold,Full
Sunbeam IC-PSU-US-2545-DW,,ATX,0.0,450,0.0,,white,False
Sunbeam PSU-BKS580-US,,ATX,0.0,580,0.0,,white,False
Sunbeam PSU-COM680-BK-US,,ATX,0.0,680,10.0,,white,Full
Sunbeam PSU-H680-REV-US,,ATX,0.0,680,0.0,,white,False
Sunbeam PSU-H680-REV-US-BL,,ATX,0.0,680,0.0,,white,False
Sunbeam PSU-HUSH580-US,,ATX,0.0,580,0.0,,white,False
Thermaltake TR2,,ATX,80.0,1200,6.0,,plus,Semi
XFX P1-650X-CAH9,,ATX,82.0,650,10.0,,bronze,Full
XFX Black Edition,,ATX,85.0,850,10.0,,silver,Full
Kingwin Lazer Platinum,,ATX,90.0,850,6.0,,platinum,Semi
SeaSonic SS-350SFE,,SFX,80.0,350,0.0,,plus,False
Sparkle GW-EPS1250DA,,ATX,87.0,1250,10.0,,gold,Full
Xion AXP-700K14XE,,ATX,82.0,700,6.0,,bronze,Semi
Sparkle R-SPI900GCM,,ATX,80.0,900,6.0,,plus,Semi
Kingwin AP-550,,ATX,90.0,550,0.0,,platinum,False
Sparkle SCC-850AF,,ATX,87.0,850,6.0,,gold,Semi
E-Power EP-550P5-T1,,ATX,0.0,550,10.0,,white,Full
Topower ZU-950,,ATX,0.0,950,0.0,,white,False
Sparkle FSP400-60GHS,,SFX,82.0,400,0.0,,bronze,False
Topower ZU-450W,,ATX,0.0,450,0.0,,white,False
Sparkle ATX-400PN-B204,,ATX,0.0,400,0.0,,white,False
Sparkle FSP300THAR-MC,,ATX,0.0,300,0.0,,white,False
Topower ZU-400W12,,ATX,0.0,400,0.0,,white,False
Thermaltake W0328RU,,ATX,0.0,350,0.0,,white,False
Topower TOP-400W801,,ATX,80.0,400,0.0,,plus,False
Sparkle R-SPI700ACH5B,,ATX,85.0,700,0.0,,silver,False
BFG EX-1000,,ATX,82.0,1000,10.0,,bronze,Full
Kingwin ABT-610MM,,ATX,0.0,610,0.0,,white,False
Sparkle R-SPI600ACH5B,,ATX,85.0,600,0.0,,silver,False
Logisys AT750BK,,ATX,82.0,750,0.0,,bronze,False
Silverstone Zeus,,ATX,85.0,1350,10.0,,silver,Full
CoolMax CL-500B,,ATX,0.0,500,0.0,,white,False
Ultra ULT-LSP550,,ATX,0.0,550,0.0,,white,False
Enermax ETL550AWT-M,,ATX,82.0,550,6.0,,bronze,Semi
Enermax ETL650AWT-M,,ATX,82.0,650,6.0,,bronze,Semi
Topower ZU-1050W,,ATX,0.0,1050,0.0,,white,False
Enermax REVOLUTION X't II,,ATX,87.0,550,6.0,,gold,Semi
CoolMax ZP-850B,,ATX,82.0,850,6.0,,bronze,Semi
Rosewill RV2-600,,ATX,0.0,600,0.0,,white,False
GAMDIAS ASTRAPE E1,,ATX,80.0,550,0.0,Black / Multicolor,plus,False
Cougar DX500,,ATX,80.0,500,0.0,,plus,False
Topower TOP-1200W,,ATX,80.0,1200,10.0,,plus,Full
Diablotek PHD450,,ATX,0.0,450,0.0,,white,False
Diablotek PHD650,,ATX,0.0,650,0.0,,white,False
Athena Power AP-P4ATX55FEC,,ATX,0.0,550,0.0,,white,False
Athena Power AP-P4ATX35,,ATX,0.0,350,0.0,,white,False
Athena Power AP-P4ATX85FEP,,ATX,0.0,850,0.0,,white,False
Diablotek PHD750,,ATX,0.0,750,0.0,,white,False
Diablotek PHD850,,ATX,0.0,850,0.0,,white,False
Rosewill Fortress,,ATX,90.0,550,0.0,,platinum,False
Apevia XG,,ATX,0.0,450,0.0,,white,False
Xion XON-1100P14HE,,ATX,0.0,1100,0.0,,white,False
XClio STABLEPOWER 850W,,ATX,0.0,850,0.0,,white,False
StarTech ATXPW550PRO2,,ATX,0.0,550,0.0,,white,False
XClio GreatPower,,ATX,80.0,600,10.0,,plus,Full
XClio DIAMONDPOWER 880W,,ATX,0.0,880,0.0,,white,False
StarTech ATX2POWER400,,ATX,0.0,400,0.0,,white,False
StarTech ATX2POWER430,,ATX,80.0,430,0.0,,plus,False
StarTech ATX2POWER530,,ATX,82.0,530,0.0,,bronze,False
StarTech ATX2PW450PRO,,ATX,0.0,450,0.0,,white,False
StarTech ATX2PW400PRO,,ATX,0.0,400,0.0,,white,False
StarTech ATX2POWER450,,ATX,0.0,450,0.0,,white,False
StarTech ATX2POW400HS,,ATX,0.0,400,0.0,,white,False
StarTech ATX2PW430PRO,,ATX,82.0,430,0.0,,bronze,False
XClio GOODPOWER 500W,,ATX,0.0,500,0.0,,white,False
StarTech ATX2POW500HS,,ATX,0.0,500,0.0,,white,False
StarTech ATX2PW550PRO,,ATX,0.0,550,0.0,,white,False
CoolMax CUQ-1200B,,ATX,80.0,1200,0.0,,plus,False
CoolMax CX-550B,,ATX,0.0,550,0.0,,white,False
CoolMax RM-750B,,ATX,0.0,750,0.0,,white,False
NZXT HALE 90,,ATX,87.0,650,10.0,,gold,Full
CoolMax CUL-950B,,ATX,0.0,950,6.0,,white,Semi
XClio GreatPower,,ATX,80.0,550,10.0,,plus,Full
XClio STABLEPOWER 460W,,ATX,0.0,460,0.0,,white,False
XClio GreatPower,,ATX,80.0,650,10.0,,plus,Full
XClio STABLEPOWER 500W,,ATX,0.0,500,0.0,,white,False
Kingwin ABT-450MM,,ATX,0.0,450,0.0,,white,False
Kingwin ABT-850MM,,ATX,0.0,850,0.0,,white,False
Kingwin ABT-1050MM,,ATX,0.0,1050,0.0,,white,False
PC Power & Cooling S75CF-B,,ATX,80.0,750,0.0,,plus,False
PC Power & Cooling S61EPS-B,,ATX,80.0,610,0.0,,plus,False
Rosewill CFZ,,ATX,82.0,600,6.0,Black,bronze,Semi
Kingwin Mach 1,,ATX,82.0,1220,10.0,,bronze,Full
Kingwin Lazer Gold,,ATX,87.0,1000,10.0,,gold,Full
Kingwin Lazer Gold,,ATX,87.0,850,10.0,,gold,Full
Kingwin ABT-730MM,,ATX,0.0,730,0.0,,white,False
Kingwin Lazer Gold,,ATX,87.0,700,10.0,,gold,Full
FSP Group FSP650-80EGN,,ATX,87.0,650,0.0,,gold,False
Kingwin MK,,ATX,0.0,850,0.0,,white,False
Kingwin MK,,ATX,0.0,650,0.0,,white,False
Kingwin MK,,ATX,0.0,1000,0.0,,white,False
Kingwin MKX,,ATX,0.0,850,6.0,,white,Semi
XClio STABLEPOWER 1000W,,ATX,0.0,1000,0.0,,white,False
Raidmax RX-700AT,,ATX,94.0,700,6.0,Black,titanium,Semi
XFX P1-850S-CAB9,,ATX,82.0,850,0.0,,bronze,False
XFX P1-750S-CAB9,,ATX,82.0,750,0.0,,bronze,False
SeaSonic SS-300TGW,,TFX,87.0,300,0.0,,gold,False
Enermax ENP600AWT,,ATX,80.0,600,0.0,,plus,False
FSP Group SAGA+ 450R,,ATX,0.0,450,0.0,,white,False
PC Power & Cooling Silencer MK III,,ATX,90.0,1200,6.0,,platinum,Semi
Noua Hyper ZR65,,ATX,82.0,650,0.0,Black,bronze,False
Broadway Com Corp OKIA-BLACK-550,,ATX,0.0,550,0.0,,white,False
Broadway Com Corp OKIA-BLACK-600,,ATX,0.0,600,0.0,,white,False
Broadway Com Corp P4-OKIA-550-RB,,ATX,0.0,550,0.0,,white,False
XClio GreatPower,,ATX,80.0,850,10.0,,plus,Full
PC Power & Cooling PPCT1200ESA,,ATX,0.0,1200,0.0,,white,False
XFX P1850SNLB9,,ATX,82.0,850,0.0,,bronze,False
Enermax EGX850EWL,,ATX,80.0,850,10.0,,plus,Full
Sunbeam PSU-HUSH580-US-BL,,ATX,0.0,580,0.0,,white,False
be quiet! Power Zone,,ATX,82.0,650,10.0,,bronze,Full
RIOTORO ENIGMA 850,,ATX,87.0,850,6.0,,gold,Semi
RIOTORO ONYX 750,,ATX,82.0,750,6.0,,bronze,Semi
XClio Goodpower 550W,,ATX,82.0,550,10.0,,bronze,Full
XClio Goodpower 650W,,ATX,82.0,650,10.0,,bronze,Full
Sparkle R-SPI600GHN,,ATX,80.0,600,0.0,,plus,False
Sparkle Magna,,ATX,82.0,1200,6.0,,bronze,Semi
Kingwin Lazer,,ATX,0.0,660,10.0,,white,Full
Rosewill Tachyon,,ATX,90.0,650,6.0,,platinum,Semi
Rosewill Tachyon,,ATX,90.0,1000,6.0,,platinum,Semi
LEPA MaxBron,,ATX,82.0,700,6.0,,bronze,Semi
LEPA MaxGold,,ATX,87.0,700,6.0,,gold,Semi
LEPA MaxGold,,ATX,87.0,600,0.0,,gold,False
FSP Group Hydro PTM,,ATX,90.0,550,10.0,Black,platinum,Full
Sparkle R-SPI1000GCM,,ATX,80.0,1000,6.0,,plus,Semi
FSP Group Raider S 650,,ATX,85.0,650,0.0,,silver,False
CoolMax ZPG-1000B,,ATX,87.0,1000,6.0,,gold,Semi
In Win Commander II,,ATX,82.0,750,10.0,,bronze,Full
CoolMax ZPG-1200B,,ATX,87.0,1200,6.0,,gold,Semi
Logisys PS480D-BK,,ATX,0.0,480,0.0,,white,False
Logisys PS480E12,,ATX,0.0,480,0.0,,white,False
Topower TOP-650PM,,ATX,0.0,650,0.0,,white,False
Topower GAPS-500MX,,ATX,0.0,500,10.0,,white,Full
Topower TOP-500PM,,ATX,0.0,500,0.0,,white,False
Topower TOP-500WB,,ATX,82.0,500,0.0,,bronze,False
Xion EN-450F12BK,,ATX,0.0,450,0.0,,white,False
Thermaltake Toughpower DPS G,,ATX,87.0,750,10.0,,gold,Full
BitFenix Fury,,ATX,87.0,650,6.0,,gold,Semi
HEC Zephyr 700 CM,,ATX,80.0,700,6.0,,plus,Semi
Cyonic AU-550X,,ATX,87.0,550,10.0,,gold,Full
Sentey SDP850-SS,,ATX,80.0,850,0.0,,plus,False
Sentey ERP-600-SM,,ATX,0.0,600,10.0,,white,Full
Sentey SDP750-SS,,ATX,80.0,750,0.0,,plus,False
Sentey ERP-500-SS,,ATX,0.0,500,0.0,,white,False
Sentey ERP-500-SMR,,ATX,0.0,500,10.0,,white,Full
Antec NeoECO Platinum,,ATX,90.0,650,10.0,Black,platinum,Full
Cougar COUGAR-RS450,,ATX,80.0,450,0.0,,plus,False
Xion XON-700P12F,,ATX,0.0,700,0.0,,white,False
Cougar COUGAR-SX850,,ATX,85.0,850,10.0,,silver,Full
Apevia Astro,,ATX,0.0,450,0.0,Black,white,False
Silverstone NJ600,,ATX,94.0,600,10.0,Silver,titanium,Full
Mushkin MKNPSJL1000,,ATX,87.0,1000,0.0,,gold,False
Ultra U12-42466,,ATX,82.0,650,6.0,,bronze,Semi
