name,price,socket,form_factor,max_memory,memory_slots,color,manufacturer,chipset,SATA,M.2,BAND,PCIe,OC,WIFI
Asus P9X79-E WS,,2011,SSI CEB,64,8,Black / Blue,Asus,X79,6,0,16,2,TRUE,FALSE
Asus Z87M-Plus,,1150,Micro ATX,32,4,Black / Gold,Asus,Z87,6,0,4,3,TRUE,FALSE
Asus Z87-Deluxe,,1150,ATX,32,4,Black / Gold,Asus,Z87,6,0,4,3,TRUE,FALSE
ASRock Z87 Pro3,,1150,ATX,32,4,Brown / Black,ASRock,Z87,6,0,4,3,TRUE,FALSE
MSI B85M-E33,,1150,Micro ATX,32,2,Black / Blue,MSI,B85,4,0,2,3,FALSE,FALSE
Gigabyte GA-Z87N-WIFI,,1150,Mini ITX,16,2,Black,Gigabyte,Z87,6,0,4,3,TRUE,TRUE
Asus A55BM-A/USB3,,FM2+,Micro ATX,32,2,Black / Gold,Asus,A55,6,0,6,2,FALSE,FALSE
ASRock H81M-DGS R2.0,,1150,Micro ATX,16,2,Brown / Black,ASRock,H81,2,0,2,2,FALSE,FALSE
Gigabyte GA-Z97X-Gaming G1,,1150,ATX,32,4,Black / Red,Gigabyte,Z97,6,1,4,3,TRUE,FALSE
Gigabyte GA-Z97X-UD5H-BK,,1150,ATX,32,4,Black / Gray,Gigabyte,Z97,6,1,4,3,TRUE,FALSE
MSI Z97-GD65 Gaming,,1150,ATX,32,4,Black / Red,MSI,Z97,6,1,4,3,TRUE,FALSE
Gigabyte G1.SNIPER H6,,1150,ATX,32,4,Black / Red,Gigabyte,,,,,,,FALSE
Gigabyte GA-H97M-HD3,,1150,Micro ATX,16,2,Black / Silver,Gigabyte,H97,6,1,8,3,FALSE,FALSE
Asus GRYPHON Z97 ARMOR EDITION,,1150,Micro ATX,32,4,Brown / Black,Asus,Z97,6,1,4,3,TRUE,FALSE
EVGA Stinger WiFi,,1150,Mini ITX,16,2,Black,EVGA,,,,,,,TRUE
MSI X99S GAMING 9 ACK,,2011-3,EATX,128,8,Black / Red,MSI,X99,10,3,16,3,TRUE,FALSE
Asus A68HM-E,,FM2+,Micro ATX,32,2,Black / Gold,Asus,,,,,,,FALSE
Asus P5P41T LE,,775,ATX,8,2,Black / Blue,Asus,,,,,,,FALSE
Gigabyte GA-B85-HD3-A (rev. 1.0),,1150,ATX,32,4,Black,Gigabyte,B85,4,0,2,3,FALSE,FALSE
ASRock Z170 Gaming K4/D3,,1151,ATX,64,4,Black / Red,ASRock,Z170,6,1,4,3,TRUE,FALSE
Asus B150M-K,,1151,Micro ATX,32,2,Black / Gold,Asus,B150,6,1,2,3,FALSE,FALSE
ASRock B150M-HDS,,1151,Micro ATX,32,2,Black / Orange,ASRock,B150,6,1,2,3,FALSE,FALSE
Supermicro MBD-X11SSH-F,,1151,Micro ATX,64,4,Black / Green,Supermicro,,,,,,,FALSE
Gigabyte GA-B150M-HD3,,1151,Micro ATX,32,2,Black / Silver,Gigabyte,B150,6,1,2,3,FALSE,FALSE
Asus H170I-PRO,,1151,Mini ITX,32,2,Black / Gold,Asus,H170,6,1,8,3,FALSE,FALSE
Supermicro X11SSL-CF,,1151,Micro ATX,64,4,Green,Supermicro,,,,,,,FALSE
Asus B150-PRO,,1151,ATX,64,4,Black / Gold,Asus,B150,6,1,2,3,FALSE,FALSE
Gigabyte GA-H270M-D3H,,1151,Micro ATX,64,4,Black / Gold,Gigabyte,H270,6,2,8,3,FALSE,FALSE
ASRock Z270M Extreme4,,1151,Micro ATX,64,4,Black / White,ASRock,Z270,6,2,4,3,TRUE,FALSE
Biostar TB85,,1150,ATX,16,2,Black / Yellow,Biostar,B85,4,0,2,3,FALSE,FALSE
MSI B250I PRO,,1151,Mini ITX,32,2,Black,MSI,B250,6,1,2,3,FALSE,FALSE
Biostar X370GT5,,AM4,ATX,64,4,Black / White,Biostar,X370,8,4,6,3,TRUE,FALSE
Gigabyte GA-B250M-Gaming 3,,1151,Micro ATX,64,4,Black / Red,Gigabyte,B250,6,1,2,3,FALSE,FALSE
Gigabyte X299 AORUS Gaming 3,,2066,ATX,128,8,Black / Silver,Gigabyte,X299,8,3,16,3,TRUE,FALSE
Biostar A320MH PRO,,AM4,Micro ATX,32,2,Black / Yellow,Biostar,A320,4,2,4,3,FALSE,FALSE
Gigabyte X299 DESIGNARE EX,,2066,ATX,128,8,Black / Silver,Gigabyte,X299,8,3,16,3,TRUE,FALSE
MSI H370M BAZOOKA,,1151,Micro ATX,64,4,Black / White,MSI,H370,6,2,12,3,FALSE,FALSE
