name,price,socket,form_factor,max_memory,memory_slots,color,manufacturer,chipset
MSI B250M BAZOOKA,,LGA1151,Micro ATX,64,4,Black / Gray,MSI,B250
Asus PRIME B660M-A AC D4,149.99,LGA1700,Micro ATX,128,4,Silver / Black,Asus,B660
Asus TUF GAMING B560M-PLUS,158.65,LGA1200,Micro ATX,128,4,Black / Gold,Asus,B560
Asus M5A97 R2.0,,AM3+,ATX,32,4,Black / Blue,Asus,
Asus PRIME B760M-K D4,203.99,LGA1700,Micro ATX,64,2,Silver / Black,Asus,B760
Asus ROG STRIX B560-G GAMING WIFI,,LGA1200,Micro ATX,128,4,Black / Silver,Asus,B560
Gigabyte B550M AORUS ELITE AX,,AM4,Micro ATX,128,4,Black / Silver,Gigabyte,B550
Asus PRIME B450M-K,,AM4,Micro ATX,32,2,Black,Asus,B450
Gigabyte X570 AORUS ULTRA,,AM4,ATX,128,4,Black / Silver,Gigabyte,X570
Gigabyte B660 GAMING X DDR4,,LGA1700,ATX,128,4,Black,Gigabyte,B660
ASRock Z590 Steel Legend WiFi 6E,135.99,LGA1200,ATX,128,4,Silver / Black,ASRock,Z590
Asus PRIME H310M-K,,LGA1151,Micro ATX,32,2,Black / Silver,Asus,H310
Gigabyte Z390 AORUS ELITE,,LGA1151,ATX,128,4,Black / Silver,Gigabyte,Z390
Gigabyte Z390 AORUS ULTRA,,LGA1151,ATX,128,4,Black / Silver,Gigabyte,Z390
Gigabyte B560 DS3H AC,,LGA1200,ATX,128,4,Brown / Black,Gigabyte,B560
MSI MAG A520M VECTOR WIFI,136.8,AM4,Micro ATX,64,2,Black,MSI,A520
Asus ROG ZENITH EXTREME ALPHA,1099.99,sTR4,EATX,128,8,Black,Asus,
Asus PRIME B350M-A,,AM4,Micro ATX,64,4,Black / Silver,Asus,B350
Asus EX-A320M-GAMING,265.7,AM4,Micro ATX,64,4,Red / Black,Asus,A320
ASRock X370 Taichi,,AM4,ATX,64,4,Black / White,ASRock,X370
Asus TUF B365M-PLUS GAMING,,LGA1151,Micro ATX,64,4,Black / Yellow,Asus,B365
Asus PRIME B550-PLUS AC-HES,,AM4,ATX,128,4,Silver / Black,Asus,B550
Asus MAXIMUS VII HERO,,LGA1150,ATX,32,4,Black / Red,Asus,
Gigabyte B660M GAMING DDR4,,LGA1700,Micro ATX,64,2,Black / Red,Gigabyte,B660
Asus X99-WS/IPMI,,LGA2011-3,ATX,128,8,Black / Silver,Asus,X99
Gigabyte B450M AORUS ELITE,,AM4,Micro ATX,128,4,Black / Orange,Gigabyte,B450
Biostar B550MH,138.6,AM4,Micro ATX,64,2,Black,Biostar,B550
MSI H81M-P33,,LGA1150,Micro ATX,16,2,Black / Blue,MSI,H81
Gigabyte Z390 AORUS MASTER,,LGA1151,ATX,128,4,Black / Silver,Gigabyte,Z390
ASRock H670 Steel Legend,162.83,LGA1700,ATX,128,4,Silver / Gray,ASRock,H670
Gigabyte B550M AORUS PRO,349.99,AM4,Micro ATX,128,4,Black / Silver,Gigabyte,B550
Gigabyte B560 AORUS PRO AX,219.99,LGA1200,ATX,128,4,Black,Gigabyte,B560
MSI MEG Z690 UNIFY-X,,LGA1700,ATX,64,2,Black / Silver,MSI,Z690
ASRock B660M Pro RS/ax,,LGA1700,Micro ATX,128,4,Silver / Black,ASRock,B660
Asus PRIME B560M-A AC,200.0,LGA1200,Micro ATX,128,4,Black / Silver,Asus,B560
Asus TUF GAMING X570-PRO WIFI II,412.57,AM4,ATX,128,4,Black,Asus,X570
Asus WS C246 PRO,335.9,LGA1151,ATX,64,4,Black / Silver,Asus,
ASRock X399 Taichi,,sTR4,ATX,128,8,Black / Silver,ASRock,X399
MSI PRO B760-VC WIFI,,LGA1700,ATX,128,4,Black,MSI,B760
ASRock B360M Pro4,,LGA1151,Micro ATX,64,4,Black / Silver,ASRock,B360
Asus M4N68T-M V2,,AM3,Micro ATX,16,2,Black / Blue,Asus,
Asus PRIME B760M-A AX D4,163.99,LGA1700,Micro ATX,128,4,Silver / Black,Asus,B760
Asus CROSSHAIR VI HERO,,AM4,ATX,128,4,Black,Asus,
MSI MPG Z590 GAMING CARBON WIFI,349.0,LGA1200,ATX,128,4,Black,MSI,Z590
Asus TUF B450M-PRO GAMING,,AM4,Micro ATX,64,4,Black,Asus,B450
Asus PRIME H410M-E,,LGA1200,Micro ATX,64,2,Black,Asus,H410
Gigabyte GA-A320M-S2H V2,,AM4,Micro ATX,32,2,Black,Gigabyte,A320
Asus P8Z77-V PRO,,LGA1155,ATX,32,4,Black / Blue,Asus,Z77
Asus MAXIMUS IX HERO,,LGA1151,ATX,64,4,Black / Silver,Asus,
Gigabyte X570 AORUS XTREME,989.0,AM4,EATX,128,4,Black / Silver,Gigabyte,X570
MSI Z270 SLI PLUS,,LGA1151,ATX,64,4,Black / Silver,MSI,Z270
Asus ROG STRIX B660-A GAMING WIFI,,LGA1700,ATX,128,4,Silver / Black,Asus,B660
MSI X370 GAMING PRO CARBON,,AM4,ATX,64,4,Black / Silver,MSI,X370
Gigabyte X570 UD,275.0,AM4,ATX,128,4,Black / Silver,Gigabyte,X570
Biostar B450NH,,AM4,Mini ITX,64,2,Black / Silver,Biostar,B450
Gigabyte B660 AORUS Master DDR4,295.03,LGA1700,ATX,128,4,Black,Gigabyte,B660
Asus ROG MAXIMUS X HERO (WI-FI AC),,LGA1151,ATX,64,4,Black / Silver,Asus,
ASRock Z370 Extreme4,989.6,LGA1151,ATX,64,4,Black / Silver,ASRock,Z370
Asus TUF GAMING B760M-PLUS D4,,LGA1700,Micro ATX,128,4,Black / Orange,Asus,B760
Gigabyte B450M GAMING,,AM4,Micro ATX,32,2,Red / Black,Gigabyte,B450
ASRock B550M/ac,,AM4,Micro ATX,128,4,Black / White,ASRock,B550
Gigabyte B560M AORUS PRO AX,259.99,LGA1200,Micro ATX,128,4,Black / Silver,Gigabyte,B560
MSI MEG X570 ACE,,AM4,ATX,128,4,Black / Silver,MSI,X570
ASRock A320M-HDV,,AM4,Micro ATX,32,2,Black / Silver,ASRock,A320
Gigabyte GA-Z170X-UD5,,LGA1151,ATX,64,4,Black / Gold,Gigabyte,Z170
Asus ROG STRIX Z590-I GAMING WIFI,400.99,LGA1200,Mini ITX,64,2,Black,Asus,Z590
MSI MEG Z390 GODLIKE,824.0,LGA1151,EATX,128,4,Black,MSI,Z390
MSI X99A SLI PLUS,,LGA2011-3,ATX,128,8,Black,MSI,X99
Asus Sabertooth 990FX R2.0,,AM3+,ATX,32,4,Brown / Black,Asus,990FX
Gigabyte Z690 GAMING X,243.99,LGA1700,ATX,128,4,Black / Gray,Gigabyte,Z690
Gigabyte Z390 I AORUS PRO WIFI,,LGA1151,Mini ITX,64,2,Black / Silver,Gigabyte,Z390
Gigabyte B460M DS3H V2,,LGA1200,Micro ATX,128,4,Brown / Black,Gigabyte,B460
NZXT N7 Z490,229.99,LGA1200,ATX,128,4,Black,NZXT,Z490
MSI B550M-A PRO,,AM4,Micro ATX,64,2,Black,MSI,B550
MSI Z97 PC MATE,,LGA1150,ATX,32,4,Black / Blue,MSI,Z97
MSI B365M PRO-VDH,,LGA1151,Micro ATX,64,4,Black / Silver,MSI,B365
Asus Z170I PRO GAMING,,LGA1151,Mini ITX,32,2,Black / Red,Asus,Z170
Asus ROG STRIX TRX40-XE GAMING,,sTRX4,ATX,256,8,Black,Asus,TRX40
Asus STRIX Z270F,,LGA1151,ATX,64,4,Black / Silver,Asus,Z270
Gigabyte H510M K,,LGA1200,Micro ATX,64,2,Black,Gigabyte,H510
ASRock Z370 Pro4,,LGA1151,ATX,64,4,Black / Silver,ASRock,Z370
ASRock B560M Pro4,214.6,LGA1200,Micro ATX,128,4,Silver / Black,ASRock,B560
Biostar B450MH,145.49,AM4,Micro ATX,32,2,Black / Yellow,Biostar,B450
Gigabyte Z590 UD,139.99,LGA1200,ATX,128,4,Black,Gigabyte,Z590
Asus Sabertooth X79,,LGA2011,ATX,64,8,Brown / Black,Asus,X79
ECS KAM1-I(1.0),,AM1,Mini ITX,16,2,Black / Gray,ECS,AM1
ASRock B560M-HDV,127.2,LGA1200,Micro ATX,64,2,Silver / Black,ASRock,B560
Asus TUF GAMING B560-PLUS WIFI,,LGA1200,ATX,128,4,Black,Asus,B560
ASRock Z390 Phantom Gaming 4S,,LGA1151,ATX,128,4,Black,ASRock,Z390
MSI Z97S SLI Krait Edition,,LGA1150,ATX,32,4,Black / White,MSI,Z97
Asus ROG STRIX Z370-F GAMING,527.99,LGA1151,ATX,64,4,Black / Silver,Asus,Z370
MSI A320M PRO-VH,,AM4,Micro ATX,64,2,Brown / Black,MSI,A320
Gigabyte Z690M AORUS ELITE AX DDR4,,LGA1700,Micro ATX,128,4,Black,Gigabyte,Z690
Asus TUF B360M-PLUS GAMING,,LGA1151,Micro ATX,64,4,Silver / Orange,Asus,B360
Asus ROG MAXIMUS XI FORMULA,700.0,LGA1151,ATX,128,4,Black,Asus,
MSI MAG B560 TORPEDO,227.27,LGA1200,ATX,128,4,Black / Blue,MSI,B560
NZXT N7 Z590,,LGA1200,ATX,128,4,Black,NZXT,Z590
Gigabyte GA-Z97X-SLI,,LGA1150,ATX,32,4,Black / Red,Gigabyte,Z97
Gigabyte H410M H,,LGA1200,Micro ATX,64,2,Black / Silver,Gigabyte,H410
ASRock B250M Pro4,,LGA1151,Micro ATX,64,4,Black / White,ASRock,B250
Gigabyte B365M DS3H WIFI,,LGA1151,Micro ATX,64,4,Black,Gigabyte,B365
Gigabyte Z390 AORUS PRO,,LGA1151,ATX,128,4,Black / Silver,Gigabyte,Z390
Asus ROG Crosshair VII Hero,,AM4,ATX,64,4,Black,Asus,
MSI H110M Gaming,,LGA1151,Micro ATX,32,2,Black / Red,MSI,H110
Gigabyte Z370N WIFI,272.83,LGA1151,Mini ITX,32,2,Black / White,Gigabyte,Z370
Asus PRIME B365M-K,,LGA1151,Micro ATX,32,2,Black / Silver,Asus,B365
Asus PRIME H610M-D D4,130.44,LGA1700,Micro ATX,64,2,Silver / Black,Asus,H610
Gigabyte GA-F2A78M-HD2,,FM2+,Micro ATX,64,2,Black,Gigabyte,A78
Gigabyte B450M H,,AM4,Micro ATX,32,2,Black,Gigabyte,B450
Gigabyte B760M GAMING DDR4,,LGA1700,Micro ATX,64,2,Black / Red,Gigabyte,B760
Asus Pro B760M-CT-CSM,139.99,LGA1700,Micro ATX,128,4,Green / Black,Asus,B760
Asus ROG STRIX Z590-F GAMING WIFI,368.78,LGA1200,ATX,128,4,Black / Silver,Asus,Z590
Gigabyte GA-H270N-WIFI,,LGA1151,Mini ITX,32,2,Black / Silver,Gigabyte,H270
ASRock H470M-HVS,,LGA1200,Micro ATX,64,2,Black / Silver,ASRock,H470
Asus PRIME B650M-A WIFI,,AM5,Micro ATX,128,4,Silver / Black,Asus,B650
ASRock B450M-HDV,,AM4,Micro ATX,32,2,Black / Silver,ASRock,B450
Gigabyte Z490 VISION G,,LGA1200,ATX,128,4,White / Black,Gigabyte,Z490
Gigabyte Z590I VISION D,,LGA1200,Mini ITX,64,2,Black / White,Gigabyte,Z590
Gigabyte B550 AORUS PRO,269.0,AM4,ATX,128,4,Black / Orange,Gigabyte,B550
ASRock X370 KILLER SLI/ac,,AM4,ATX,64,4,Black / White,ASRock,X370
MSI B360 GAMING PLUS,,LGA1151,ATX,64,4,Black / Red,MSI,B360
MSI B460M-A PRO,,LGA1200,Micro ATX,64,2,Black,MSI,B460
Gigabyte H310M H,,LGA1151,Micro ATX,32,2,Silver / Brown,Gigabyte,H310
MSI X470 GAMING PRO CARBON,,AM4,ATX,64,4,Black / Silver,MSI,X470
Gigabyte Z370 AORUS Gaming 7 (rev. 1.0),,LGA1151,ATX,64,4,Black / Silver,Gigabyte,Z370
MSI MPG Z590M GAMING EDGE WIFI,254.99,LGA1200,Micro ATX,128,4,Black,MSI,Z590
MSI MEG B550 UNIFY,,AM4,ATX,128,4,Black / Silver,MSI,B550
Asus M5A78L-M PLUS/USB3,249.97,AM3+,Micro ATX,32,4,Black / Blue,Asus,A78
MSI Creator TRX40,,sTRX4,EATX,256,8,Black / Silver,MSI,TRX40
MSI B450-A PRO,,AM4,ATX,64,4,Brown / Black,MSI,B450
MSI B250M PRO-VD,,LGA1151,Micro ATX,32,2,Brown / Black,MSI,B250
ASRock B560 Steel Legend,144.99,LGA1200,ATX,128,4,Silver / Black,ASRock,B560
MSI MAG B660 TOMAHAWK WIFI,,LGA1700,ATX,128,4,Black / Silver,MSI,B660
ASRock H510M-HVS,,LGA1200,Micro ATX,64,2,Silver / Black,ASRock,H510
MSI MPG Z390 GAMING PRO CARBON AC,,LGA1151,ATX,128,4,Black / Silver,MSI,Z390
Asus P8H61-M LE/CSM R2.0,,LGA1155,Micro ATX,16,2,Black / Blue,Asus,H61
MSI MEG X570 GODLIKE,,AM4,EATX,128,4,Black,MSI,X570
MSI MAG Z690M MORTAR WIFI,,LGA1700,Micro ATX,128,4,Silver / Black,MSI,Z690
Asus ROG STRIX X470-I GAMING,,AM4,Mini ITX,32,2,Black,Asus,X470
Intel DH61BEB3,563.54,LGA1155,Micro ATX,8,2,Green / Blue,Intel,H61
Gigabyte X299 UD4 Pro,319.99,LGA2066,ATX,128,8,Black,Gigabyte,X299
Gigabyte GA-Z170X-Gaming 7,,LGA1151,ATX,64,4,Black / Red,Gigabyte,Z170
Gigabyte GA-AB350N-Gaming WIFI (rev. 1.0),,AM4,Mini ITX,32,2,Black / Red,Gigabyte,B350
Gigabyte B560M DS3H,,LGA1200,Micro ATX,128,4,Black,Gigabyte,B560
Asus PRIME H310-PLUS,,LGA1151,ATX,32,2,Black,Asus,H310
Gigabyte Z490I AORUS ULTRA,466.36,LGA1200,Mini ITX,64,2,Black / Silver,Gigabyte,Z490
MSI MEG Z490I UNIFY,,LGA1200,Mini ITX,64,2,Black / Silver,MSI,Z490
Asus STRIX X370-F GAMING,408.67,AM4,ATX,64,4,Black,Asus,X370
Gigabyte B450 Gaming X,,AM4,ATX,64,4,Black / Red,Gigabyte,B450
Asus Pro Q670M-C-CSM,169.19,LGA1700,Micro ATX,128,4,Green / Black,Asus,
MSI MPG Z590 GAMING EDGE WIFI,343.2,LGA1200,ATX,128,4,Black,MSI,Z590
MSI PRO B760M-E DDR4,,LGA1700,Micro ATX,64,2,Black,MSI,B760
MSI Z87-G45 Gaming,,LGA1150,ATX,32,4,Brown / Black,MSI,Z87
MSI B350M PRO-VDH,,AM4,Micro ATX,64,4,Brown / Black,MSI,B350
ASRock Fatal1ty B450 GAMING K4,,AM4,ATX,64,4,Black / Silver,ASRock,B450
MSI H410M-A PRO,,LGA1200,Micro ATX,64,2,Black / Silver,MSI,H410
Gigabyte A520M AORUS ELITE,,AM4,Micro ATX,128,4,Black / Orange,Gigabyte,A520
Gigabyte GA-AB350M-Gaming 3,,AM4,Micro ATX,64,4,Black / Red,Gigabyte,B350
Asus TUF Z370 Plus Gaming,,LGA1151,ATX,64,4,Black / Yellow,Asus,Z370
MSI B150 Gaming M3,,LGA1151,ATX,64,4,Black / Red,MSI,B150
Asus TUF X470-PLUS GAMING,,AM4,ATX,64,4,Black,Asus,X470
Asus M5A99FX PRO R2.0,,AM3+,ATX,32,4,Black / Blue,Asus,
Gigabyte GA-970A-DS3P,,AM3+,ATX,32,4,Black / Gray,Gigabyte,970
MSI PRO-B660M-A-CEC-WIFI-DDR4,,LGA1700,Micro ATX,128,4,Black / Silver,MSI,B660
Asus ProArt B760-CREATOR,,LGA1700,ATX,128,4,Black / Copper,Asus,B760
Gigabyte Z790 AORUS TACHYON,599.99,LGA1700,EATX,64,2,Silver / Black,Gigabyte,Z790
Gigabyte B660M GAMING X AX DDR4,,LGA1700,Micro ATX,128,4,Black,Gigabyte,B660
MSI TRX40 PRO WIFI,,sTRX4,ATX,256,8,Black / Silver,MSI,TRX40
Asus Z87-Pro,,LGA1150,ATX,32,4,Black / Gold,Asus,Z87
Gigabyte Z690I AORUS ULTRA DDR4,,LGA1700,Mini ITX,64,2,Black / Silver,Gigabyte,Z690
Gigabyte B560 HD3,,LGA1200,ATX,128,4,Black / Gray,Gigabyte,B560
Asus ROG STRIX Z390-H GAMING,,LGA1151,ATX,128,4,Black / Red,Asus,Z390
ASRock Z490 Phantom Gaming-ITX/TB3,159.99,LGA1200,Mini ITX,64,2,Black,ASRock,Z490
ASRock B550 PG Riptide,,AM4,ATX,128,4,Black / Silver,ASRock,B550
Gigabyte Z370 AORUS Gaming 5 (rev. 1.0),,LGA1151,ATX,64,4,Black / Silver,Gigabyte,Z370
MSI H110M Pro-VD,,LGA1151,Micro ATX,32,2,Black / Silver,MSI,H110
Asus ROG Strix Z370-I Gaming,,LGA1151,Mini ITX,32,2,Black / Silver,Asus,Z370
Gigabyte Z690I AORUS ULTRA,399.0,LGA1700,Mini ITX,64,2,Black / Silver,Gigabyte,Z690
Gigabyte Z590 VISION D,,LGA1200,ATX,128,4,Black / White,Gigabyte,Z590
Asus PRIME H310M-A R2.0,148.97,LGA1151,Micro ATX,32,2,Black,Asus,H310
Asus Pro B560M-CT/CSM,126.99,LGA1200,Micro ATX,128,4,Green,Asus,B560
Gigabyte A620I AX,,AM5,Mini ITX,96,2,Black / Gray,Gigabyte,A620
Asus H170-PRO,,LGA1151,ATX,64,4,Black / Gold,Asus,H170
Gigabyte GA-AX370M-DS3H,,AM4,Micro ATX,64,4,Black,Gigabyte,X370
Asus PRO A520M-C II/CSM,92.99,AM4,Micro ATX,64,2,Green / Black,Asus,A520
Colorful CVN X570M GAMING FROZEN V14,,AM4,Micro ATX,128,4,White,Colorful,X570
MSI MEG Z390 ACE,,LGA1151,ATX,128,4,Black / Silver,MSI,Z390
Asus Z97I-PLUS,,LGA1150,Mini ITX,16,2,Black / Gold,Asus,Z97
ASRock A320M-ITX,,AM4,Mini ITX,32,2,Black / Silver,ASRock,A320
MSI MAG B660M MORTAR,,LGA1700,Micro ATX,128,4,Black / Silver,MSI,B660
ASRock A320M,,AM4,Micro ATX,32,2,Black / Silver,ASRock,A320
MSI A520M PRO,,AM4,Micro ATX,64,2,Black,MSI,A520
Asus H110M-A/M.2,,LGA1151,Micro ATX,32,2,Black / Gold,Asus,H110
Gigabyte B660 DS3H AC DDR4,,LGA1700,ATX,128,4,Black,Gigabyte,B660
Asus P5QL-VM DO/CSM,,LGA775,Micro ATX,16,4,Black / Yellow,Asus,
Gigabyte GA-AB350-Gaming,,AM4,ATX,64,4,Black / Red,Gigabyte,B350
MSI B450M BAZOOKA,,AM4,Micro ATX,64,4,Black / Silver,MSI,B450
ASRock X570 Creator,259.99,AM4,ATX,128,4,Black / Silver,ASRock,X570
MSI MEG B550 UNIFY-X,299.99,AM4,ATX,64,2,Black,MSI,B550
MSI H510M PRO,159.0,LGA1200,Micro ATX,64,2,Beige,MSI,H510
MSI H310M PRO-M2 PLUS,,LGA1151,Micro ATX,32,2,Black,MSI,H310
ASRock B450M Steel Legend Pink,,AM4,Micro ATX,128,4,Black / Pink,ASRock,B450
Gigabyte GA-H110M-S2H,,LGA1151,Micro ATX,32,2,Black,Gigabyte,H110
MSI MAG B460M MORTAR WIFI,,LGA1200,Micro ATX,128,4,Silver / Black,MSI,B460
Asus Sabertooth Z77,,LGA1155,ATX,32,4,Brown / Black,Asus,Z77
Asus Zenith II Extreme,,sTRX4,EATX,256,8,Black,Asus,
Gigabyte Z590 AORUS ELITE,275.11,LGA1200,ATX,128,4,Black,Gigabyte,Z590
MSI B560M PRO,143.53,LGA1200,Micro ATX,64,2,Black,MSI,B560
ASRock B460M Pro4,,LGA1200,Micro ATX,128,4,Black / Silver,ASRock,B460
Asus H110M-C/CSM,,LGA1151,Micro ATX,32,2,Black / Gold,Asus,H110
Gigabyte B760M GAMING X AX,,LGA1700,Micro ATX,192,4,Brown / Black,Gigabyte,B760
ASRock Z690M PG RIPTIDE/D5,,LGA1700,Micro ATX,128,4,Black / Silver,ASRock,Z690
Asus PRIME H410M-K,231.76,LGA1200,Micro ATX,64,2,Black,Asus,H410
Asus ROG STRIX Z270i GAMING,,LGA1151,Mini ITX,32,2,Black / Silver,Asus,Z270
Supermicro MBD-X11SSL-F-O,254.99,LGA1151,Micro ATX,64,4,Black / Green,Supermicro,
Asus Z170-P,,LGA1151,ATX,64,4,Black / Gold,Asus,Z170
Gigabyte GA-B150M-D3H,,LGA1151,Micro ATX,64,4,Black / Silver,Gigabyte,B150
Asus H110M-R,,LGA1151,Micro ATX,32,2,Black,Asus,H110
Asus PRIME B650M-A WIFI II,,AM5,Micro ATX,128,4,Black / Silver,Asus,B650
Asus H81M-C/CSM,,LGA1150,Micro ATX,16,2,Black / Gold,Asus,H81
Gigabyte Z490 AORUS ELITE AC,329.98,LGA1200,ATX,128,4,Black / Silver,Gigabyte,Z490
ASRock H610M-HVS/M.2 R2.0,111.2,LGA1700,Micro ATX,64,2,Black / Silver,ASRock,H610
ASRock B560 Pro4,,LGA1200,ATX,128,4,Silver / Black,ASRock,B560
Gigabyte GA-B85M-D3H,,LGA1150,Micro ATX,32,4,Black / Gray,Gigabyte,B85
ASRock X470 Taichi,,AM4,ATX,64,4,Black / Silver,ASRock,X470
Gigabyte Z490 AORUS PRO AX,,LGA1200,ATX,128,4,Black / Silver,Gigabyte,Z490
ASRock Z690 Taichi Razer Edition,339.99,LGA1700,ATX,128,4,Black,ASRock,Z690
Gigabyte X570 AORUS PRO,430.99,AM4,ATX,128,4,Black / Silver,Gigabyte,X570
Gigabyte GA-H61M-DS2,,LGA1155,Micro ATX,16,2,Blue / White,Gigabyte,H61
Gigabyte GA-B75M-D3H,,LGA1155,Micro ATX,32,4,Blue / White,Gigabyte,B75
Gigabyte GA-AB350M-DS3H,,AM4,Micro ATX,64,4,Black,Gigabyte,B350
ASRock Z590 PG Velocita,124.99,LGA1200,ATX,128,4,Silver / Black,ASRock,Z590
Asus Z170-E,,LGA1151,ATX,64,4,Black / Silver,Asus,Z170
MSI Z370 GAMING PRO CARBON,,LGA1151,ATX,64,4,Black,MSI,Z370
Asus ROG STRIX Z490-F GAMING,,LGA1200,ATX,128,4,Black,Asus,Z490
EVGA X299 Micro,227.81,LGA2066,Micro ATX,128,4,Black,EVGA,X299
MSI B550M PRO-VDH,,AM4,Micro ATX,128,4,Black,MSI,B550
Asus WS X299 SAGE/10G,599.0,LGA2066,SSI CEB,128,8,Black / Silver,Asus,X299
Asus PRIME B460-PLUS,,LGA1200,ATX,128,4,Silver / Black,Asus,B460
Asus ROG STRIX B360-F GAMING,,LGA1151,ATX,64,4,Black,Asus,B360
Asus TUF GAMING B450M-PRO S,,AM4,Micro ATX,128,4,Black,Asus,B450
Asus PRIME B560M-K,,LGA1200,Micro ATX,64,2,Silver / Black,Asus,B560
Gigabyte B560M AORUS ELITE,,LGA1200,Micro ATX,128,4,Black,Gigabyte,B560
Asus H110-PLUS,,LGA1151,ATX,32,2,Black / Gold,Asus,H110
MSI B350 GAMING PLUS,,AM4,ATX,64,4,Black / Red,MSI,B350
Asus Pro B660M-C D4-CSM,124.37,LGA1700,Micro ATX,128,4,Green / Black,Asus,B660
ASRock H670M Pro RS,138.99,LGA1700,Micro ATX,128,4,Gray / Black,ASRock,H670
MSI PRO Z790-P DDR4,,LGA1700,ATX,128,4,Black / Silver,MSI,Z790
Asus X99-A,,LGA2011-3,ATX,64,8,Black / Silver,Asus,X99
MSI H510I PRO WIFI,230.0,LGA1200,Mini ITX,64,2,Black / Silver,MSI,H510
Asus PRIME A320M-E,191.0,AM4,Micro ATX,64,2,Black / Silver,Asus,A320
Asus PRIME B650M-A II-CSM,179.99,AM5,Micro ATX,128,4,Silver / Black,Asus,B650
Asus ROG MAXIMUS XII FORMULA,654.0,LGA1200,ATX,128,4,Black,Asus,
Biostar B560MX-E PRO,,LGA1200,Micro ATX,128,4,Brown / Silver,Biostar,B560
Asus X99-M WS,,LGA2011-3,Micro ATX,64,4,Black / Silver,Asus,X99
Asus PRIME Z370-A II,,LGA1151,ATX,64,4,Black / Silver,Asus,Z370
Gigabyte X570S AORUS PRO AX,,AM4,ATX,128,4,Black / Gray,Gigabyte,X570
MSI TRX40 PRO 10G,,sTRX4,ATX,256,8,Black / Silver,MSI,TRX40
MSI B450M MORTAR,,AM4,Micro ATX,64,4,Black,MSI,B450
Gigabyte B360 AORUS Gaming 3 WIFI,,LGA1151,ATX,64,4,Black / Orange,Gigabyte,B360
Asus TUF Z390-PRO GAMING,,LGA1151,ATX,128,4,Black / Gold,Asus,Z390
MSI MAG Z690 TORPEDO,,LGA1700,ATX,128,4,Blue / Black,MSI,Z690
Gigabyte Z690 UD AX,,LGA1700,ATX,128,4,Black,Gigabyte,Z690
ASRock H97M Pro4,,LGA1150,Micro ATX,32,4,Black / Blue,ASRock,H97
Gigabyte Z370 HD3 (rev. 1.0),,LGA1151,ATX,64,4,Black / Gray,Gigabyte,Z370
Asus PRIME H570M-PLUS/CSM,139.41,LGA1200,Micro ATX,128,4,Black / Silver,Asus,H570
Biostar H510MHP 2.0,,LGA1200,Micro ATX,64,2,Black,Biostar,H510
MSI Z170A GAMING M7,,LGA1151,ATX,64,4,Black / Red,MSI,Z170
Gigabyte Z690M DS3H DDR4,,LGA1700,Micro ATX,128,4,Brown / Gray,Gigabyte,Z690
Gigabyte B760M H DDR4,,LGA1700,Micro ATX,64,2,Brown / Gray,Gigabyte,B760
Gigabyte GA-H97M-D3H,,LGA1150,Micro ATX,32,4,Black / Gold,Gigabyte,H97
MSI A68HM-E33 V2,,FM2+,Micro ATX,32,2,Black,MSI,
Gigabyte B550M GAMING,,AM4,Micro ATX,64,2,Black / Silver,Gigabyte,B550
Gigabyte Z690I AORUS ULTRA PLUS (rev. 1.0),,LGA1700,Mini ITX,64,2,,Gigabyte,Z690
MSI MEG Z490 UNIFY,420.0,LGA1200,ATX,128,4,Black / Silver,MSI,Z490
Asus Maximus VI Gene,,LGA1150,Micro ATX,32,4,,Asus,
Asus PRIME A520M-A/CSM,119.0,AM4,Micro ATX,128,4,Black / Silver,Asus,A520
MSI H61M-P31/W8,,LGA1155,Micro ATX,16,2,Black / Blue,MSI,H61
Asus Sabertooth Z87,,LGA1150,ATX,32,4,Brown / Black,Asus,Z87
MSI B350M MORTAR ARCTIC,,AM4,Micro ATX,64,4,White,MSI,B350
Gigabyte X470 AORUS GAMING 7 WIFI,,AM4,ATX,64,4,Black / Orange,Gigabyte,X470
ASRock Z690 Phantom Gaming 4/D5,180.5,LGA1700,ATX,128,4,Black / Silver,ASRock,Z690
ASRock Z590M-ITX/ax,199.99,LGA1200,Mini ITX,64,2,Silver / Black,ASRock,Z590
MSI MPG Z390M GAMING EDGE AC,,LGA1151,Micro ATX,128,4,Black / Silver,MSI,Z390
MSI B250M GAMING PRO,,LGA1151,Micro ATX,32,2,Black / Red,MSI,B250
Gigabyte X470 AORUS GAMING 5 WIFI,,AM4,ATX,64,4,Black / Orange,Gigabyte,X470
MSI MAG B460 TOMAHAWK,,LGA1200,ATX,128,4,Black / Silver,MSI,B460
ASRock H510M-HDV/M.2,195.48,LGA1200,Micro ATX,64,2,Silver / Black,ASRock,H510
MSI MEG Z690 GODLIKE,,LGA1700,EATX,128,4,Black / Silver,MSI,Z690
Gigabyte Z390 M GAMING,,LGA1151,Micro ATX,128,4,Black / Red,Gigabyte,Z390
Asus ROG Strix Z370-H Gaming,,LGA1151,ATX,64,4,Black / Red,Asus,Z370
ASRock X299E-ITX/ac,,LGA2066,Mini ITX,128,4,Black,ASRock,X299
MSI B360 GAMING ARCTIC,,LGA1151,ATX,64,4,White,MSI,B360
MSI B450M PRO-M2,,AM4,Micro ATX,32,2,Brown / Black,MSI,B450
Gigabyte B365 HD3,,LGA1151,ATX,64,4,Black / Silver,Gigabyte,B365
