name,price,core_count,core_clock,boost_clock,tdp,graphics,smt,codename,socket,lithography,cache,supported_mem,supported_chipset,release_date,pmprice,cpuMark,threadMark,powerPerf,category,Blender Score,Number of Benchmarks
AMD Ryzen 3 2200G,150,4,3.5,3.7,65,Radeon Vega 8,FALSE,Raven Ridge,Socket AM4,14 nm,4 MB,DDR4,"AMD 300 Series, AMD 400 Series","Feb 12th, 2018",,6703,2058,103.13,Desktop,44.2,8
Intel Core i7-4770,125,4,3.4,3.9,84,Intel HD Graphics 4600,TRUE,Haswell,Socket 1150,22 nm,8 MB,DDR3,"Z87, H87, Z97, H97","Jun 2nd, 2013",178.69,7030,2166,83.69,Desktop,60.17,6
Intel Core i5-12500,232.99,6,3,4.6,65,Intel UHD Graphics 770,TRUE,Alder Lake-S,Socket 1700,10 nm,18 MB,"DDR4, DDR5","Intel 600 Series, Intel 700 Series","Jan 4th, 2022",202,20309,3759,312.45,Desktop,160.55,5
Intel Core i5-7500,132.3,4,3.4,3.8,65,Intel HD Graphics 630,FALSE,Kaby Lake,Socket 1151,14 nm,6 MB,DDR4,,"Jan 3rd, 2017",165.99,6064,2284,93.3,Desktop,47.49,12
Intel Core i7-9700,340,8,3,4.7,65,Intel HD Graphics 630,FALSE,Coffee Lake,Socket 1151,14 nm,12 MB,DDR4,,"Apr 23rd, 2019",322.85,13385,2782,205.93,Desktop,105.07,15
Intel Core i5-7600K,218,4,3.8,4.2,91,Intel HD Graphics 630,FALSE,Kaby Lake,Socket 1151,14 nm,6 MB,DDR4,,"Jan 3rd, 2017",165.99,6869,2566,75.49,Desktop,59.64,8
Intel Core i9-9900KF,395,8,3.6,5,95,,TRUE,Coffee Lake-R,Socket 1151,14 nm,16 MB,DDR4,,"Jan 8th, 2019",502.13,18691,2968,196.75,Desktop,181.43,26
AMD Ryzen 5 2400G,135,4,3.6,3.9,65,Radeon Vega 11,TRUE,Raven Ridge,Socket AM4,14 nm,4 MB,DDR4,"AMD 300 Series, AMD 400 Series","Feb 12th, 2018",,8378,2132,128.89,Desktop,45.38,6
AMD Ryzen 7 1700,215,8,3,3.7,65,,TRUE,Zen,Socket AM4,14 nm,16 MB,DDR4,"AMD 300 Series, AMD 400 Series, AMD 500 Series","Mar 2nd, 2017",,14590,2026,224.45,Desktop,125.61,19
Intel Core i5-10600KF,164.99,6,4.1,4.8,125,,TRUE,Comet Lake,Socket 1200,14 nm,12 MB,DDR4,,"Apr 30th, 2020",184.98,14575,2948,116.6,Desktop,119.68,5
Intel Core i7-10700KF,268.66,8,3.8,5.1,125,,TRUE,Comet Lake,Socket 1200,14 nm,16 MB,DDR4,,"Apr 30th, 2020",309.99,19143,3056,153.14,Desktop,181.05,13
AMD Ryzen 9 3900XT,390,12,3.8,4.7,105,,TRUE,Matisse 2,Socket AM4,7 nm,64 MB,DDR4,,"Jul 7th, 2020",618.77,32869,2786,313.04,Desktop,268.04,14
Intel Core i5-3470,200,4,3.2,3.2,77,Intel HD Graphics 2500,FALSE,Ivy Bridge,Socket 1155,22 nm,6 MB,DDR3,,"Jun 1st, 2012",105.57,4657,1943,60.48,Desktop,28.35,12
Intel Core i5-7400,153,4,3,3.5,65,Intel HD Graphics 630,FALSE,Kaby Lake,Socket 1151,14 nm,6 MB,DDR4,,"Jan 3rd, 2017",175,5499,2103,84.6,Desktop,43.59,9
Intel Core i7-9700F,349,8,3,4.7,65,,FALSE,Coffee Lake,Socket 1151,14 nm,12 MB,DDR4,,"Apr 23rd, 2019",340.99,13462,2796,207.11,Desktop,106.97,2
Intel Core i5-4460,89.54,4,3.2,3.4,84,Intel HD Graphics 4600,FALSE,Haswell,Socket 1150,22 nm,6 MB,DDR3,"Intel 80 Series, Intel 90 Series","May 11th, 2014",79.46,4834,1902,57.55,Desktop,37.33,3
AMD Ryzen 3 3300X,195,4,3.8,4.3,65,,TRUE,Matisse,Socket AM4,7 nm,16 MB,DDR4,,"Apr 24th, 2020",269.99,12746,2689,196.1,Desktop,89.18,3
Intel Core i9-10900KF,318.95,10,3.7,5.3,125,,TRUE,Comet Lake,Socket 1200,14 nm,20 MB,DDR4,,"Apr 30th, 2020",339.99,23508,3141,188.06,Desktop,199.1,15
Intel Core i7-9700KF,297,8,3.6,4.9,95,,FALSE,Coffee Lake,Socket 1151,14 nm,12 MB,DDR4,,"Jan 8th, 2019",424.99,14499,2920,152.62,Desktop,121.01,7
Intel Core i7-3770K,275,4,3.5,3.5,77,Intel HD Graphics 4000,TRUE,Ivy Bridge,Socket 1155,22 nm,8 MB,DDR3,,"Apr 29th, 2012",136.48,6462,2082,83.93,Desktop,42.09,7
AMD Ryzen 5 1600X,140,6,3.6,4,95,,TRUE,Zen,Socket AM4,14 nm,16 MB,DDR4,"AMD 300 Series, AMD 400 Series, AMD 500 Series","Apr 11th, 2017",169.46,12943,2183,136.25,Desktop,98.93,4
Intel Core i5-4590,,4,3.3,3.7,84,Intel HD Graphics 4600,FALSE,Haswell,Socket 1150,22 nm,6 MB,DDR3,,"May 1st, 2014",58,5344,2093,63.62,Desktop,47.07,6
Intel Core i3-10105,104.69,4,3.7,4.4,65,Intel UHD Graphics 630,TRUE,Comet Lake-R,Socket 1200,14 nm,6 MB,DDR4,,"Mar 16th, 2021",107,8928,2718,137.36,Desktop,102.08,1
Intel Core i7-4790,319.66,4,3.6,4,84,Intel HD Graphics 4600,TRUE,Haswell,Socket 1150,22 nm,8 MB,DDR3,"Z87, H87, Z97, H97","May 1st, 2014",200,7235,2234,86.13,Desktop,64.05,30
Intel Core i5-11600KF,206.98,6,3.9,4.9,125,,TRUE,Rocket Lake,Socket 1200,14 nm,12 MB,DDR4,"H510, B560, H570, Q570, W580, Z590, Q470, H470, W480, Z490","Mar 16th, 2021",232.49,19742,3359,157.93,Desktop,153.84,2
Intel Core i7-4770K,192,4,3.5,3.9,84,Intel HD Graphics 4600,TRUE,Haswell,Socket 1150,22 nm,8 MB,DDR3,"Z87, H87, Z97, H97","Jun 2nd, 2013",329.99,7129,2165,84.87,Desktop,69.26,10
Intel Core i3-8100,163,4,3.6,3.6,65,Intel UHD Graphics 630,FALSE,Coffee Lake,Socket 1151,14 nm,6 MB,DDR4,,"Oct 5th, 2017",169.99,6163,2240,94.82,Desktop,58.74,2
AMD Ryzen 7 3800XT,407.95,8,3.9,4.7,105,,TRUE,Matisse 2,Socket AM4,7 nm,32 MB,DDR4,,"Jul 7th, 2020",391.65,23815,2845,226.81,Desktop,183.84,7
AMD Ryzen 5 3600XT,389,6,3.8,4.5,95,,TRUE,Matisse 2,Socket AM4,7 nm,32 MB,DDR4,,"Jul 7th, 2019",327.52,18780,2794,197.69,Desktop,145.11,3
AMD Ryzen 7 1700X,251,8,3.4,3.8,95,,TRUE,Zen,Socket AM4,14 nm,16 MB,DDR4,"AMD 300 Series, AMD 400 Series, AMD 500 Series","Mar 2nd, 2017",168.06,15496,2074,163.12,Desktop,128.57,9
AMD Ryzen 5 3500X,,6,3.6,4.1,65,,FALSE,Matisse,Socket AM4,7 nm,32 MB,DDR4,"A300, X300, A320, B350, X370, B450, X470, A520, B550, X570","Sep 24th, 2019",184.95,13319,2525,204.91,Desktop,79.69,38
Intel Core i9-10980XE,923,18,3,4.8,165,,TRUE,Cascade Lake-X,Socket 2066,14 nm,24.75 MB,DDR4,,"Oct 19th, 2019",999.99,33408,2667,202.47,Desktop,307.69,3
Intel Core i5-12600,257.99,6,3.3,4.8,65,Intel UHD Graphics 770,TRUE,Alder Lake-S,Socket 1700,10 nm,18 MB,"DDR4, DDR5","Intel 600 Series, Intel 700 Series",Jan-22,238.97,21368,3883,328.73,Desktop,85.19,2
Intel Core i9-11900KF,,8,3.5,5.3,125,,TRUE,Rocket Lake,Socket 1200,14 nm,16 MB,DDR4,"H510, B560, H570, Q570, W580, Z590, Q470, H470, W480, Z490","Mar 16th, 2021",379.98,25390,3563,203.12,Desktop,158.98,2
Intel Core i5-9400,210,6,2.9,4.1,65,Intel UHD Graphics 630,FALSE,Coffee Lake,Socket 1151,14 nm,9 MB,DDR4,,"Oct 19th, 2018",139.99,9478,2479,145.82,Desktop,72.39,3
Intel Core i7-2600,155.62,4,3.4,3.4,95,Intel HD Graphics 2000,TRUE,Sandy Bridge,Socket 1155,32 nm,8 MB,DDR3,,"Jan 9th, 2011",89,5344,1741,56.25,Desktop,36.03,7
