index,name,price,core_count,core_clock,boost_clock,tdp,graphics,smt,codename,socket,lithography,cache,supported_mem,supported_chipset,release_date,passmark,category,passmarkPred,cinebench,cinePred,blender,blenderPred
41,Intel Core i3-10100F,75.83,4,3.6,4.3,65,,TRUE,Comet Lake,1200,14,6,DDR4,"H410, B460, H470, Z490","Apr 30th, 2020",0.184142105,Desktop,FALSE,0.1098937583001327,TRUE,0.1562014567296075,FALSE
42,Intel Core i5-12400,172.99,6,2.5,4.4,65,Intel UHD Graphics 730,TRUE,Alder Lake-S,1700,10,18,"DDR4, DDR5","H610, B650, H670, Z690, H710, B750, H770, Z790","Jan 4th, 2022",0.418296227,Desktop,FALSE,0.2782204515272244,TRUE,0.2910179847423107,FALSE
43,Intel Core i5-13400,228,10,2.5,4.6,65,Intel UHD Graphics 730,TRUE,Raptor Lake-S,1700,10,20,"DDR4, DDR5","H610, B650, H670, Z690, H710, B750, H770, Z790","Jan 4th, 2023",0.5601171098341672,Unknown,TRUE,0.3552456839309429,FALSE,0.3625772377368911,FALSE
44,AMD Ryzen 3 4100,63.96,4,3.8,4,65,,TRUE,Renoir,AM4,7,8,DDR4,"A320, B350, X370, B450, X470, A520, B550, X570","Apr 4th, 2022",0.2466953614892175,Unknown,TRUE,0.1424302788844621,TRUE,0.1544409541233732,FALSE
45,AMD Ryzen 9 7900,391.31,12,3.6,5.4,65,Radeon,TRUE,Raphael,AM5,5,64,DDR5,"X670E, X670, B650E, B650","Jan 14th, 2023",0.7989250365968231,Unknown,TRUE,0.5790172642762283,TRUE,0.7158514273878974,FALSE
46,Intel Core i5-12600KF,219,10,3.7,4.9,125,,TRUE,Alder Lake-S,1700,10,20,"DDR4, DDR5","Z690. H670, B660, H610","Nov 4th, 2021",0.5846752168498328,Desktop,FALSE,0.398406375,FALSE,0.3921433256239428,FALSE
47,Intel Core i5-11400F,130.97,6,2.6,4.4,65,,TRUE,Rocket Lake,1200,14,12,DDR4,"H510, B560, H570, Q570, W580, Z590, Q470, H470, W480, Z490","Mar 16th, 2021",0.3667766392099456,Desktop,FALSE,0.2375498007968127,TRUE,0.2580517104491007,FALSE
48,AMD Ryzen 9 7900X3D,521.74,12,4.4,5.6,120,Radeon,TRUE,Raphael,AM5,5,128,DDR5,"X670E, X670, B650E, B650, A620","Jan 4th, 2023",0.8256898774279534,Unknown,TRUE,0.5747011952191234,TRUE,0.7302461251682832,FALSE
49,Intel Core i7-9700K,339,8,3.6,4.9,95,Intel UHD Graphics 630,FALSE,Coffee Lake,1151,14,12,DDR4,,"Oct 19th, 2018",0.3085931525705171,Desktop,FALSE,0.2197875166002656,FALSE,0.2325071628292312,FALSE
50,AMD Ryzen 5 2600,165,6,3.4,3.9,65,,TRUE,Zen,AM4,12,16,DDR4,"A320, B350, X370, B450, X470, A520, B550, X570","Apr 19th, 2018",0.2789879612838384,Desktop,FALSE,0.1849269588313412,FALSE,0.2035451689737305,FALSE
51,Intel Core i7-11700K,272.87,8,3.6,5,125,Intel UHD Graphics 750,TRUE,Rocket Lake,1200,14,16,DDR4,"H510, B560, Z590, Q470, H470, W480, Z490","Mar 16th, 2021",0.5314295702331272,Desktop,FALSE,0.3839641434262948,TRUE,0.3715350892333183,FALSE
52,AMD Ryzen 3 3200G,72.75,4,3.6,4,65,Radeon Vega 8,FALSE,Picasso,AM4,12,4,DDR4,,"Jul 7th, 2019",0.144442745,Desktop,FALSE,0.067895086,FALSE,0.092529946,FALSE
53,AMD Ryzen 5 3600X,210,6,3.8,4.4,95,,TRUE,Matisse,AM4,7,32,DDR4,"A300, X300, A320, B350, X370, B450, X470, A520, B550, X570","Jul 7th, 2019",0.3901986060433918,Desktop,FALSE,0.2408698539176626,FALSE,0.2498187717905347,FALSE
54,Intel Core i7-10700K,283.95,8,3.8,5.1,125,Intel UHD Graphics 630,TRUE,Comet Lake,1200,14,16,DDR4,"H410, B460, H470, Z490","Apr 30th, 2020",0.4118726649041928,Desktop,FALSE,0.3565737051792829,FALSE,0.3224136145534882,FALSE
