,name,price,core_count,core_clock,boost_clock,tdp,graphics,smt,codename,socket,lithography,cache,supported_mem,supported_chipset,release_date,passmark,category,passmarkPred,cinebench,cinePred,blender,blenderPred
37,Intel Core i7-12700KF,219.99,12,3.6,5.0,125,,True,Alder Lake-S,Socket 1700,10,25.0,"DDR4, DDR5","Z690, H670, B660, H610","Nov 4th, 2021",0.7359566518822783,Desktop,False,0.5197543160690571,False,0.5254064689840865,False
38,AMD Ryzen 9 5950X,390.0,16,3.4,4.9,105,,True,Vermeer,Socket AM4,7,64.0,DDR4,"A320, B350, X370, B450, X470, A520, B550, X570","Nov 5th, 2020",1.0,Desktop,False,0.6220119521912351,True,0.7291069764230729,False
39,Intel Core i9-13900KF,535.99,24,3.0,5.8,125,,True,Raptor Lake-S,Socket 1700,10,36.0,"DDR4, DDR5","Z690, Z790","Sep 27th, 2022",0.9377963250234874,Unknown,True,0.9868857901726427,False,0.9155303945597019,False
40,AMD Ryzen 5 4600G,104.0,6,3.7,4.2,65,Radeon Vega 7,True,Renoir,Socket AM4,7,8.0,DDR4,"A320, B350, X370, B450, X470, A520, B550, X570","Jul 21st, 2020",0.33103192116935043,Desktop,False,0.2093293492695883,True,0.24246608443508577,False
41,Intel Core i3-10100F,75.83,4,3.6,4.3,65,,True,Comet Lake,Socket 1200,14,6.0,DDR4,"H410, B460, H470, Z490","Apr 30th, 2020",0.18414210491817604,Desktop,False,0.10989375830013279,True,0.15620145672960753,False
42,Intel Core i5-12400,172.99,6,2.5,4.4,65,Intel UHD Graphics 730,True,Alder Lake-S,Socket 1700,10,18.0,"DDR4, DDR5","H610, B650, H670, Z690, H710, B750, H770, Z790","Jan 4th, 2022",0.41829622670366406,Desktop,False,0.2782204515272244,True,0.2910179847423107,False
43,Intel Core i5-13400,228.0,10,2.5,4.6,65,Intel UHD Graphics 730,True,Raptor Lake-S,Socket 1700,10,20.0,"DDR4, DDR5","H610, B650, H670, Z690, H710, B750, H770, Z790","Jan 4th, 2023",0.5601171098341672,Unknown,True,0.3552456839309429,False,0.3625772377368911,False
44,AMD Ryzen 3 4100,63.96,4,3.8,4.0,65,,True,Renoir,Socket AM4,7,8.0,DDR4,"A320, B350, X370, B450, X470, A520, B550, X570","Apr 4th, 2022",0.24669536148921759,Unknown,True,0.14243027888446214,True,0.15444095412337328,False
45,AMD Ryzen 9 7900,391.31,12,3.6,5.4,65,Radeon,True,Raphael,Socket AM5,5,64.0,DDR5,"X670E, X670, B650E, B650","Jan 14th, 2023",0.7989250365968231,Unknown,True,0.5790172642762283,True,0.7158514273878974,False
46,Intel Core i5-12600KF,219.0,10,3.7,4.9,125,,True,Alder Lake-S,Socket 1700,10,20.0,"DDR4, DDR5","Z690. H670, B660, H610","Nov 4th, 2021",0.5846752168498328,Desktop,False,0.398406374501992,False,0.3921433256239428,False
