,name,price,core_count,core_clock,boost_clock,tdp,graphics,smt,codename,socket,lithography,cache,supported_mem,supported_chipset,release_date,passmark,category,passmarkPred,cinebench,cinePred,blender,blenderPred
103,AMD Ryzen 5 1600AF,140.99,6,3.2,3.6,65,,True,Zen,Socket AM4,12,16.0,DDR4,"X470, X370, B450, B350, A320","Oct 11th, 2019",0.26989883982608315,Unknown,True,0.17015272244355908,True,0.19503607304359832,True
104,AMD Threadripper 3960X,1483.0,24,3.8,4.5,280,,True,Castle Peak,Socket TRX4,7,128.0,DDR4,,"Nov 25th, 2019",0.8087570189429526,Unknown,True,0.6037516600265604,True,0.6679554006006421,True
105,Intel Core i7-3770,143.0,4,3.4,3.4,77,Intel HD Graphics 4000,True,Ivy Bridge,Socket 1155,22,8.0,DDR3,"H61, B65, H67, Z67, H71, B75, H77, Z77","Apr 29th, 2012",0.1304594813083091,Desktop,False,0.07851925630810093,False,0.0855397148676171,False
106,Intel Core i5-8600K,245.0,6,3.6,4.3,95,Intel UHD Graphics 630,False,Coffee Lake,Socket 1151,14,9.0,DDR4,,"Oct 5th, 2017",0.21344141230964186,Desktop,False,0.14010624169986718,False,0.19080741482274155,False
107,AMD Ryzen 3 2200G,150.0,4,3.5,3.7,65,Radeon Vega 8,False,Raven Ridge,Socket AM4,14,4.0,DDR4,"A320, B350, X370, B450, X470","Feb 12th, 2018",0.13714522930367715,Desktop,False,0.06308100929614874,False,0.09182229279574719,False
108,Intel Core i9-13900F,499.99,24,2.0,5.6,65,,True,Raptor Lake-S,Socket 1700,10,36.0,"DDR4, DDR5","H610, B660, H670, Q670, Z690, W680, B760, H770, Z790","Jan 4th, 2023",0.8917607987939434,Unknown,True,0.6462483399734396,True,0.5571127757257758,False
109,Intel Core i7-4770,125.0,4,3.4,3.9,84,Intel HD Graphics 4600,True,Haswell,Socket 1150,22,8.0,DDR3,"Z87, H87, Z97, H97","Jun 2nd, 2013",0.14428980314186457,Desktop,False,0.08200531208499336,False,0.11938624046394422,False
110,Intel Core i5-12500,232.99,6,3.0,4.6,65,Intel UHD Graphics 770,True,Alder Lake-S,Socket 1700,10,18.0,"DDR4, DDR5","H610, B650, H670, Z690, H710, B750, H770, Z790","Jan 4th, 2022",0.4344206777513164,Desktop,False,0.30112881806108893,True,0.2926404087127619,False
111,Intel Core i5-7500,132.3,4,3.4,3.8,65,Intel HD Graphics 630,False,Kaby Lake,Socket 1151,14,6.0,DDR4,,"Jan 3rd, 2017",0.1231838143721733,Desktop,False,0.0698871181938911,False,0.09750077669232629,False
112,Intel Core i7-9700,340.0,8,3.0,4.7,65,Intel HD Graphics 630,False,Coffee Lake,Socket 1151,14,12.0,DDR4,,"Apr 23rd, 2019",0.28313924271887086,Desktop,False,0.21497343957503318,False,0.196882874797197,False
113,Intel Core i5-7600K,218.0,4,3.8,4.2,91,Intel HD Graphics 630,False,Kaby Lake,Socket 1151,14,6.0,DDR4,,"Jan 3rd, 2017",0.14077213834691601,Desktop,False,0.08648738379814076,False,0.11847146950188131,False
114,Intel Core i9-9900KF,395.0,8,3.6,5.0,95,,True,Coffee Lake-R,Socket 1151,14,16.0,DDR4,,"Jan 8th, 2019",0.3990692390045664,Desktop,False,0.3401394422310756,False,0.3286789326521454,False
115,AMD Ryzen 5 2400G,135.0,4,3.6,3.9,65,Radeon Vega 11,True,Raven Ridge,Socket AM4,14,4.0,DDR4,"A320, B350, X370, B450, X470","Feb 12th, 2018",0.17374205248093685,Desktop,False,0.10209163346613545,False,0.0938589526735476,False
116,AMD Ryzen 7 1700,215.0,8,3.0,3.7,65,,True,Zen,Socket AM4,14,16.0,DDR4,"A320, B350, X370, B450, X470, A520, B550, X570","Mar 2nd, 2017",0.3094671065568398,Desktop,False,0.20036520584329348,False,0.2323345645345024,False
117,Intel Core i5-10600KF,164.99,6,4.1,4.8,125,,True,Comet Lake,Socket 1200,14,12.0,DDR4,,"Apr 30th, 2020",0.3091393738119688,Desktop,False,0.23555776892430277,False,0.22209948565708174,False
118,Intel Xeon E5-2699 V4,387.1,22,2.2,3.6,145,,True,Broadwell-EP,Socket 2011-3,14,55.0,DDR4,"C612, X99","Oct 25th, 2016",0.39334484039415324,Unknown,True,0.3364873837981407,True,0.40560599261279295,True
119,Intel Core i7-10700KF,268.66,8,3.8,5.1,125,,True,Comet Lake,Socket 1200,14,16.0,DDR4,,"Apr 30th, 2020",0.408944919050012,Desktop,False,0.3565737051792829,False,0.3280230591321758,False
120,AMD Ryzen 9 3900XT,390.0,12,3.8,4.7,105,,True,Matisse 2,Socket AM4,7,64.0,DDR4,,"Jul 7th, 2020",0.7088422294566191,Desktop,False,0.5147742363877822,False,0.47816631571680074,False
121,Intel Core i5-3470,200.0,4,3.2,3.2,77,Intel HD Graphics 2500,False,Ivy Bridge,Socket 1155,22,6.0,DDR3,,"Jun 1st, 2012",0.09244248290327514,Desktop,False,0.040338645418326685,False,0.06446546308122475,False
122,Intel Core i5-7400,153.0,4,3.0,3.5,65,Intel HD Graphics 630,False,Kaby Lake,Socket 1151,14,6.0,DDR4,,"Jan 3rd, 2017",0.11083921431536628,Desktop,False,0.06108897742363878,False,0.0907694431979012,False
123,Intel Core i7-9700F,349.0,8,3.0,4.7,65,,False,Coffee Lake,Socket 1151,14,12.0,DDR4,,"Apr 23rd, 2019",0.2848216041425419,Desktop,False,0.21497343957503318,False,0.2001622423970451,False
124,Intel Core i5-4460,89.54,4,3.2,3.4,84,Intel HD Graphics 4600,False,Haswell,Socket 1150,22,6.0,DDR3,"H81, B85, H87, Z87, H91, B95, H97, Z97","May 11th, 2014",0.09630972929275272,Desktop,False,0.04664674634794157,False,0.07996478994787531,False
125,AMD FX-8350,,8,4.0,4.0,125,,False,Vishera,Socket AM3+,32,8.0,DDR3,"AMD 700 Series, AMD 800 Series, AMD 900 Series","Oct 23rd, 2012",0.1579453341781555,Unknown,True,0.10657370517928286,True,0.15706444820325174,True
126,Intel Celeron G6900,72.45,2,3.4,3.4,46,Intel UHD Graphics 710,False,Alder Lake-S,Socket 1700,10,4.0,"DDR4, DDR5","Z690, H670, B660, H610","Jan 4th, 2022",0.06598352596735782,Desktop,False,0.025730411686586983,True,0.044875556629500504,True
127,AMD Ryzen 3 3300X,195.0,4,3.8,4.3,65,,True,Matisse,Socket AM4,7,16.0,DDR4,,"Apr 24th, 2020",0.269177827787367,Desktop,False,0.1548804780876494,False,0.16945700576478306,False
128,Intel Core i9-10900KF,318.95,10,3.7,5.3,125,,True,Comet Lake,Socket 1200,14,20.0,DDR4,,"Apr 30th, 2020",0.5043151478074679,Desktop,False,0.41185258964143423,False,0.3591770513307328,False
129,Intel Core i7-9700KF,297.0,8,3.6,4.9,95,,False,Coffee Lake,Socket 1151,14,12.0,DDR4,,"Jan 8th, 2019",0.3074788612379558,Desktop,False,0.2197875166002656,False,0.2243950429769754,False
130,Intel Core i7-3770K,275.0,4,3.5,3.5,77,Intel HD Graphics 4000,True,Ivy Bridge,Socket 1155,22,8.0,DDR3,,"Apr 29th, 2012",0.13187965653608336,Desktop,False,0.07901726427622842,False,0.0881804687769685,False
131,AMD Ryzen 5 1600X,140.0,6,3.6,4.0,95,,True,Zen,Socket AM4,14,16.0,DDR4,"A320, B350, X370, B450, X470, A520, B550, X570","Apr 11th, 2017",0.2734820511700059,Desktop,False,0.1543824701195219,False,0.18628533950084575,False
132,Intel Core i5-4590,58.0,4,3.3,3.7,84,Intel HD Graphics 4600,False,Haswell,Socket 1150,22,6.0,DDR3,,"May 1st, 2014",0.10745264261836612,Desktop,False,0.05129482071713147,False,0.09677586385446513,False
133,Intel Core i3-10105,104.69,4,3.7,4.4,65,Intel UHD Graphics 630,True,Comet Lake-R,Socket 1200,14,6.0,DDR4,,"Mar 16th, 2021",0.18575891979287287,Desktop,False,0.11138778220451526,True,0.19172218578480446,False
134,Intel Celeron G5900,39.99,2,3.4,3.4,58,Intel UHD Graphics 610,False,Comet Lake,Socket 1200,14,2.0,DDR4,,"Apr 30th, 2020",0.051650680591666845,Desktop,False,0.025730411686586983,True,0.03969760778763506,True
135,Intel Core i7-4790,319.66,4,3.6,4.0,84,Intel HD Graphics 4600,True,Haswell,Socket 1150,22,8.0,DDR3,"Z87, H87, Z97, H97","May 1st, 2014",0.148768817321768,Desktop,False,0.0844953519256308,True,0.1260830542994235,False
136,Intel Core i5-11600KF,206.98,6,3.9,4.9,125,,True,Rocket Lake,Socket 1200,14,12.0,DDR4,"H510, B560, H570, Q570, W580, Z590, Q470, H470, W480, Z490","Mar 16th, 2021",0.4220323799951932,Desktop,False,0.31457503320053115,True,0.2810590631364562,False
137,Intel Core i7-4770K,192.0,4,3.5,3.9,84,Intel HD Graphics 4600,True,Haswell,Socket 1150,22,8.0,DDR3,"Z87, H87, Z97, H97","Jun 2nd, 2013",0.14645283925801306,Desktop,False,0.08515936254980079,False,0.1350754254547965,False
138,Intel Core i3-8100,163.0,4,3.6,3.6,65,Intel UHD Graphics 630,False,Coffee Lake,Socket 1151,14,6.0,DDR4,,"Oct 5th, 2017",0.12534685048832178,Desktop,False,0.0697211155378486,False,0.1169180848493217,False
139,AMD Ryzen 7 3800XT,407.95,8,3.9,4.7,105,,True,Matisse 2,Socket AM4,7,32.0,DDR4,,"Jul 7th, 2020",0.511022744652494,Desktop,False,0.38778220451527223,True,0.3328385515551106,False
140,AMD Ryzen 5 3600XT,389.0,6,3.8,4.5,95,,True,Matisse 2,Socket AM4,7,32.0,DDR4,,"Jul 7th, 2019",0.4010137866241342,Desktop,False,0.2591301460823373,False,0.2659912320066278,False
141,AMD Ryzen 7 1700X,251.0,8,3.4,3.8,95,,True,Zen,Socket AM4,14,16.0,DDR4,"A320, B350, X370, B450, X470, A520, B550, X570","Mar 2nd, 2017",0.32926216434704714,Desktop,False,0.22177954847277556,False,0.2374434740584763,False
142,AMD Ryzen 5 3500X,184.95,6,3.6,4.1,65,,False,Matisse,Socket AM4,7,32.0,DDR4,"A300, X300, A320, B350, X370, B450, X470, A520, B550, X570","Sep 24th, 2019",0.28169721864143854,Desktop,False,0.1548804780876494,False,0.15307742759501536,False
143,Intel Core i9-10980XE,923.0,18,3.0,4.8,165,,True,Cascade Lake-X,Socket 2066,14,24.75,DDR4,,"Oct 19th, 2019",0.7206187594223163,Desktop,False,0.5982735723771581,False,0.5466015395767889,False
144,Intel Core i5-12600,257.99,6,3.3,4.8,65,Intel UHD Graphics 770,True,Alder Lake-S,Socket 1700,10,18.0,"DDR4, DDR5","H610, B650, H670, Z690, H710, B750, H770, Z790",Jan-22,0.45755860953920774,Desktop,False,0.32868525896414336,True,0.162570333805102,False
145,Intel Core i9-11900KF,379.98,8,3.5,5.3,125,,True,Rocket Lake,Socket 1200,14,16.0,DDR4,"H510, B560, H570, Q570, W580, Z590, Q470, H470, W480, Z490","Mar 16th, 2021",0.5454346828639473,Desktop,False,0.3849601593625498,False,0.28993061548551896,False
146,Intel Core i5-9400,210.0,6,2.9,4.1,65,Intel UHD Graphics 630,False,Coffee Lake,Socket 1151,14,9.0,DDR4,,"Oct 19th, 2018",0.19777578710480892,Desktop,False,0.13130810092961487,False,0.14047775207980945,False
147,Intel Celeron G4900,34.99,2,3.1,3.1,65,Intel UHD Graphics 610,False,Coffee Lake,Socket 1151,14,2.0,DDR4,,"Apr 3rd, 2018",0.04417837400860845,Desktop,False,0.019422310756972108,True,0.036245641893058095,True
148,Intel Core i7-2600,155.62,4,3.4,3.4,95,Intel HD Graphics 2000,True,Sandy Bridge,Socket 1155,32,8.0,DDR3,,"Jan 9th, 2011",0.10745264261836612,Desktop,False,0.05909694555112881,True,0.07772101211640028,False
149,Intel Core i5-6400,129.99,4,2.7,3.3,65,Intel HD Graphics 530,False,Skylake,Socket 1151,14,6.0,DDR4,"H110, B150, H170, B250, H270, Z270","Jul 2nd, 2015",0.10349800083025629,Desktop,False,0.0499667994687915,False,0.09064862439159102,False
150,AMD Ryzen 5 1400,110.0,4,3.2,3.4,65,,True,Zen,Socket AM4,14,8.0,DDR4,"A320, B350, X370, B450, X470, A520, B550, X570","Apr 11th, 2017",0.16074198693438788,Desktop,False,0.08881142098273571,False,0.11161931720114607,False
151,Intel Core i5-4570,121.16,4,3.2,3.2,84,Intel HD Graphics 4600,False,Haswell,Socket 1150,22,6.0,DDR3,,"Jun 2nd, 2013",0.10428455941794665,Desktop,False,0.04897078353253652,False,0.09344471676619834,False
152,Intel Core i5-3570K,125.0,4,3.4,3.4,77,Intel HD Graphics 4000,False,Ivy Bridge,Socket 1155,22,6.0,DDR3,,"Apr 29th, 2012",0.09853831195787541,Desktop,False,0.05212483399734395,False,0.06515585626014014,False
153,Intel Core i3-4150,77.14,2,3.5,3.5,54,Intel HD Graphics 4400,True,Haswell,Socket 1150,22,3.0,DDR3,"H81, B85, H87, Z87, H91, B95, H97, Z97","May 1st, 2014",0.06410452489676419,Desktop,False,0.02539840637450199,True,0.04832752252407746,True
154,Intel Core i5-9600KF,230.0,6,3.7,4.6,95,,False,Coffee Lake,Socket 1151,14,9.0,DDR4,,"Jan 8th, 2019",0.227490222639778,Desktop,False,0.16085657370517928,False,0.18203942145051608,False
155,AMD FX-6300,,6,3.5,3.5,95,,False,Vishera,Socket AM3+,32,8.0,DDR3,,"Oct 23rd, 2012",0.13074351635386394,Unknown,True,0.08100929614873838,True,0.12081880631019365,True
156,Intel Core i5-2400,170.99,4,3.1,3.1,95,Intel HD Graphics 2000,False,Sandy Bridge,Socket 1155,32,6.0,DDR3,,"Jan 9th, 2011",0.07459197273263563,Desktop,False,0.03535856573705179,False,0.0522627636438952,False
157,Intel Core i9-9900KS,1989.0,8,4.0,5.0,127,Intel UHD Graphics 630,True,Coffee Lake-R,Socket 1151,14,16.0,DDR4,,"Oct 28th, 2019",0.4171382376717866,Desktop,False,0.33283532536520577,False,0.2980945148261935,False
158,AMD Ryzen 5 3500,,6,3.6,4.1,65,,False,Picasso,Socket FP5,12,4.0,DDR4,,"Jan 6th, 2019",0.2711442242565929,Desktop,False,0.1548804780876494,False,0.1665573544133384,False
159,Intel Core i5-8500,258.27,6,3.0,4.1,65,Intel UHD Graphics 630,False,Coffee Lake,Socket 1151,14,9.0,DDR4,,"Feb 14th, 2018",0.19991697437129932,Desktop,False,0.12250996015936255,False,0.16137940557147296,False
160,AMD Ryzen 5 1500X,225.0,4,3.5,3.7,65,,True,Zen,Socket AM4,14,16.0,DDR4,"A320, B350, X370, B450, X470, A520, B550, X570","Apr 11th, 2017",0.18914549148987303,Desktop,False,0.08565737051792828,False,0.13091580655183124,False
161,Intel Pentium Gold G7400,89.99,2,3.7,3.7,46,Intel UHD Graphics 710,True,Alder Lake-S,Socket 1700,10,6.0,"DDR4, DDR5","Z690, H670, B660, H610","Jan 4th, 2022",0.14136205728768378,Desktop,False,0.074535192563081,True,0.08975111325900101,True
162,AMD Athlon 3000G,98.99,2,3.5,3.5,35,Radeon Vega 3,True,Zen,Socket AM4,14,4.0,DDR4,,"Nov 20th, 2019",0.08857523651379753,Desktop,False,0.038014608233731734,True,0.036107563257275016,False
163,AMD Threadripper 1950X,541.64,16,3.4,4.0,180,,True,Zen,Socket SP3r2,14,32.0,DDR4,,"Aug 10th, 2017",0.38757674408442394,Unknown,True,0.3368193891102257,True,0.359004453036004,True
164,Intel Pentium Gold G6400,53.94,2,4.0,4.0,58,Intel UHD Graphics 610,True,Comet Lake,Socket 1200,14,4.0,DDR4,,"Apr 30th, 2020",0.08092813913347463,Desktop,False,0.03336653386454183,True,0.06531119472539612,False
165,AMD Ryzen 7 1800X,295.0,8,3.6,4.0,95,,True,Zen,Socket AM4,14,16.0,DDR4,"A320, B350, X370, B450, X470, A520, B550, X570","Mar 2nd, 2017",0.34695973257008017,Desktop,False,0.23588977423638777,False,0.28765231799509816,False
166,Intel Core i3-6100,100.0,2,3.7,3.7,51,Intel HD Graphics 530,True,Skylake,Socket 1151,14,4.0,DDR4,,"Sep 1st, 2015",0.0819550350674037,Desktop,False,0.03253652058432935,False,0.08367565328454554,False
167,AMD Ryzen 3 1200,115.0,4,3.1,3.4,65,,False,Zen,Socket AM4,14,8.0,DDR4,"A320, B350, X370, B450, X470, A520, B550, X570","Jul 27th, 2017",0.128427538290109,Desktop,False,0.06772908366533864,False,0.07559805309123546,False
168,Intel Xeon E5-2660,28.99,8,2.2,3.0,95,,True,Sandy Bridge-EP,Socket 2011,32,20.0,DDR3,,"Mar 6th, 2012",0.1677554676746269,Server,False,0.12068393094289509,True,0.1605164140978287,True
169,Intel Core i5-4690,100.12,4,3.5,3.9,84,Intel HD Graphics 4600,False,Haswell,Socket 1150,22,6.0,DDR3,,"May 1st, 2014",0.11243418034040506,Desktop,False,0.05610889774236387,False,0.06472436052331804,False
170,Intel Core i9-12900F,432.0,16,2.4,5.1,65,,True,Alder Lake-S,Socket 1700,10,30.0,"DDR4, DDR5","Z690, H670, B660, H610","Jan 4th, 2022",0.7712643929297123,Desktop,False,0.6166998671978752,False,0.6012634195174151,False
171,Intel Core i7-5820K,255.36,6,3.3,3.6,140,,True,Haswell-E,Socket 2011-3,22,15.0,DDR4,,"Sep 1st, 2014",0.2051170005899189,Desktop,False,0.14757636122177953,False,0.17750008629914737,False
172,AMD Threadripper 1900X,179.99,8,3.8,4.0,180,,True,Zen,Socket SP3r2,14,32.0,DDR4,,"Aug 31st, 2017",0.3315781424108021,Unknown,True,0.2241035856573705,True,0.26407539093513754,True
173,Intel Core i5-10500,219.99,6,3.1,4.5,65,Intel UHD Graphics 630,True,Comet Lake,Socket 1200,14,12.0,DDR4,,"Apr 30th, 2020",0.2759509711813673,Desktop,False,0.21497343957503318,False,0.2101902033207912,False
174,Intel Core i7-6900K,164.9,8,3.2,3.7,140,,True,Broadwell-E,Socket 2011-3,14,20.0,DDR4,,"May 31st, 2016",0.3029343005090782,Desktop,False,0.2201195219123506,True,0.26148641651420484,False
175,Intel Core i5-4670K,144.25,4,3.4,3.4,84,Intel HD Graphics 4600,False,Haswell,Socket 1150,22,6.0,DDR3,,"Jun 2nd, 2013",0.11188795909895344,Desktop,False,0.05378486055776892,False,0.10889226414443026,False
176,AMD Threadripper 1920X,280.0,12,3.5,4.0,180,,True,Zen,Socket SP3r2,14,32.0,DDR4,,"Aug 10th, 2017",0.366230417968494,Unknown,True,0.31988711819389104,True,0.3141288964065035,True
177,Intel Core i9-10900X,508.0,10,3.7,4.7,165,,True,Cascade Lake-X,Socket 2066,14,19.25,DDR4,,"Oct 19th, 2019",0.4862898468395639,Desktop,False,0.35889774236387784,False,0.3398115226621561,False
178,Intel Core i7-6850K,165.0,6,3.6,3.8,140,,True,Broadwell-E,Socket 2011-3,14,15.0,DDR4,,"May 31st, 2016",0.23747514693351393,Desktop,False,0.16367861885790172,True,0.1898581242017329,True
179,Intel Core i5-2500K,234.0,4,3.3,3.3,95,Intel HD Graphics 3000,False,Sandy Bridge,Socket 1155,32,6.0,DDR3,"Z77, Z75, Q77, H77, Q75, B75, Z68, P67, H67, Q67, B65, H61","Jan 9th, 2011",0.08020712709475847,Desktop,False,0.037018592297476755,True,0.06928095550415962,False
180,Intel Core i3-2100,49.0,2,3.1,3.1,65,Intel HD Graphics 2000,True,Sandy Bridge,Socket 1155,32,3.0,DDR3,"Z77, Z75, Q77, H77, Q75, B75, Z68, P67, H67, Q67, B65, H61","Feb 20th, 2011",0.030435447573685243,Desktop,False,0.0036520584329349237,True,0.03279367599848114,True
181,Intel Core i3-7350K,59.99,2,4.2,4.2,60,Intel HD Graphics 630,True,Kaby Lake,Socket 1151,14,4.0,DDR4,,"Jan 3rd, 2017",0.09598199654788175,Desktop,False,0.04598273572377158,True,0.06731333494425075,True
182,Intel Core i9-12900,458.99,16,2.4,5.1,65,Intel UHD Graphics 770,True,Alder Lake-S,Socket 1700,10,30.0,"DDR4, DDR5","Z690, H670, B660, H610","Jan 4th, 2022",0.8270882038060696,Desktop,False,0.6166998671978752,False,0.4092995961199903,False
183,AMD FX-8320,109.0,8,3.5,3.5,125,,False,Vishera,Socket AM3+,32,8.0,DDR3,,"Oct 23rd, 2012",0.1508663068889423,Unknown,True,0.09843957503320053,True,0.1536124823086748,True
184,Intel Core i5-6600,119.0,4,3.3,3.9,65,Intel HD Graphics 530,False,Skylake,Socket 1151,14,6.0,DDR4,"H110, B150, H170, B250, H270, Z270","Jul 1st, 2015",0.12412331490747011,Desktop,False,0.06656706507304117,False,0.11310366253581414,False
185,Intel Core i5-7600,130.0,4,3.5,4.1,65,Intel HD Graphics 630,False,Kaby Lake,Socket 1151,14,6.0,DDR4,,"Jan 3rd, 2017",0.13485110008958026,Desktop,False,0.07802124833997344,False,0.10844350857813526,False
186,Intel Core i3-7100,103.0,2,3.9,3.9,51,Intel HD Graphics 630,True,Kaby Lake,Socket 1151,14,3.0,DDR4,,"Jan 3rd, 2017",0.08556009526098451,Desktop,False,0.038014608233731734,False,0.05654320135317063,False
187,Intel Core i3-9100,140.0,4,3.6,4.2,65,Intel UHD Graphics 630,False,Coffee Lake,Socket 1151,14,6.0,DDR4,,"Sep 1st, 2018",0.13544101903034803,Desktop,False,0.07702523240371845,False,0.10871966584970141,False
188,Intel Core i5-3570,166.0,4,3.4,3.4,77,Intel HD Graphics 2500,False,Ivy Bridge,Socket 1155,22,6.0,DDR3,"H61, B65, H67, Z67, H71, B75, H77, Z77","Jun 1st, 2012",0.0979702418667657,Desktop,False,0.05212483399734395,False,0.06427560495702303,False
189,Intel Core i7-2700K,95.0,4,3.5,3.5,95,Intel HD Graphics 3000,True,Sandy Bridge,Socket 1155,32,8.0,DDR3,"Z77, Z75, Q77, H77, Q75, B75, Z68, P67, H67, Q67, B65, H61","Oct 24th, 2011",0.11313334352946317,Desktop,False,0.06523904382470119,True,0.07761745313956298,False
190,Intel Core i5-13600,,14,2.7,5.0,65,Intel UHD Graphics 770,True,Raptor Lake-S,Socket 1700,10,24.0,"DDR4, DDR5","H610, B650, H670, Z690, H710, B750, H770, Z790","Jan 4th, 2023",0.7101094627367869,Unknown,True,0.5091301460823373,True,0.5205564569022059,False
191,Intel Core i7-6800K,195.0,6,3.4,3.6,140,,True,Broadwell-E,Socket 2011-3,14,15.0,DDR4,,"May 31st, 2016",0.2240599532434617,Desktop,False,0.16218459495351925,True,0.20247505954641168,False
192,Intel Core i9-10900F,312.99,10,2.8,5.2,65,,True,Comet Lake,Socket 1200,14,20.0,DDR4,,"Apr 30th, 2020",0.4469182197557299,Desktop,False,0.3882802124833997,True,0.32448479409023434,True
193,Intel Core i7-2600K,199.88,4,3.4,3.4,95,Intel HD Graphics 3000,True,Sandy Bridge,Socket 1155,32,8.0,DDR3,"Z77, Z75, Q77, H77, Q75, B75, Z68, P67, H67, Q67, B65, H61","Jan 9th, 2011",0.11086106316502436,Desktop,False,0.06905710491367861,False,0.08270910283406399,False
194,AMD Athlon 200GE,123.89,2,3.2,3.2,35,Radeon Vega 3,True,Zen,Socket AM4,14,4.0,DDR4,"A320, B350, X370, B450, X470","Sep 6th, 2018",0.08103738338176494,Desktop,False,0.032204515272244355,True,0.055231454313231385,True
195,AMD Threadripper 2990WX,2500.0,32,3.0,4.2,250,,True,Colfax,Socket SP3r2,12,64.0,DDR4,,"Aug 13th, 2018",0.4770914811335183,Unknown,True,0.4143426294820717,True,0.5488625772377369,True
196,Intel Core i9-7900X,413.0,10,3.3,4.5,140,,True,Skylake-X,Socket 2066,14,14.0,DDR4,,"Jun 26th, 2017",0.4562913762590399,Desktop,False,0.3316733067729083,False,0.3765922192688736,False
197,Intel Core i9-10900,319.99,10,2.8,5.2,65,Intel UHD Graphics 630,True,Comet Lake,Socket 1200,14,20.0,DDR4,,"Apr 30th, 2020",0.43741397015447137,Desktop,False,0.3892762284196547,False,0.29633401221995925,False
198,Intel Core i7-8086K,476.58,6,4.0,5.0,95,Intel UHD Graphics 630,True,Coffee Lake,Socket 1151,14,12.0,DDR4,,"Jun 5th, 2018",0.30859315257051717,Desktop,False,0.20783532536520583,False,0.22755359177051332,False
199,Intel Core i9-13900T,,24,1.1,5.3,35,Intel UHD Graphics 770,True,Raptor Lake-S,Socket 1700,10,36.0,"DDR4, DDR5","B660, Z690, B760, Z790","Jan 4th, 2023",0.79455526666521,Unknown,True,0.6435922974767596,True,0.847008871552349,False
200,Intel Core i5-4440,123.85,4,3.1,3.3,84,Intel HD Graphics 4600,False,Haswell,Socket 1150,22,6.0,DDR3,,"Sep 1st, 2013",0.09377526273241713,Desktop,False,0.04415670650730412,False,0.08322689771825054,False
201,Intel Core i9-11900,363.99,8,2.5,5.2,65,Intel UHD Graphics 750,True,Rocket Lake,Socket 1200,14,16.0,DDR4,"H510, B560, H570, Q570, W580, Z590, Q470, H470, W480, Z490","Mar 16th, 2021",0.49577224759116434,Desktop,False,0.375,True,0.34317718940936864,False
202,Intel Core i9-7960X,2399.94,16,2.8,4.4,165,,True,Skylake-X,Socket 2066,14,22.0,DDR4,,"Sep 1st, 2017",0.5740348270663549,Desktop,False,0.49219787516600266,False,0.5751320376954676,False
203,Intel Core i5-11500,227.99,6,2.7,4.6,65,Intel UHD Graphics 750,True,Rocket Lake,Socket 1200,14,12.0,,,"Mar 16th, 2021",0.37580021411872666,Desktop,False,0.25630810092961487,True,0.27185957402740857,False
204,Intel Core i7-7740X,193.74,4,4.3,4.5,112,,True,Kaby Lake-X,Socket 2066,14,8.0,,,"Jun 26th, 2017",0.20620944307282218,Desktop,False,0.14176626826029215,True,0.15188649936138632,True
205,AMD Ryzen 3 1300X,115.0,4,3.5,3.7,65,,False,Zen,Socket AM4,14,8.0,,,"Jul 27th, 2017",0.14199567392776768,Desktop,False,0.07270916334661354,True,0.10528495978459732,True
206,Intel Core i5-9500,210.0,6,3.0,4.4,65,Intel UHD Graphics 630,False,Coffee Lake,Socket 1151,14,9.0,,,"Oct 19th, 2018",0.20258253402958332,Desktop,False,0.13612217795484727,False,0.14881424971521282,False
207,AMD FX-9590,302.58,8,4.7,5.0,220,,False,Vishera,Socket AM3+,32,8.0,,,"Jun 11th, 2013",0.278507286591361,Unknown,True,0.17513280212483398,True,0.23818564672581036,True
208,Intel Celeron G440,100.0,1,1.6,1.6,35,Intel HD Graphics,False,Sandy Bridge,Socket 1155,32,1.0,,,"Sep 4th, 2011",0.0,Desktop,False,0.0014940239043824688,True,0.0,True
209,Intel Core i5-10600,207.86,6,3.3,4.8,65,Intel UHD Graphics 630,True,Comet Lake,Socket 1200,14,12.0,,,"Apr 30th, 2020",0.29500316808320043,Desktop,False,0.22792164674634793,False,0.19769408678242262,False
210,Intel Core i5-8600,239.86,6,3.1,4.3,65,Intel UHD Graphics 630,False,Coffee Lake,Socket 1151,14,9.0,,,"Feb 14th, 2018",0.20588171032795122,Desktop,False,0.12666002656042497,False,0.17460043494770272,False
211,Intel Core i9-9900,595.0,8,3.1,5.0,65,Intel UHD Graphics 630,True,Coffee Lake-R,Socket 1151,14,16.0,,,"Apr 23rd, 2019",0.3593480303262033,Desktop,False,0.2880146082337317,False,0.24310469812558252,False
212,Intel Core i5-2500,58.87,4,3.3,3.3,95,Intel HD Graphics 2000,False,Sandy Bridge,Socket 1155,32,6.0,,,"Jan 9th, 2011",0.08029452249339072,Desktop,False,0.037018592297476755,True,0.06034036383720529,False
213,Intel Core i9-10920X,679.99,12,3.5,4.8,165,,True,Cascade Lake-X,Socket 2066,14,19.25,,,"Oct 19th, 2019",0.5739692805173807,Desktop,False,0.43990703851261614,True,0.3787496979529842,False
214,AMD Threadripper 2950X,1075.0,16,3.5,4.4,180,,True,Colfax,Socket SP3r2,12,32.0,,,"Aug 31st, 2018",0.6707596845026109,Unknown,True,0.5101261620185923,True,0.5126169353446788,True
