name,price,core_count,core_clock,boost_clock,tdp,graphics,smt,codename,socket,lithography,cache,supported_mem,supported_chipset,release_date,pmprice,cpuMark,category,passmarkPred,CPU ScoreMulti 15,cinePred,Blender Score,Number of Benchmarks
Intel Core i7-7700T,489.95,4,2.9,3.8,35,Intel HD Graphics 630,True,Kaby Lake,Socket 1151,14,8.0,DDR4,,"Jan 3rd, 2017",390.0,7561.0,Desktop,False,805.0,False,80.63,5.0
Intel Core i5-13500T,,14,1.6,4.6,35,Intel UHD Graphics 770,True,Raptor Lake-S,Socket 1700,10,24.0,"DDR4, DDR5","Intel 600 Series, Intel 700 Series","Jan 4th, 2023",,29382.0,,True,3165.0,True,253.0,0.0
Intel Core i3-13100T,,4,2.5,4.2,35,Intel UHD Graphics 730,True,Raptor Lake-S,Socket 1700,10,12.0,"DDR4, DDR5","Intel 600 Series, Intel 700 Series","Jan 4th, 2023",,12144.0,,True,1240.0,True,88.0,0.0
Intel Xeon E-2176G,1070.23,6,3.7,4.7,80,Intel HD Graphics P630,True,Coffee Lake-S WS,Socket 1151,14,12.0,DDR4,"C242, C246","Jul 12th, 2018",448.0,13643.0,Server,False,1467.0,True,112.0,0.0
AMD Threadripper 2970WX,1156.0,24,3.0,4.2,250,,True,Colfax,Socket SP3r2,12,64.0,DDR4,,"Oct 2nd, 2018",,22262.0,,True,2692.0,True,272.0,0.0
Intel Core i3-4160,,2,3.6,3.6,54,Intel HD Graphics 4400,True,Haswell,Socket 1150,22,3.0,DDR3,,"Jul 21st, 2014",59.99,3495.0,Desktop,False,349.0,True,20.0,0.0
Intel Core i5-11600,240.0,6,2.8,4.8,65,Intel UHD Graphics 750,True,Rocket Lake,Socket 1200,14,12.0,,,"Mar 16th, 2021",216.41,18318.0,Desktop,False,1885.0,True,178.84,1.0
Intel Core i7-920,99.0,4,2.66,2.66,130,,True,Bloomfield,Socket 1366,45,8.0,,,"Nov 17th, 2008",189.88,2741.0,Desktop,False,347.0,True,43.98,3.0
AMD FX-8370,241.98,8,4.0,4.3,125,,False,Vishera,Socket AM3+,32,8.0,,,"Sep 2nd, 2014",,7906.0,,True,673.0,False,47.18,2.0
Intel Core i9-7980XE,1193.0,18,2.6,4.4,165,,True,Skylake-X,Socket 2066,14,24.75,DDR4,,"Sep 1st, 2017",816.42,29842.0,Desktop,False,3265.0,True,305.4,5.0
AMD Athlon 220GE,104.39,2,3.4,3.4,35,Radeon Vega 3,True,Zen,Socket AM4,14,4.0,DDR4,"AMD 300 Series, AMD 400 Series","Dec 21st, 2018",,3808.0,,True,378.0,True,21.0,0.0
Intel Celeron G4900T,59.95,2,1.8,1.8,35,Intel UHD Graphics 610,False,Coffee Lake,Socket 1151,14,2.0,DDR4,,"Apr 3rd, 2018",77.95,2403.0,Desktop,False,299.0,True,8.0,0.0
AMD Phenom II X4 965 BE,90.0,4,3.4,3.4,125,,False,Deneb,Socket AM3,45,6.0,DDR3,"AMD 700 Series, AMD 800 Series, AMD 900 Series, nForce 630a, nForce 700a, nForce 900a","Nov 7th, 2009",,2893.0,,True,387.0,True,30.0,0.0
Intel Pentium Gold G6605,69.99,2,4.3,4.3,58,Intel UHD Graphics 630,True,Comet Lake-R,Socket 1200,14,4.0,DDR4,,"Mar 16th, 2021",124.25,4493.0,Desktop,False,440.0,True,28.0,0.0
Intel Core i7-5930K,,6,3.5,3.7,140,,True,Haswell-E,Socket 2011-3,22,15.0,DDR4,,"Sep 1st, 2014",319.95,10304.0,Desktop,False,1149.0,False,95.7,2.0
Intel Pentium G640,45.0,2,2.8,2.8,65,Intel HD Graphics,False,Sandy Bridge,Socket 1155,32,3.0,DDR3,,"Jun 3rd, 2012",30.0,1270.0,Desktop,False,206.0,True,4.0,0.0
Intel Core i5-4430,123.85,4,3.0,3.0,84,Intel HD Graphics 4600,False,Haswell,Socket 1150,22,6.0,DDR3,,"Jun 2nd, 2013",148.77,4646.0,Desktop,False,437.0,True,38.0,0.0
AMD Threadripper 2920X,950.0,12,3.5,4.3,180,,True,Colfax,Socket SP3r2,12,32.0,DDR4,,"Oct 3rd, 2018",,19752.0,,True,2374.0,True,191.0,0.0
Intel Core i7-3930K,298.98,6,3.2,3.2,130,,True,Sandy Bridge-E,Socket 2011,32,12.0,DDR3,,"Nov 14th, 2011",250.0,8244.0,Desktop,False,888.0,True,64.79,8.0
AMD FX-6120,58.53,6,3.5,4.1,95,,False,Zambezi,Socket AM3+,32,8.0,DDR3,,"Oct 23rd, 2012",,6986.0,,True,711.0,True,65.0,0.0
Intel Xeon E5-2698 V3,,16,2.3,3.6,135,,True,Haswell-EP,Socket 2011-3,22,40.0,DDR4,"C612, X99","Sep 8th, 2014",,13327.0,,True,1432.0,True,161.0,0.0
Intel Xeon E5-2680,80.0,8,2.7,3.5,130,,True,Sandy Bridge-EP,Socket 2011,32,20.0,DDR3,,"Mar 6th, 2012",85.45,9361.0,Server,False,1092.0,True,96.0,0.0
AMD FX-6350,100.0,6,3.9,3.9,125,,False,Vishera,Socket AM3+,32,8.0,DDR3,"AMD 700 Series, AMD 800 Series, AMD 900 Series","Apr 29th, 2013",,7189.0,,True,743.0,True,69.0,0.0
Intel Core i9-10940X,850.0,14,3.3,4.8,165,,True,Cascade Lake-X,Socket 2066,14,19.25,DDR4,,"Oct 19th, 2019",771.99,28619.0,Desktop,False,3117.0,False,259.05,4.0
Intel Xeon E5-2620 V3,55.29,6,2.4,3.2,85,,True,Haswell-EP,Socket 2011-3,22,15.0,DDR4,"C612, X99","Sep 8th, 2014",,8552.0,,True,855.0,True,77.0,0.0
Intel Celeron G3900,49.99,2,2.8,2.8,51,Intel HD Graphics 510,False,Skylake,Socket 1151,14,4.0,"DDR3, DDR4",,"Sep 1st, 2015",77.95,2212.0,Desktop,False,298.0,True,9.0,0.0
Intel Xeon E5-2699 V3,,18,2.3,3.6,145,,True,Haswell-EP,Socket 2011-3,22,45.0,DDR4,"C612, X99","Sep 8th, 2014",,16002.0,,True,1763.0,True,190.0,0.0
Intel Core i7-3820,,4,3.6,3.6,130,,True,Sandy Bridge-E,Socket 2011,32,10.0,DDR3,,"Feb 13th, 2012",117.97,5754.0,Desktop,False,609.0,True,32.7,4.0
Intel Core i7-13700T,,16,1.4,4.9,35,,True,Raptor Lake-S,Socket 1700,10,30.0,"DDR4, DDR5","B660, Z690, B760, Z790","Jan 4th, 2023",,32511.0,,True,3449.0,True,284.0,0.0
Intel Xeon E5-2630,36.65,6,2.3,2.3,95,,True,Sandy Bridge-EP,Socket 2011,32,15.0,DDR3,,"Mar 6th, 2012",49.0,6131.0,Server,False,687.0,True,56.76,1.0
Intel Core i7-860,270.0,4,2.8,2.8,95,,True,Lynnfield,Socket 1156,45,8.0,DDR3,,"Sep 8th, 2009",43.99,2890.0,Desktop,False,375.0,True,27.05,2.0
Intel Core i7-4820K,168.0,4,3.7,3.9,130,,True,Ivy Bridge-E,Socket 2011,22,10.0,DDR3,,"Sep 1st, 2013",149.73,6501.0,Desktop,False,728.0,False,39.42,3.0
AMD FX-4300,,4,3.8,3.8,95,,False,Vishera,Socket AM3+,32,8.0,DDR3,"AMD 700 Series, AMD 800 Series, AMD 900 Series","Oct 23rd, 2012",,4555.0,,True,463.0,True,39.0,0.0
Intel Core i5-2400S,99.07,4,2.5,2.5,65,Intel HD Graphics 2000,False,Sandy Bridge,Socket 1155,32,6.0,DDR3,,"Jan 9th, 2011",144.19,3160.0,Desktop,False,344.0,True,25.15,1.0
Intel Xeon E5-2697 V2,,12,2.7,3.5,130,,True,Ivy Bridge-EP,Socket 2011,22,30.0,DDR3,,"Sep 1st, 2013",,12672.0,,True,1383.0,True,138.0,0.0
Intel Core i9-7920X,538.5,12,2.9,4.4,140,,True,Skylake-X,Socket 2066,14,16.5,DDR4,,"Sep 10th, 2017",375.0,23292.0,Desktop,False,2438.0,False,272.86,4.0
Intel Core i3-10305,109.99,4,3.8,4.5,65,Intel UHD Graphics 630,True,Comet Lake-R,Socket 1200,14,8.0,DDR4,,"Mar 16th, 2021",159.99,9689.0,Desktop,False,1006.0,True,74.0,0.0
Intel Core i3-10300,178.24,4,3.7,4.4,65,Intel UHD Graphics 630,True,Comet Lake,Socket 1200,14,8.0,DDR4,,"Apr 30th, 2020",138.99,9284.0,Desktop,False,900.0,True,71.0,0.0
Intel Xeon E5-2650,48.96,8,2.0,2.8,95,,True,Sandy Bridge-EP,Socket 2011,32,20.0,DDR3,,"Mar 6th, 2012",49.0,7335.0,Server,False,841.0,True,78.0,0.0
Intel Core i7-4790S,,4,3.2,4.0,65,Intel HD Graphics 4000,True,Haswell,Socket 1150,22,8.0,DDR3,"Z87, H87, Z97, H97","May 11th, 2014",163.0,6954.0,Desktop,False,671.0,False,57.42,3.0
AMD FX-6100,72.8,6,3.3,3.3,95,,False,Zambezi,Socket AM3+,32,8.0,DDR3,,"Oct 12th, 2011",,5473.0,,True,581.0,True,55.0,0.0
Intel Core i9-9980XE,1998.95,18,3.0,4.4,165,,True,Skylake-X,Socket 2066,14,24.75,DDR4,,"Oct 19th, 2018",1442.21,31905.0,Desktop,False,3240.0,False,302.2,1.0
Intel Core i3-530,50.0,2,2.93,2.93,73,Intel HD Graphics,True,Clarkdale,Socket 1156,32,4.0,DDR3,"Intel H57, Intel H55, Intel P55","Jan 7th, 2010",115.19,1449.0,Desktop,False,206.0,True,8.0,0.0
Intel Core i5-9600,235.0,6,3.1,4.6,65,Intel UHD Graphics 630,False,Coffee Lake,Socket 1151,14,9.0,DDR4,,"Oct 19th, 2018",256.55,10369.0,Desktop,False,1120.0,True,86.0,0.0
Intel Core i7-4960X,1000.0,6,3.6,4.0,130,,True,Ivy Bridge-E,Socket 2011,22,15.0,DDR3,,"Sep 3rd, 2013",1250.0,9906.0,Desktop,False,1092.0,True,54.5,1.0
AMD Phenom II X6 1090T BE,249.98,6,3.2,3.2,125,,False,Thuban,Socket AM3,45,6.0,"DDR2, DDR3","AMD 700 Series, AMD 800 Series, AMD 900 Series, nForce 630a, nForce 700a, nForce 900a","Apr 27th, 2010",,4346.0,,True,459.0,True,50.0,0.0
Intel Core i7-8700T,328.0,6,2.4,4.0,35,Intel UHD Graphics 630,True,Coffee Lake,Socket 1151,14,12.0,DDR4,,"Apr 2nd, 2018",343.02,10431.0,Desktop,False,1132.0,True,85.0,0.0
Intel Xeon E3-1231 V3,,4,3.4,3.8,80,,True,Haswell-WS,Socket 1150,22,8.0,DDR3,"C226, 8 Series, 9 Series","May 11th, 2014",,6668.0,,True,669.0,True,54.0,0.0
Intel Xeon E3-1230 V5,298.95,4,3.4,3.8,80,,True,Skylake-DT,Socket 1151,14,8.0,"DDR3, DDR4",,"Oct 19th, 2015",,7123.0,,True,705.0,True,57.0,0.0
Intel Pentium G2020,94.79,2,2.9,2.9,55,Intel HD Graphics,False,Ivy Bridge,Socket 1155,22,3.0,DDR3,,"Jan 21st, 2013",50.0,1684.0,Desktop,False,196.0,False,11.26,1.0
Intel Core i7-9800X,449.2,8,3.8,4.5,165,,True,Skylake-X,Socket 2066,14,16.5,DDR4,,"Oct 19th, 2018",650.0,18240.0,Desktop,False,1850.0,False,140.19,3.0
Intel Pentium G3258,88.86,2,3.2,3.2,53,Intel HD Graphics,False,Haswell,Socket 1150,22,3.0,DDR3,"H81, B85, H87, Z87, H97, Z97","Jun 2nd, 2014",32.66,2091.0,Desktop,False,312.0,True,8.0,0.0
Intel Xeon E5-1620 V3,69.5,4,3.5,3.6,140,,True,Haswell-EP,Socket 2011-3,22,10.0,DDR4,"C612, X99","Sep 8th, 2014",,6025.0,,True,642.0,True,55.0,0.0
Intel Core i5-3550,335.0,4,3.3,3.3,77,Intel HD Graphics 2500,False,Ivy Bridge,Socket 1155,22,6.0,DDR3,,"Apr 29th, 2012",335.31,4783.0,Desktop,False,464.0,True,39.0,0.0
Intel Core i5-8500T,,6,2.1,3.5,35,Intel UHD Graphics 630,False,Coffee Lake,Socket 1151,14,9.0,DDR4,,"Apr 2nd, 2018",247.53,7699.0,Desktop,False,751.0,False,58.86,3.0
Intel Core i5-7640X,148.63,4,4.0,4.2,112,,False,Kaby Lake-X,Socket 2066,14,6.0,DDR4,,"Jun 26th, 2017",65.0,6675.0,Desktop,False,690.0,True,55.0,0.0
Intel Core i7-870,,4,2.93,2.93,95,,True,Lynnfield,Socket 1156,45,8.0,DDR3,,"Sep 8th, 2009",199.88,3074.0,Desktop,False,375.0,True,51.82,17.0
Intel Core i5-9500F,,6,3.0,4.4,65,,False,Coffee Lake,Socket 1151,14,9.0,DDR4,,"Apr 23rd, 2019",182.0,10330.0,Desktop,False,1072.0,True,86.0,0.0
Intel Xeon E5-2667 V3,981.57,8,3.2,3.6,135,,True,Haswell-EP,Socket 2011-3,22,20.0,DDR4,"C612, X99","Sep 8th, 2014",,12524.0,,True,1352.0,True,118.0,0.0
Intel Xeon E5-4620,50.0,8,2.2,2.6,95,,True,Sandy Bridge-EP,Socket 2011,32,16.0,DDR3,,"May 14th, 2012",71.96,6830.0,Server,False,841.0,True,75.0,0.0
Intel Core i5-3450,245.33,4,3.1,3.1,77,Intel HD Graphics 2500,False,Ivy Bridge,Socket 1155,22,6.0,DDR3,,"Apr 29th, 2012",239.95,4497.0,Desktop,False,424.0,True,37.0,0.0
Intel Core i5-2380P,,4,3.1,3.1,95,,False,Sandy Bridge,Socket 1155,32,6.0,DDR3,,"Jan 30th, 2012",77.74,3797.0,Desktop,False,412.0,True,34.0,0.0
Intel Core i3-3240,116.69,2,3.4,3.4,55,Intel HD Graphics 2500,True,Ivy Bridge,Socket 1155,22,3.0,DDR3,,"Sep 3rd, 2012",42.17,2287.0,Desktop,False,306.0,False,11.01,4.0
Intel Core i7-980X,153.64,6,3.33,3.33,130,,True,Gulftown,Socket 1366,32,12.0,DDR3,,"Mar 16th, 2010",144.62,6813.0,Desktop,False,734.0,True,69.0,0.0
AMD FX-4350,122.96,4,4.2,4.2,125,,False,Vishera,Socket AM3+,32,8.0,DDR3,"AMD 700 Series, AMD 800 Series, AMD 900 Series","Apr 29th, 2013",,4095.0,,True,436.0,True,39.0,0.0
Intel Xeon E3-1220 V3,90.0,4,3.1,3.5,80,,False,Haswell-WS,Socket 1150,22,8.0,DDR3,"C226, 8 Series, 9 Series","Jun 2nd, 2013",,4942.0,,True,464.0,True,40.0,0.0
Intel Core i7-950,113.69,4,3.06,3.06,130,,True,Bloomfield,Socket 1366,45,8.0,DDR3,,"Jun 2nd, 2009",264.88,3154.0,Desktop,False,384.0,True,34.0,0.0
Intel Core i7-4770S,150.61,4,3.1,3.1,65,Intel HD Graphics 4600,True,Haswell,Socket 1150,22,8.0,DDR3,"Z87, H87, Z97, H97","Jun 2nd, 2013",1270.0,6819.0,Desktop,False,677.0,True,53.0,0.0
Intel Core i3-6300,89.01,2,3.8,3.8,51,Intel HD Graphics 530,True,Skylake,Socket 1151,14,4.0,DDR4,,"Sep 1st, 2015",163.49,4386.0,Desktop,False,428.0,True,26.0,0.0
Intel Xeon E5-1650 V3,148.51,6,3.5,3.8,140,,True,Haswell-EP,Socket 2011-3,22,15.0,DDR4,"C612, X99","Sep 8th, 2014",,9958.0,,True,1092.0,True,92.0,0.0
Intel Xeon E5-1630 V4,499.95,4,3.7,4.0,140,,True,Broadwell-EP,Socket 2011-3,14,10.0,DDR4,"C612, X99","Jun 20th, 2016",,7459.0,,True,755.0,True,65.0,0.0
Intel Core i5-650,,2,3.2,3.2,73,Intel HD Graphics,True,Clarkdale,Socket 1156,32,4.0,DDR3,"Intel H57, Intel H55, Intel P55","Jan 7th, 2010",33.98,2215.0,Desktop,False,313.0,True,13.0,0.0
Intel Xeon E5-2640 V3,112.0,8,2.6,3.4,90,,True,Haswell-EP,Socket 2011-3,22,20.0,DDR4,"C612, X99","Sep 8th, 2014",,10875.0,,True,1208.0,True,103.0,0.0
Intel Xeon E3-1230 V2,271.85,4,3.3,3.3,69,,True,Ivy Bridge,Socket 1155,22,8.0,DDR3,,"May 14th, 2012",61.97,6192.0,Server,False,615.0,True,50.0,0.0
AMD Athlon 240GE,104.39,2,3.5,3.5,35,Radeon Vega 3,True,Zen,Socket AM4,14,4.0,DDR4,"AMD 300 Series, AMD 400 Series","Dec 21st, 2018",138.0,4551.0,Desktop,False,441.0,True,26.0,0.0
Intel Xeon E5-2660 V3,142.62,10,2.6,3.3,105,,True,Haswell-EP,Socket 2011-3,22,25.0,DDR4,"C612, X99","Sep 8th, 2014",,11397.0,,True,1202.0,True,117.0,0.0
Intel Xeon E5-2650 V2,,8,2.6,3.4,95,,True,Ivy Bridge-EP,Socket 2011,22,20.0,DDR3,,"Sep 1st, 2013",,10875.0,,True,1209.0,True,103.0,0.0
Intel Celeron G4920,79.95,2,3.2,3.2,65,Intel UHD Graphics 610,False,Coffee Lake,Socket 1151,14,6.0,DDR4,,"Apr 3rd, 2018",212.73,2406.0,Desktop,False,313.0,True,12.0,0.0
Intel Core i5-2320,255.39,4,3.0,3.0,95,Intel HD Graphics 2000,False,Sandy Bridge,Socket 1155,32,6.0,DDR3,,"Sep 4th, 2011",303.5,3632.0,Desktop,False,372.0,True,22.16,2.0
Intel Core i5-3350P,,4,3.1,3.1,69,,False,Ivy Bridge,Socket 1155,22,6.0,DDR3,,"Sep 3rd, 2012",165.0,4237.0,Desktop,False,392.0,True,34.0,0.0
Intel Core i5-4590S,,4,3.0,3.7,65,Intel HD Graphics 4000,False,Haswell,Socket 1150,22,6.0,DDR3,,"May 1st, 2014",260.0,5095.0,Desktop,False,477.0,False,45.67,3.0
Intel Celeron G3930,55.0,2,2.9,2.9,51,Intel HD Graphics 610,False,Kaby Lake,Socket 1151,14,2.0,DDR4,,"Jan 3rd, 2017",179.88,2270.0,Desktop,False,298.0,True,9.0,0.0
Intel Core i5-750,102.0,4,2.66,2.66,95,,False,Lynnfield,Socket 1156,45,8.0,DDR3,,"Sep 8th, 2009",200.0,2495.0,Desktop,False,342.0,True,20.61,1.0
Intel Xeon E5-1660 V3,398.95,8,3.0,3.5,140,,True,Haswell-EP,Socket 2011-3,22,20.0,DDR4,"C612, X99","Sep 8th, 2014",,12036.0,,True,1352.0,True,115.0,0.0
AMD Phenom II X4 955,,4,3.2,3.2,125,,False,Deneb,Socket AM3,45,6.0,DDR3,"AMD 700 Series, AMD 800 Series, AMD 900 Series, nForce 630a, nForce 700a, nForce 900a","Apr 1st, 2009",176.18,2432.0,Desktop,False,351.0,True,27.0,0.0
Intel Core i5-760,219.0,4,2.8,2.8,95,,False,Lynnfield,Socket 1156,45,8.0,DDR3,,"Jul 18th, 2010",265.0,2599.0,Desktop,False,342.0,True,25.0,0.0
Intel Xeon E5-1650 V4,,6,3.6,4.0,140,,True,Broadwell-EP,Socket 2011-3,14,15.0,DDR4,"C612, X99","Jun 20th, 2016",,12063.0,,True,1332.0,True,106.0,0.0
Intel Xeon E5-2695 V2,369.99,12,2.4,3.2,115,,True,Ivy Bridge-EP,Socket 2011,22,30.0,DDR3,,"Sep 1st, 2013",,11436.0,,True,1234.0,True,128.0,0.0
Intel Xeon E5-2697 V3,,14,2.6,3.6,145,,True,Haswell-EP,Socket 2011-3,22,35.0,DDR4,"C612, X99","Sep 8th, 2014",,13484.0,,True,1542.0,True,154.0,0.0
Intel Core i7-4771,,4,3.5,3.9,84,Intel HD Graphics 4600,True,Haswell,Socket 1150,22,8.0,DDR3,"Z87, H87, Z97, H97","Sep 1st, 2013",196.86,7074.0,Desktop,False,698.0,True,51.07,1.0
Intel Core i7-5775C,220.0,4,3.3,3.7,65,Iris Pro Graphics 6200,True,Broadwell,Socket 1150,14,6.0,DDR3,"Z97, H97","May 15th, 2015",174.95,7801.0,Desktop,False,707.0,True,60.0,0.0
Intel Core i7-3770S,183.0,4,3.1,3.1,65,Intel HD Graphics 4000,True,Ivy Bridge,Socket 1155,22,8.0,DDR3,,"Apr 29th, 2012",114.0,6178.0,Desktop,False,615.0,True,49.0,0.0
Intel Core i7-990X,,6,3.467,3.467,130,,True,Gulftown,Socket 1366,32,12.0,DDR3,,"Feb 24th, 2011",1500.19,7137.0,Desktop,False,788.0,True,71.0,0.0
Intel Core i3-4370,96.95,2,3.8,3.8,54,Intel HD Graphics 4600,True,Haswell,Socket 1150,22,4.0,DDR3,,"Jul 21st, 2014",299.0,3807.0,Desktop,False,387.0,True,23.0,0.0
Intel Xeon E3-1245 V5,,4,3.5,3.9,80,Intel HD Graphics P530,True,Skylake-DT,Socket 1151,14,8.0,"DDR3, DDR4",,"Oct 19th, 2015",,7375.0,,True,709.0,True,59.0,0.0
Intel Xeon E5-2630 V3,,8,2.4,3.2,85,,True,Haswell-EP,Socket 2011-3,22,20.0,DDR4,"C612, X99","Sep 8th, 2014",,10875.0,,True,1183.0,True,102.0,0.0
Intel Pentium G4600,,2,3.6,3.6,51,Intel HD Graphics 630,True,Kaby Lake,Socket 1151,14,3.0,DDR4,,"Jan 3rd, 2017",104.94,3605.0,Desktop,False,349.0,True,21.0,0.0
Intel Core i9-9900T,,8,2.1,4.4,35,Intel UHD Graphics 630,True,Coffee Lake-R,Socket 1151,14,16.0,DDR4,,"Apr 23rd, 2019",439.0,13947.0,Desktop,False,1559.0,True,119.0,0.0
Intel Core i7-940,78.67,4,2.93,2.93,130,,True,Bloomfield,Socket 1366,45,8.0,DDR3,,"Nov 17th, 2008",49.0,3066.0,Desktop,False,375.0,True,34.0,0.0
Intel Core i5-6500T,,4,2.5,3.1,35,Intel HD Graphics 530,False,Skylake,Socket 1151,14,6.0,"DDR3, DDR4","Intel 100 Series, Intel 200 Series","Jul 2nd, 2015",221.52,4845.0,Desktop,False,464.0,False,45.52,1.0
Intel Xeon E5-1660 V2,504.07,6,3.7,4.0,130,,True,Ivy Bridge-E,Socket 2011,22,15.0,DDR3,"C602, X79","Sep 10th, 2013",,10609.0,,True,1182.0,True,95.0,0.0
AMD FX-4100,,4,3.6,3.6,95,,False,Zambezi,Socket AM3+,32,8.0,DDR3,,"Oct 12th, 2011",,4141.0,,True,419.0,True,36.0,0.0
Intel Core i5-3470S,,4,2.9,2.9,65,Intel HD Graphics 2500,False,Ivy Bridge,Socket 1155,22,6.0,DDR3,,"Jun 1st, 2012",69.0,4353.0,Desktop,False,417.0,True,25.69,1.0
Intel Pentium G3220,,2,3.0,3.0,54,Intel HD Graphics,False,Haswell,Socket 1150,22,3.0,DDR3,,"Sep 1st, 2013",64.8,1849.0,Desktop,False,204.0,True,7.0,0.0
Intel Core i3-10320,159.18,4,3.8,4.6,65,Intel UHD Graphics 630,True,Comet Lake,Socket 1200,14,8.0,DDR4,,"Apr 30th, 2020",133.95,10115.0,Desktop,False,1080.0,False,75.73,1.0
Intel Xeon E-2136,399.99,6,3.3,4.5,80,,True,Coffee Lake-S WS,Socket 1151,14,12.0,DDR4,"C242, C246","Jul 12th, 2018",321.99,13356.0,Server,False,1436.0,True,110.0,0.0
Intel Xeon E5-1650 V2,242.6,6,3.5,3.9,130,,True,Ivy Bridge-E,Socket 2011,22,12.0,DDR3,"C602, X79","Sep 10th, 2013",,10211.0,,True,1134.0,True,93.0,0.0
Intel Core i5-7500T,199.95,4,2.7,3.3,35,Intel HD Graphics 630,False,Kaby Lake,Socket 1151,14,6.0,DDR4,,"Jan 3rd, 2017",188.98,5319.0,Desktop,False,503.0,True,38.0,0.0
Intel Core i5-4570S,163.93,4,2.9,2.9,65,Intel HD Graphics 4600,False,Haswell,Socket 1150,22,6.0,DDR3,,"Jun 2nd, 2013",169.59,4914.0,Desktop,False,462.0,False,42.11,2.0
Intel Core i3-3250,74.98,2,3.5,3.5,55,Intel HD Graphics 2500,True,Ivy Bridge,Socket 1155,22,3.0,DDR3,"Intel 60 Series, Intel 70 Series","Jun 9th, 2013",82.9,2401.0,Desktop,False,315.0,True,13.0,0.0
Intel Core i3-8300,,4,3.7,3.7,62,Intel UHD Graphics 630,False,Coffee Lake,Socket 1151,14,8.0,DDR4,,"Feb 14th, 2018",265.7,6136.0,Desktop,False,596.0,True,47.0,0.0
Intel Xeon E5-2670,,8,2.6,3.3,115,,True,Sandy Bridge-EP,Socket 2011,32,20.0,DDR3,,"Mar 6th, 2012",71.0,8902.0,Server,False,945.0,True,91.0,0.0
AMD FX-8150,,8,3.6,3.6,125,,False,Zambezi,Socket AM3+,32,8.0,DDR3,,"Oct 12th, 2011",,7819.0,,True,833.0,True,83.0,0.0
Intel Core i3-4130T,77.14,2,2.9,2.9,35,Intel HD Graphics 4400,True,Haswell,Socket 1150,22,3.0,DDR3,,"Sep 1st, 2013",248.56,2874.0,Desktop,False,333.0,True,14.0,0.0
Intel Xeon E5-2680 V2,,10,2.8,3.6,115,,True,Ivy Bridge-EP,Socket 2011,22,25.0,DDR3,,"Sep 1st, 2013",,12986.0,,True,1316.0,True,129.0,0.0
AMD Phenom II X6 1055T,,6,2.8,2.8,125,,False,Thuban,Socket AM3,45,6.0,"DDR2, DDR3","AMD 700 Series, AMD 800 Series, AMD 900 Series, nForce 630a, nForce 700a, nForce 900a","May 1st, 2010",46.36,3195.0,Desktop,False,403.0,True,42.0,0.0
AMD FX-8120,,8,3.1,3.1,125,,False,Zambezi,Socket AM3+,32,8.0,DDR3,,"Oct 12th, 2011",,5832.0,,True,684.0,True,69.0,0.0
AMD FX-8320E,,8,3.2,4.0,95,,False,Vishera,Socket AM3+,32,8.0,DDR3,"AMD 700 Series, AMD 800 Series, AMD 900 Series","Sep 2nd, 2014",,7360.0,,True,584.0,False,36.76,1.0
Intel Core i3-9300,248.0,4,3.7,4.3,62,Intel UHD Graphics 630,False,Coffee Lake,Socket 1151,14,8.0,,,"Apr 23rd, 2019",194.99,7279.0,Desktop,False,701.0,True,55.0,0.0
Intel Core i5-4440S,123.85,4,2.8,3.3,65,Intel HD Graphics 4600,False,Haswell,Socket 1150,22,6.0,,,"Sep 1st, 2013",188.0,4277.0,Desktop,False,425.0,True,37.57,1.0
Intel Xeon E5-2690 V3,,12,2.6,3.5,135,,True,Haswell-EP,Socket 2011-3,22,30.0,,,"Sep 8th, 2014",,12672.0,,True,1383.0,True,138.0,0.0
Intel Core i5-8400T,,6,1.7,3.3,35,Intel UHD Graphics 630,False,Coffee Lake,Socket 1151,14,9.0,,,"Apr 2nd, 2018",239.84,7447.0,Desktop,False,696.0,False,80.67,1.0
Intel Core i5-4570T,128.8,2,2.9,2.9,35,Intel HD Graphics 4600,True,Haswell,Socket 1150,22,4.0,,,"Jun 2nd, 2013",464.64,3136.0,Desktop,False,333.0,True,29.61,1.0
Intel Core i7-3970X,239.87,6,3.5,3.5,150,,True,Sandy Bridge-E,Socket 2011,32,15.0,,,"Nov 1st, 2012",187.0,8373.0,Desktop,False,892.0,True,82.0,0.0
Intel Xeon E3-1230 V3,325.86,4,3.3,3.7,80,,True,Haswell-WS,Socket 1150,22,8.0,DDR3,"C226, 8 Series, 9 Series","Jun 2nd, 2013",,6686.0,,True,622.0,True,54.0,0.0
Intel Core i7-3960X,782.9,6,3.3,3.3,130,,True,Sandy Bridge-E,Socket 2011,32,15.0,DDR3,,"Nov 14th, 2011",159.99,8596.0,Desktop,False,911.0,True,73.66,3.0
Intel Celeron G1610,,2,2.6,2.6,55,Intel HD Graphics,False,Ivy Bridge,Socket 1155,22,2.0,DDR3,,"Dec 3rd, 2012",37.0,1478.0,Desktop,False,204.0,True,4.0,0.0
Intel Core i5-2300,,4,2.8,2.8,95,Intel HD Graphics 2000,False,Sandy Bridge,Socket 1155,32,6.0,DDR3,,"Jan 9th, 2011",40.26,3380.0,Desktop,False,372.0,True,31.0,0.0
Intel Core i9-9820X,,10,3.3,4.1,165,,True,Skylake-X,Socket 2066,14,16.5,DDR4,,"Oct 19th, 2018",685.0,18288.0,Desktop,False,1841.0,True,170.0,0.0
