name,price,core_count,core_clock,boost_clock,tdp,graphics,smt,codename,socket,lithography,cache,supported_mem,supported_chipset,release_date,pmprice,cpuMark,threadMark,category
AMD Threadripper 2990WX,2500.0,32,3.0,4.2,250,,True,Colfax,Socket SP3r2,12 nm,64 MB,DDR4,,"Aug 13th, 2018",,,,
Intel Core i9-7900X,413.0,10,3.3,4.5,140,,True,Skylake-X,Socket 2066,14 nm,14 MB,DDR4,,"Jun 26th, 2017",269.98,21310.0,2594.0,Desktop
Intel Core i9-10900,319.99,10,2.8,5.2,65,Intel UHD Graphics 630,True,Comet Lake,Socket 1200,14 nm,20 MB,DDR4,,"Apr 30th, 2020",389.97,20446.0,3057.0,Desktop
Intel Core i7-8086K,476.58,6,4.0,5.0,95,Intel UHD Graphics 630,True,Coffee Lake,Socket 1151,14 nm,12 MB,DDR4,,"Jun 5th, 2018",549.0,14550.0,2895.0,Desktop
Intel Core i9-13900T,,24,1.1,5.3,35,Intel UHD Graphics 770,True,Raptor Lake-S,Socket 1700,10 nm,36 MB,"DDR4, DDR5","B660, Z690, B760, Z790","Jan 4th, 2023",,,,
Intel Core i5-4440,123.85,4,3.1,3.3,84,Intel HD Graphics 4600,False,Haswell,Socket 1150,22 nm,6 MB,DDR3,,"Sep 1st, 2013",79.0,4718.0,1860.0,Desktop
Intel Core i9-11900,363.99,8,2.5,5.2,65,Intel UHD Graphics 750,True,Rocket Lake,Socket 1200,14 nm,16 MB,DDR4,"H510, B560, H570, Q570, W580, Z590, Q470, H470, W480, Z490","Mar 16th, 2021",347.88,23117.0,3443.0,Desktop
Intel Pentium Gold G5420,58.99,2,3.8,3.8,54,Intel UHD Graphics 610,True,,,,,,,,129.55,3641.0,2286.0,Desktop
Intel Core i9-7960X,2399.94,16,2.8,4.4,165,,True,Skylake-X,Socket 2066,14 nm,22 MB,DDR4,,"Sep 1st, 2017",990.97,26699.0,2525.0,Desktop
Intel Core i5-11500,227.99,6,2.7,4.6,65,Intel UHD Graphics 750,True,Rocket Lake,Socket 1200,14 nm,12 MB,,,"Mar 16th, 2021",197.19,17626.0,3153.0,Desktop
Intel Core i7-7740X,193.74,4,4.3,4.5,112,,True,Kaby Lake-X,Socket 2066,14 nm,8 MB,,,"Jun 26th, 2017",225.99,9864.0,2805.0,Desktop
Intel Pentium E6600,50.0,2,3.06,3.06,65,,False,Wolfdale,Socket 775,45 nm,,,,"Jan 17th, 2010",16.99,1072.0,1156.0,Desktop
AMD Ryzen 3 1300X,,4,3.5,3.7,65,,False,Zen,Socket AM4,14 nm,8 MB,,,"Jul 27th, 2017",115.0,6925.0,2096.0,Desktop
Intel Core i5-9500,210.0,6,3.0,4.4,65,Intel UHD Graphics 630,False,Coffee Lake,Socket 1151,14 nm,9 MB,,,"Oct 19th, 2018",297.59,9698.0,2578.0,Desktop
AMD FX-9590,302.58,8,4.7,5.0,220,,False,Vishera,Socket AM3+,32 nm,8 MB,,,"Jun 11th, 2013",,,,
Intel Celeron G440,,1,1.6,1.6,35,Intel HD Graphics,False,Sandy Bridge,Socket 1155,32 nm,1 MB,,,"Sep 4th, 2011",100.0,426.0,739.0,Desktop
Intel Core i5-10600,207.86,6,3.3,4.8,65,Intel UHD Graphics 630,True,Comet Lake,Socket 1200,14 nm,12 MB,,,"Apr 30th, 2020",219.99,13928.0,2911.0,Desktop
Intel Core i5-8600,239.86,6,3.1,4.3,65,Intel UHD Graphics 630,False,Coffee Lake,Socket 1151,14 nm,9 MB,,,"Feb 14th, 2018",275.67,9849.0,2582.0,Desktop
Intel Core i9-9900,595.0,8,3.1,5.0,65,Intel UHD Graphics 630,True,Coffee Lake-R,Socket 1151,14 nm,16 MB,,,"Apr 23rd, 2019",458.99,16873.0,2863.0,Desktop
Intel Core i5-2500,,4,3.3,3.3,95,Intel HD Graphics 2000,False,Sandy Bridge,Socket 1155,32 nm,6 MB,,,"Jan 9th, 2011",58.87,4101.0,1708.0,Desktop
Intel Core i9-10920X,679.99,12,3.5,4.8,165,,True,Cascade Lake-X,Socket 2066,14 nm,19.25 MB,,,"Oct 19th, 2019",679.99,26696.0,2766.0,Desktop
AMD Threadripper 2950X,1075.0,16,3.5,4.4,180,,True,Colfax,Socket SP3r2,12 nm,32 MB,,,"Aug 31st, 2018",,,,
Intel Core i9-11900F,312.5,8,2.5,5.2,65,,True,Rocket Lake,Socket 1200,14 nm,16 MB,,,"Mar 16th, 2021",379.99,23814.0,3528.0,Desktop
Intel Core i3-4130,77.14,2,3.4,3.4,54,Intel HD Graphics 4400,True,Haswell,Socket 1150,22 nm,3 MB,DDR3,,"Sep 1st, 2013",72.29,3291.0,1890.0,Desktop
Intel Pentium Gold G5400,64.95,2,3.7,3.7,58,Intel UHD Graphics 610,True,Coffee Lake,Socket 1151,14 nm,4 MB,DDR4,,"Apr 2nd, 2018",112.88,3723.0,2224.0,Desktop
Intel Pentium G4400,42.99,2,3.3,3.3,54,Intel HD Graphics 510,False,Skylake,Socket 1151,14 nm,4 MB,"DDR3, DDR4",,"Sep 1st, 2015",97.41,2599.0,2024.0,Desktop
Intel Core i3-4170,,2,3.7,3.7,54,Intel HD Graphics 4400,True,Haswell,Socket 1150,22 nm,3 MB,DDR3,"Intel 8 Series, Intel 9 Series","May 1st, 2014",95.8,3569.0,2069.0,Desktop
Intel Xeon E5-2670 V3,,12,2.3,3.1,120,,True,Haswell-EP,Socket 2011-3,22 nm,30 MB,"DDR3, DDR4","C612, X99","Sep 8th, 2014",,,,
Intel Core i7-6950X,328.29,10,3.0,3.5,140,,True,Broadwell-E,Socket 2011-3,14 nm,25 MB,DDR4,,"May 31st, 2016",377.32,17142.0,2334.0,Desktop
Intel Pentium G4560,,2,3.5,3.5,54,Intel HD Graphics 610,True,Kaby Lake,Socket 1151,14 nm,3 MB,DDR4,,"Jan 3rd, 2017",168.0,3513.0,2103.0,Desktop
Intel Core i3-9350KF,,4,4.0,4.6,91,,False,Coffee Lake,Socket 1151,14 nm,8 MB,DDR4,,"Jan 8th, 2019",207.36,7318.0,2666.0,Desktop
Intel Core i3-3220,,2,3.3,3.3,55,Intel HD Graphics 2500,True,Ivy Bridge,Socket 1155,22 nm,3 MB,DDR3,,"Sep 3rd, 2012",39.94,2203.0,1725.0,Desktop
Intel Core i7-4930K,175.0,6,3.4,3.9,130,,True,Ivy Bridge-E,Socket 2011,22 nm,12 MB,DDR3,,"Sep 1st, 2013",174.85,9360.0,1963.0,Desktop
Intel Core i3-8350K,217.3,4,4.0,4.0,91,Intel UHD Graphics 630,False,Coffee Lake,Socket 1151,14 nm,8 MB,DDR4,,"Oct 5th, 2017",206.16,6862.0,2489.0,Desktop
Intel Core i7-7800X,405.86,6,3.5,4.0,140,,True,Skylake-X,Socket 2066,14 nm,8.25 MB,DDR4,,"Jun 26th, 2017",199.99,12864.0,2414.0,Desktop
Intel Pentium Gold G6405,72.98,2,4.1,4.1,58,Intel UHD Graphics 610,True,Comet Lake-R,Socket 1200,14 nm,4 MB,DDR4,,"Mar 16th, 2021",60.1,4285.0,2534.0,Desktop
AMD FX-8300,100.0,8,3.3,3.3,95,,False,Vishera,Socket AM3+,32 nm,8 MB,DDR3,"AMD 700 Series, AMD 800 Series, AMD 900 Series","Oct 23rd, 2012",,,,
Intel Core i5-4670,135.86,4,3.4,3.4,84,Intel HD Graphics 4600,False,Haswell,Socket 1150,22 nm,6 MB,DDR3,,"Jun 2nd, 2013",100.0,5440.0,2142.0,Desktop
Intel Core i5-3330,,4,3.0,3.0,77,Intel HD Graphics 2500,False,Ivy Bridge,Socket 1155,22 nm,6 MB,DDR3,,"Sep 3rd, 2012",74.35,4090.0,1726.0,Desktop
AMD A6-7400K,105.0,2,3.5,3.9,65,Radeon R5 (on die),False,Kaveri,Socket FM2+,28 nm,,DDR3,"A88X, A85X, A78, A75, A68H","Jul 31st, 2014",,,,
Intel Core i7-5960X,,8,3.0,3.5,140,,True,Haswell-E,Socket 2011-3,22 nm,20 MB,DDR4,,"Sep 1st, 2014",215.61,12719.0,1979.0,Desktop
