name,price,capacity,price_per_gb,type,cache,form_factor,interface,speed
Intel DC S3520,245,480,0.51,SSD,0,2.5,SATA 6.0 Gb/s,550
ADATA XPG GAMMIX S50,,1000,,SSD,0,M.2,M.2 PCIe 4.0 X4,7000
Western Digital Purple,289,14000,0.021,7200,512,3.5,SATA 6.0 Gb/s,160
Kingston KC2500,,250,,SSD,0,M.2,M.2 PCIe 3.0 X4,3500
Synology SAT5200,,3840,,SSD,0,2.5,SATA 6.0 Gb/s,550
Acer SA100,,960,,SSD,0,2.5,SATA 6.0 Gb/s,550
Integral M,,256,,SSD,0,M.2,M.2 PCIe 3.0 X4,3500
Lexar NM610,36.99,250,0.148,SSD,0,M.2,M.2 PCIe 3.0 X4,3500
PNY CS900,,8000,,SSD,0,2.5,SATA 6.0 Gb/s,550
Klevv CRAS C700 RGB,,960,,SSD,0,M.2,M.2 PCIe 3.0 X4,3500
KingSpec P3,,1000,,SSD,0,2.5,SATA 6.0 Gb/s,550
Verbatim Vi3000,122.28,1000,0.122,SSD,0,M.2,M.2 PCIe 3.0 X4,3500
Seagate Beskar Ingot Drive Special Edition FireCuda,,1000,,SSD,0,2.5,SATA 6.0 Gb/s,550
Seagate Beskar Ingot Drive Special Edition FireCuda,,500,,SSD,0,M.2,M.2 PCIe 4.0 X4,7000
Gigabyte AORUS Gen4 7000s Premium,,2000,,SSD,1024,M.2,M.2 PCIe 4.0 X4,7000
MSI SPATIUM M460 HS,,250,,SSD,0,M.2,M.2 PCIe 4.0 X4,7000
Leven JPS800,,1000,,SSD,0,M.2,M.2 PCIe 4.0 X4,7000
Netac NV5000,,500,,SSD,0,M.2,M.2 PCIe 4.0 X4,7000
Lexar NM760,186,512,0.363,SSD,0,M.2,M.2 PCIe 4.0 X4,7000
Leven JPS850,,2000,,SSD,0,M.2,M.2 PCIe 4.0 X4,7000
Toshiba N300,295.99,14000,0.021,7200,0,3.5,SATA 6.0 Gb/s,160
Intel D3-S4510,262,3840,0.068,SSD,0,2.5,SATA 6.0 Gb/s,550
Intel D3-S4510,821.25,7680,0.107,SSD,0,2.5,SATA 6.0 Gb/s,550
Western Digital WDBMYH5000ANC-NRSN,24.94,500,0.05,5400,8,2.5,SATA 3.0 Gb/s,160
Western Digital RE4,,2000,,7200,64,3.5,SATA 3.0 Gb/s,160
TEAMGROUP T-Force Cardea A440 Pro Special Series,,2000,,SSD,0,M.2,M.2 PCIe 4.0 X4,7000
Western Digital Scorpio Blue,85.06,320,0.266,5400,8,2.5,SATA 3.0 Gb/s,160
TEAMGROUP MP44S,195.99,2000,0.098,SSD,0,M.2-2242,M.2 PCIe 4.0 X4,7000
Western Digital Scorpio Blue,41,750,0.055,5400,8,2.5,SATA 3.0 Gb/s,160
Western Digital Purple,79.98,3000,0.027,5400,64,3.5,SATA 6.0 Gb/s,160
Hitachi 0B36040,100.98,4000,0.025,7200,256,3.5,SATA 6.0 Gb/s,160
Addlink X70,154.99,2000,0.077,SSD,0,M.2,M.2 PCIe 3.0 X4,3500
Western Digital Black SN750 Rev2,,250,,SSD,0,M.2,M.2 PCIe 3.0 X4,3500
Western Digital Red SA500,49.99,500,0.1,SSD,0,M.2,M.2 SATA,550
Seagate BarraCuda 120,399.95,2000,0.2,SSD,0,2.5,SATA 6.0 Gb/s,550
Lexar Professional NM800PRO w/Heatsink,82.99,512,0.162,SSD,0,M.2,M.2 PCIe 4.0 X4,7000
Samsung Spinpoint F1 DT,69.98,640,0.109,7200,16,3.5,SATA 3.0 Gb/s,160
Samsung Spinpoint MP4,29.99,250,0.12,7200,16,2.5,SATA 3.0 Gb/s,160
Crucial M500,380.77,480,0.793,SSD,0,M.2,M.2 SATA,550
Western Digital Purple,156.94,6000,0.026,5400,64,3.5,SATA 6.0 Gb/s,160
Corsair Neutron XTi,,1920,,SSD,0,2.5,SATA 6.0 Gb/s,550
Toshiba XG3,149.99,512,0.293,SSD,0,M.2,M.2 PCIe 3.0 X4,3500
Seagate Barracuda 7200.9,39.99,160,0.25,7200,8,3.5,SATA 6.0 Gb/s,160
Kingston UV500B,,120,,SSD,0,M.2,M.2 SATA,550
Seagate Barracuda Compute,,1000,,SSD,0,2.5,SATA 6.0 Gb/s,550
Seagate Enterprise Capacity,,2000,,7200,128,2.5,SATA 6.0 Gb/s,160
ADATA SU635,,960,,SSD,0,2.5,SATA 6.0 Gb/s,550
Mushkin Pilot-E,48.62,500,0.097,SSD,0,M.2,M.2 PCIe 3.0 X4,3500
Seagate IronWolf NAS,129.99,240,0.542,SSD,0,2.5,SATA 6.0 Gb/s,550
Intel DC S3110,79,256,0.309,SSD,0,M.2,M.2 SATA,550
Patriot P300,83.33,1000,0.083,SSD,0,M.2,M.2 PCIe 3.0 X4,3500
Seagate FireCuda 510,202,500,0.404,SSD,0,M.2,M.2 PCIe 3.0 X4,3500
TEAMGROUP T-Force Cardea A440 Pro Special Series,,1000,,SSD,0,M.2,M.2 PCIe 4.0 X4,7000
HP S700 Pro,71.34,512,0.139,SSD,0,2.5,SATA 6.0 Gb/s,550
Mushkin Delta,745.03,4000,0.186,SSD,0,M.2,M.2 PCIe 4.0 X4,7000
Netac NV5000-N,,500,,SSD,0,M.2,M.2 PCIe 4.0 X4,7000
Western Digital VelociRaptor,206.17,600,0.344,10000,32,3.5,SATA 6.0 Gb/s,550
Western Digital VelociRaptor,399,450,0.887,10000,32,2.5,SATA 6.0 Gb/s,550
Western Digital Caviar Black,,2000,,7200,64,3.5,SATA 3.0 Gb/s,160
Western Digital Caviar Blue,,500,,7200,32,3.5,SATA 6.0 Gb/s,160
Western Digital Scorpio Blue,,640,,5400,8,2.5,SATA 3.0 Gb/s,160
Western Digital Scorpio Blue,39.99,500,0.08,5400,8,2.5,SATA 3.0 Gb/s,160
Hitachi E7K1000,,1000,,7200,32,3.5,SATA 3.0 Gb/s,160
Kingston SSDNow V+100,,512,,SSD,0,2.5,SATA 3.0 Gb/s,300
Seagate Barracuda Green,,1500,,5900,64,3.5,SATA 6.0 Gb/s,550
Hitachi 0J11563,36.99,750,0.049,5400,8,2.5,SATA 3.0 Gb/s,160
Corsair Force 3,,120,,SSD,0,2.5,SATA 6.0 Gb/s,550
SanDisk Ultra,,240,,SSD,0,2.5,SATA 3.0 Gb/s,300
Seagate BarraCuda,29,320,0.091,7200,16,3.5,SATA 6.0 Gb/s,160
Samsung 830,,128,,SSD,0,2.5,SATA 6.0 Gb/s,550
Kingston SSDNow V200,,64,,SSD,0,2.5,SATA 6.0 Gb/s,550
Hitachi Travelstar 7K500,105.65,500,0.211,7200,16,2.5,SATA 3.0 Gb/s,160
ADATA Premier Pro SP900,,128,,SSD,0,2.5,SATA 6.0 Gb/s,550
Hitachi Travelstar 5K1000,,1000,,5400,8,2.5,SATA 6.0 Gb/s,160
ADATA XPG SX900,,256,,SSD,0,2.5,SATA 6.0 Gb/s,550
Western Digital AV-GP,18.98,250,0.076,5400,16,3.5,SATA 3.0 Gb/s,160
Crucial V4,,256,,SSD,0,2.5,SATA 3.0 Gb/s,300
Kingston SSDNow KC100,319.99,240,1.333,SSD,0,2.5,SATA 6.0 Gb/s,550
Toshiba HDKPC08,,3000,,7200,64,3.5,SATA 3.0 Gb/s,160
Plextor M5P,,128,,SSD,256,2.5,SATA 6.0 Gb/s,550
SanDisk X110,,128,,SSD,0,2.5,SATA 6.0 Gb/s,550
Hitachi Ultrastar 7K4000,498,2000,0.249,7200,64,3.5,SATA 6.0 Gb/s,160
Western Digital Green,,2000,,5900,8,2.5,SATA 6.0 Gb/s,550
Seagate Constellation ES.3,,4000,,7200,128,3.5,SATA 6.0 Gb/s,160
Intel 530,192,240,0.8,SSD,0,2.5,SATA 6.0 Gb/s,550
Samsung 840 Pro,,256,,SSD,256,2.5,SATA 6.0 Gb/s,550
Western Digital Black,37.86,250,0.151,7200,16,2.5,SATA 6.0 Gb/s,160
Toshiba Q Series Pro,,256,,SSD,0,2.5,SATA 6.0 Gb/s,550
Crucial M550,,1000,,SSD,0,2.5,SATA 6.0 Gb/s,550
Crucial M550,,512,,SSD,0,M.2,M.2 SATA,550
Seagate ST5000NM0024,,5000,,7200,128,3.5,SATA 6.0 Gb/s,160
Kingston SSDNow M.2,,120,,SSD,256,M.2,M.2 SATA,550
Transcend MTS600,920.26,512,1.797,SSD,0,M.2-2260,M.2 SATA,550
Samsung SM843TN,,240,,SSD,0,2.5,SATA 6.0 Gb/s,550
Crucial M500,,240,,SSD,0,M.2,M.2 SATA,550
OCZ ARC 100,,120,,SSD,0,2.5,SATA 6.0 Gb/s,550
Intel X25-M Mainstream,,80,,SSD,0,2.5,SATA 3.0 Gb/s,300
Hitachi Deskstar NAS,,6000,,7200,128,3.5,SATA 6.0 Gb/s,160
Hitachi Ultrastar He8,798,6000,0.133,7200,128,3.5,SATA 6.0 Gb/s,160
Samsung Data Center,109,240,0.454,SSD,0,2.5,SATA 6.0 Gb/s,550
Intel 535,149,240,0.621,SSD,0,2.5,SATA 6.0 Gb/s,550
Patriot Ignite M2,,240,,SSD,256,M.2,M.2 SATA,550
Samsung MZVPV128HDGM-00000,,128,,SSD,0,M.2,M.2 PCIe 3.0 X4,3500
SanDisk Z400s,,256,,SSD,0,2.5,SATA 6.0 Gb/s,550
SanDisk Z400s,177.53,128,1.387,SSD,0,M.2,M.2 SATA,550
Toshiba X300,,6000,,7200,128,3.5,SATA 6.0 Gb/s,160
Western Digital Blue,,5000,,5400,64,3.5,SATA 6.0 Gb/s,160
Samsung PM863,,3840,,SSD,0,2.5,SATA 6.0 Gb/s,550
SanDisk X400,,256,,SSD,0,2.5,SATA 6.0 Gb/s,550
Intel 540s,,1000,,SSD,0,2.5,SATA 6.0 Gb/s,550
Biwin CSE25A00001-512,,512,,SSD,0,2.5,SATA 6.0 Gb/s,550
Samsung PM951,,256,,SSD,0,M.2,M.2 PCIe 3.0 X4,3500
Plextor M8Pe,,256,,SSD,512,M.2,M.2 PCIe 3.0 X4,3500
Transcend TS480GSSD220S,33.65,480,0.07,SSD,0,2.5,SATA 6.0 Gb/s,550
Micron M600,,1000,,SSD,0,2.5,SATA 6.0 Gb/s,550
ADATA XPG SX8000,,128,,SSD,0,M.2,M.2 PCIe 3.0 X4,3500
ADATA SU900,,256,,SSD,0,2.5,SATA 6.0 Gb/s,550
Toshiba X300,,5000,,7200,128,3.5,SATA 6.0 Gb/s,160
TEAMGROUP L5 LITE,,120,,SSD,0,2.5,SATA 6.0 Gb/s,550
Hyundai Technology Sapphire,,480,,SSD,0,2.5,SATA 6.0 Gb/s,550
Intel 545s,198.9,512,0.388,SSD,0,M.2,M.2 SATA,550
Plextor M9Pe,,256,,SSD,0,M.2,M.2 PCIe 3.0 X4,3500
TCSunBow X3,,240,,SSD,0,2.5,SATA 6.0 Gb/s,550
TEAMGROUP T-Force Delta RGB,,250,,SSD,0,2.5,SATA 6.0 Gb/s,550
Kingston HyperX FURY RGB,,480,,SSD,0,2.5,SATA 6.0 Gb/s,550
Western Digital Black,,1000,,7200,32,2.5,SATA 6.0 Gb/s,160
Seagate Barracuda Compute,,1000,,SSD,0,2.5,SATA 6.0 Gb/s,550
TEAMGROUP MS30,,512,,SSD,0,M.2-2242,M.2 SATA,550
Plextor M8VC,,512,,SSD,512,2.5,SATA 6.0 Gb/s,550
TEAMGROUP MP34,,256,,SSD,0,M.2,M.2 PCIe 3.0 X4,3500
Lexar NS100,,240,,SSD,0,2.5,SATA 6.0 Gb/s,550
Seagate IronWolf Pro,309.97,8000,0.039,7200,256,3.5,SATA 6.0 Gb/s,160
Seagate Barracuda Compute,,250,,SSD,0,2.5,SATA 6.0 Gb/s,550
Patriot Viper Gaming VP4100,,2000,,SSD,0,M.2,M.2 PCIe 4.0 X4,7000
Pioneer APS-SE20G,,2000,,SSD,0,M.2,M.2 PCIe 3.0 X4,3500
ADATA SU760,,256,,SSD,0,2.5,SATA 6.0 Gb/s,550
Seagate Exos X14,299,10000,0.03,7200,256,3.5,SATA 6.0 Gb/s,160
Addlink S72,,1000,,SSD,0,M.2,M.2 PCIe 3.0 X4,3500
Western Digital PC SN730,,1000,,SSD,0,M.2,M.2 PCIe 3.0 X4,3500
ADATA ATOM 30,,500,,SSD,0,M.2,M.2 PCIe 3.0 X4,3500
PNY CS2130,,4000,,SSD,0,M.2,M.2 PCIe 3.0 X4,3500
PNY CS2130,,8000,,SSD,0,M.2,M.2 PCIe 3.0 X4,3500
PNY XLR8 CS3140 w/Heatsink,,4000,,SSD,0,M.2,M.2 PCIe 4.0 X4,7000
TEAMGROUP T-Force Delta Max White RGB,,1000,,SSD,0,2.5,SATA 6.0 Gb/s,550
Klevv CRAS C920,,2000,,SSD,0,M.2,M.2 PCIe 4.0 X4,7000
Toshiba X300 Pro,329.99,16000,0.021,7200,512,3.5,SATA 6.0 Gb/s,160
Toshiba N300 Pro,232.99,12000,0.019,7200,512,3.5,SATA 6.0 Gb/s,160
Toshiba N300,,4000,,7200,0,3.5,SATA 6.0 Gb/s,160
Verbatim Vi560,42.53,512,0.083,SSD,0,M.2,M.2 SATA,550
Verbatim Vi3000,49.28,512,0.096,SSD,0,M.2,M.2 PCIe 3.0 X4,3500
Timetec 30TTQNS3SATA-1TB,,1000,,SSD,0,2.5,SATA 6.0 Gb/s,550
Fastro MS150,,1000,,SSD,0,M.2,M.2 PCIe 3.0 X4,3500
Addlink S90 Lite,,2000,,SSD,0,M.2,M.2 PCIe 4.0 X4,7000
AITC Kingsman KE680,,1000,,SSD,0,M.2,M.2 PCIe 4.0 X4,7000
Lexar NM610PRO,,500,,SSD,0,M.2,M.2 PCIe 3.0 X4,3500
Solidigm P41 Plus,59.99,1000,0.06,SSD,0,M.2-2230,M.2 PCIe 4.0 X4,7000
Mushkin ELEMENT,71.98,2000,0.036,SSD,0,2.5,SATA 6.0 Gb/s,550
Toshiba X300 Pro,274.99,12000,0.023,7200,512,3.5,SATA 6.0 Gb/s,160
TEAMGROUP MP44S,94.99,1000,0.095,SSD,0,M.2-2242,M.2 PCIe 4.0 X4,7000
Toshiba N300,245.99,14000,0.018,7200,512,3.5,SATA 6.0 Gb/s,160
TEAMGROUP QX,37.99,1000,0.038,SSD,0,2.5,SATA 6.0 Gb/s,550
Western Digital Ae,122,6000,0.02,5760,64,3.5,SATA 6.0 Gb/s,550
Mushkin Gamma,298.13,1000,0.298,SSD,0,M.2,M.2 PCIe 4.0 X4,7000
Seagate Exos 7E10 512e/4Kn,167.98,6000,0.028,7200,256,3.5,SATA 6.0 Gb/s,160
Kingston DC1000B,130.82,960,0.136,SSD,0,M.2,M.2 PCIe 3.0 X4,3500
TEAMGROUP T-Force Vulcan,135.88,1000,0.136,SSD,0,2.5,SATA 6.0 Gb/s,550
Seagate Exos 7E10 512e/4Kn,281.27,10000,0.028,7200,256,3.5,SATA 6.0 Gb/s,160
Toshiba N300 Pro,249.99,14000,0.018,7200,512,3.5,SATA 6.0 Gb/s,160
Western Digital VelociRaptor,,300,,10000,16,2.5,SATA 3.0 Gb/s,300
Kingston SSDNOW DC500M,194.37,1920,0.101,SSD,0,2.5,SATA 6.0 Gb/s,550
Mushkin Gamma,431.79,4000,0.108,SSD,0,M.2,M.2 PCIe 4.0 X4,7000
Toshiba N300,193.98,6000,0.032,7200,0,3.5,SATA 6.0 Gb/s,160
Seagate Constellation ES,69.98,1000,0.07,7200,32,3.5,SATA 3.0 Gb/s,160
Western Digital AV-GP,49.99,2000,0.025,5400,64,3.5,SATA 3.0 Gb/s,160
Western Digital Gold,258.45,10000,0.026,7200,256,3.5,SATA 6.0 Gb/s,160
Western Digital Red Pro,,10000,,7200,256,3.5,SATA 6.0 Gb/s,160
Seagate SkyHawk AI,380,16000,0.024,7200,256,3.5,SATA 6.0 Gb/s,160
Seagate EXOS Enterprise,134.72,2000,0.067,7200,256,3.5,SATA 6.0 Gb/s,160
Seagate Exos X18,269.99,16000,0.017,7200,256,3.5,SATA 6.0 Gb/s,160
KIOXIA EXCERIA PLUS,288,1000,0.288,SSD,0,M.2,M.2 PCIe 3.0 X4,3500
PNY CS900,,250,,SSD,0,M.2,M.2 SATA,550
Intel D3-S4520,312.6,3840,0.081,SSD,0,2.5,SATA 6.0 Gb/s,550
Intel D3-S4610,649.72,3800,0.171,SSD,0,2.5,SATA 6.0 Gb/s,550
Samsung Spinpoint F3R,110,1000,0.11,7200,32,3.5,SATA 3.0 Gb/s,160
Samsung 830,926.56,512,1.81,SSD,0,2.5,SATA 6.0 Gb/s,550
Hitachi Deskstar 7K3000,,3000,,7200,64,3.5,SATA 6.0 Gb/s,160
Western Digital VelociRaptor,59.99,250,0.24,10000,64,2.5,SATA 6.0 Gb/s,550
Seagate ST3000VX002,54.96,3000,0.018,5900,64,3.5,SATA 6.0 Gb/s,550
Transcend MTS400,131.63,256,0.514,SSD,0,M.2-2242,M.2 SATA,550
Silicon Power Silm S55,31.7,480,0.066,SSD,0,2.5,SATA 6.0 Gb/s,550
ADATA XPG SX8200 960,,960,,SSD,0,M.2,M.2 PCIe 3.0 X4,3500
Seagate IronWolf Pro,,2000,,7200,128,3.5,SATA 6.0 Gb/s,160
Toshiba S300 Pro,234.99,10000,0.023,7200,256,3.5,SATA 6.0 Gb/s,160
Toshiba X300,299,8000,0.037,7200,256,3.5,SATA 6.0 Gb/s,160
PNY XLR8 CS3030,689.99,4000,0.172,SSD,0,M.2,M.2 PCIe 3.0 X4,3500
Western Digital RE4-GP,109.95,2000,0.055,5900,64,3.5,SATA 3.0 Gb/s,300
Western Digital Caviar Blue,,320,,7200,16,3.5,SATA 3.0 Gb/s,160
Western Digital Caviar Green,175.77,1500,0.117,5400,64,3.5,SATA 3.0 Gb/s,160
Western Digital Caviar Green,189.95,1500,0.127,5400,32,3.5,SATA 3.0 Gb/s,160
Western Digital Scorpio Black,37.72,250,0.151,7200,16,2.5,SATA 3.0 Gb/s,160
Western Digital Scorpio Blue,,400,,5400,8,2.5,SATA 3.0 Gb/s,160
Western Digital Scorpio Blue,34.49,250,0.138,5400,8,2.5,SATA 3.0 Gb/s,160
Western Digital Scorpio Blue,,120,,5400,8,2.5,SATA 3.0 Gb/s,160
Hitachi 7K1000.B,,500,,7200,16,3.5,SATA 3.0 Gb/s,160
Seagate BarraCuda,,2000,,5900,32,3.5,SATA 3.0 Gb/s,300
Samsung Spinpoint F3,,160,,7200,16,3.5,SATA 3.0 Gb/s,160
Samsung Spinpoint F2 EG,,1500,,5400,32,3.5,SATA 3.0 Gb/s,160
Samsung Spinpoint F1 DT,,320,,7200,16,3.5,SATA 3.0 Gb/s,160
Samsung Spinpoint F1 DT,,320,,7200,8,3.5,SATA 3.0 Gb/s,160
OCZ Vertex 2,,50,,SSD,0,2.5,SATA 3.0 Gb/s,300
Western Digital Caviar Green,,2000,,5400,32,3.5,SATA 3.0 Gb/s,160
Seagate BarraCuda,,160,,7200,8,3.5,SATA 3.0 Gb/s,160
Western Digital RE2,,500,,7200,16,3.5,SATA 3.0 Gb/s,160
Intel 320,,120,,SSD,0,2.5,SATA 3.0 Gb/s,300
Western Digital Scorpio Blue,,1000,,5400,8,2.5,SATA 3.0 Gb/s,160
Western Digital Caviar Green,,1000,,5400,64,3.5,SATA 6.0 Gb/s,160
ADATA S510,,120,,SSD,0,2.5,SATA 6.0 Gb/s,550
Samsung 830,,64,,SSD,0,2.5,SATA 6.0 Gb/s,550
Samsung 830,560.69,256,2.19,SSD,0,2.5,SATA 6.0 Gb/s,550
Toshiba MK2002TSKB,,2000,,7200,64,3.5,SATA 3.0 Gb/s,160
SanDisk Extreme,,240,,SSD,0,2.5,SATA 6.0 Gb/s,550
Intel 313,,20,,SSD,0,2.5,SATA 3.0 Gb/s,300
Toshiba MK1002TSKB,,1000,,7200,64,3.5,SATA 3.0 Gb/s,160
Toshiba MK7559GSXP,62.5,750,0.083,5400,8,2.5,SATA 3.0 Gb/s,160
Plextor M5S,,256,,SSD,512,2.5,SATA 6.0 Gb/s,550
Intel DC S3700,107,800,0.134,SSD,0,2.5,SATA 6.0 Gb/s,550
Samsung ST750LM022/HN-M750MBB,,750,,5400,8,2.5,SATA 3.0 Gb/s,160
Seagate BarraCuda,,250,,7200,16,3.5,SATA 3.0 Gb/s,160
SanDisk Extreme II,,120,,SSD,0,2.5,SATA 6.0 Gb/s,550
Seagate 600,,480,,SSD,0,2.5,SATA 6.0 Gb/s,550
Western Digital WDBMMA0030HNC-NRSN,64.98,3000,0.022,5400,64,3.5,SATA 6.0 Gb/s,160
Seagate ST3500320NS-IM,,500,,7200,32,3.5,SATA 6.0 Gb/s,160
Samsung 840 Evo,,250,,SSD,0,2.5,SATA 6.0 Gb/s,550
Western Digital Black2,,1000,,,0,2.5,SATA 6.0 Gb/s,550
Hitachi Travelstar Z5K500,27.99,500,0.056,5400,8,2.5,SATA 3.0 Gb/s,160
Hitachi Travelstar Z7K500,,500,,7200,32,2.5,SATA 6.0 Gb/s,160
Kingston SSDNow KC300,50,60,0.833,SSD,0,2.5,SATA 6.0 Gb/s,550
Transcend SSD340,,256,,SSD,0,2.5,SATA 6.0 Gb/s,550
Toshiba MQ01ABF050H,,500,,,32,2.5,SATA 6.0 Gb/s,550
Transcend MTS400,39.89,32,1.247,SSD,0,M.2-2242,M.2 SATA,550
SanDisk X300S,,256,,SSD,0,2.5,SATA 6.0 Gb/s,550
Intel Pro 2500,,240,,SSD,0,2.5,SATA 6.0 Gb/s,550
ADATA SP900 M.2,,128,,SSD,0,M.2,M.2 SATA,550
OCZ ARC 100,,480,,SSD,0,2.5,SATA 6.0 Gb/s,550
Patriot Blaze,,60,,SSD,32,2.5,SATA 6.0 Gb/s,550
Samsung Spinpoint M8,,500,,5400,8,2.5,SATA 3.0 Gb/s,160
Seagate ST2000NM0044,,2000,,7200,128,3.5,SATA 6.0 Gb/s,160
Seagate Archive,213.99,8000,0.027,5900,128,3.5,SATA 6.0 Gb/s,550
Patriot Ignite,,480,,SSD,512,2.5,SATA 6.0 Gb/s,550
OWC Mercury Electra,,120,,SSD,0,2.5,SATA 6.0 Gb/s,550
Micron M600,,512,,SSD,0,2.5,SATA 6.0 Gb/s,550
OCZ Vector 180,,120,,SSD,0,2.5,SATA 6.0 Gb/s,550
Mushkin Reactor,,512,,SSD,0,2.5,SATA 6.0 Gb/s,550
Western Digital Blue,85.79,500,0.172,7200,8,3.5,SATA 3.0 Gb/s,160
Intel SSDSC2BW480H6R5,,480,,SSD,0,2.5,SATA 6.0 Gb/s,550
Western Digital Red Pro,,6000,,7200,128,3.5,SATA 6.0 Gb/s,160
Patriot Blast,,240,,SSD,256,2.5,SATA 6.0 Gb/s,550
Patriot Blast,,960,,SSD,256,2.5,SATA 6.0 Gb/s,550
Transcend TS256GSSD370S,118.69,256,0.464,SSD,0,2.5,SATA 6.0 Gb/s,550
SanDisk Z400s,,128,,SSD,0,2.5,SATA 6.0 Gb/s,550
Hitachi MegaScale DC 4000.B,,4000,,5400,64,3.5,SATA 6.0 Gb/s,160
Toshiba Q300,,480,,SSD,0,2.5,SATA 6.0 Gb/s,550
Seagate ST2000NX0303,,2000,,7200,128,2.5,SATA 6.0 Gb/s,160
Seagate ST980813AS,,80,,7200,8,2.5,SATA 3.0 Gb/s,160
Toshiba HDWA120XZSTA,,2000,,5700,64,3.5,SATA 6.0 Gb/s,550
PNY CS1311,,960,,SSD,0,2.5,SATA 6.0 Gb/s,550
Intel 540s,299.95,480,0.625,SSD,0,2.5,SATA 6.0 Gb/s,550
ADATA Premier SP550,,240,,SSD,0,M.2,M.2 SATA,550
Seagate IronWolf Pro,,8000,,7200,256,3.5,SATA 6.0 Gb/s,160
Intel Pro 5400s,843,1000,0.843,SSD,0,2.5,SATA 6.0 Gb/s,550
Western Digital Red Pro,,8000,,7200,128,3.5,SATA 6.0 Gb/s,160
Seagate BarraCuda Pro,,5000,,7200,128,3.5,SATA 6.0 Gb/s,160
Crucial BX300,,120,,SSD,0,2.5,SATA 6.0 Gb/s,550
Seagate SkyHawk,267,10000,0.027,7200,256,3.5,SATA 6.0 Gb/s,160
Intel 760p,,128,,SSD,0,M.2,M.2 PCIe 3.0 X4,3500
XPG GAMMIX S10,,256,,SSD,0,M.2,M.2 PCIe 3.0 X4,3500
Toshiba X300,,8000,,7200,128,3.5,SATA 6.0 Gb/s,160
Plextor M9Pe,163.93,1000,0.164,SSD,0,M.2,M.2 PCIe 3.0 X4,3500
TEAMGROUP L5 LITE 3D,,120,,SSD,0,2.5,SATA 6.0 Gb/s,550
Micron 1100,,512,,SSD,0,2.5,SATA 6.0 Gb/s,550
Kingston A1000,,120,,SSD,0,2.5,SATA 6.0 Gb/s,550
ADATA XPG GAMMIX S11,,960,,SSD,0,M.2,M.2 PCIe 3.0 X4,3500
Drevo X1 Pro,,512,,SSD,0,2.5,SATA 6.0 Gb/s,550
Intel 545s,,128,,SSD,0,2.5,SATA 6.0 Gb/s,550
Lexar NM600,,240,,SSD,0,M.2,M.2 PCIe 3.0 X4,3500
Lexar NS100,,480,,SSD,0,2.5,SATA 6.0 Gb/s,550
Seagate IronWolf NAS,129.99,240,0.542,SSD,0,2.5,SATA 6.0 Gb/s,550
TEAMGROUP L5 LITE,,1000,,SSD,0,2.5,SATA 6.0 Gb/s,550
TEAMGROUP T-Force Cardea Liquid,,512,,SSD,0,M.2,M.2 PCIe 3.0 X4,3500
Micron 2200,,1000,,SSD,0,M.2,M.2 PCIe 3.0 X4,3500
SanDisk X600,,512,,SSD,0,M.2,M.2 SATA,550
Lexar NM210,,128,,SSD,0,M.2,M.2 SATA,550
Seagate ST500VM000,27,500,0.054,5900,64,3.5,SATA 6.0 Gb/s,550
Silicon Power Ace A56,,256,,SSD,0,2.5,SATA 6.0 Gb/s,550
Intel DC S3520,,150,,SSD,0,M.2,M.2 SATA,550
V7 S6000,144.1,1000,0.144,SSD,0,2.5,SATA 6.0 Gb/s,550
Lenovo 5300,279,480,0.581,SSD,0,2.5,SATA 6.0 Gb/s,550
VisionTek PRO HXS,56.62,256,0.221,SSD,0,2.5,SATA 6.0 Gb/s,550
Western Digital Ultrastar,92.99,240,0.387,SSD,0,2.5,SATA 6.0 Gb/s,550
Transcend 220S,49.99,512,0.098,SSD,0,M.2,M.2 PCIe 3.0 X4,3500
ADATA XPG GAMMIX S7,,2000,,SSD,0,M.2,M.2 PCIe 3.0 X4,3500
Apacer AS2280P4,,240,,SSD,0,M.2,M.2 PCIe 3.0 X4,3500
Acer SA100,,480,,SSD,0,2.5,SATA 6.0 Gb/s,550
ADATA XPG GAMMIX S41,,256,,SSD,0,M.2,M.2 PCIe 3.0 X4,3500
Silicon Power A58,,256,,SSD,0,2.5,SATA 6.0 Gb/s,550
Silicon Power A58,,2000,,SSD,0,2.5,SATA 6.0 Gb/s,550
Corsair MP400,,4000,,SSD,0,M.2,M.2 PCIe 3.0 X4,3500
Seagate Exos 7E10 512n,121.44,2000,0.061,7200,256,3.5,SATA 6.0 Gb/s,160
Patriot P200,,1000,,SSD,0,2.5,SATA 6.0 Gb/s,550
Seagate Exos 7E8 4Kn,,4000,,7200,256,3.5,SATA 6.0 Gb/s,160
Western Digital Ultrastar DC HC550,,16000,,7200,512,3.5,SATA 6.0 Gb/s,160
KIOXIA EXCERIA PLUS,,500,,SSD,0,M.2,M.2 PCIe 3.0 X4,3500
TEAMGROUP T-Force Delta TUF Gaming Alliance RGB,,500,,SSD,0,2.5,SATA 6.0 Gb/s,550
Klevv CRAS C720,,1000,,SSD,0,M.2,M.2 PCIe 3.0 X4,3500
Klevv NEO N400,58.28,480,0.121,SSD,0,2.5,SATA 6.0 Gb/s,550
Silicon Power UD90,,250,,SSD,0,M.2,M.2 PCIe 4.0 X4,7000
Verbatim Vi560,35.43,256,0.138,SSD,0,M.2,M.2 SATA,550
