name,price,capacity,price_per_gb,type,cache,form_factor,interface,speed
Samsung 970 Evo Plus,54.99,1000,0.055,SSD,1024,M.2,M.2 PCIe 3.0 X4,3500
Samsung 980 Pro,99.99,2000,0.05,SSD,2048,M.2,M.2 PCIe 4.0 X4,7000
Samsung 980 Pro,59.99,1000,0.06,SSD,1024,M.2,M.2 PCIe 4.0 X4,7000
Kingston NV2,42.99,1000,0.043,SSD,0,M.2,M.2 PCIe 4.0 X4,7000
Seagate Barracuda Compute,55,2000,0.028,7200,256,3.5,SATA 6.0 Gb/s,160
Samsung 990 Pro,169.99,2000,0.085,SSD,2048,M.2,M.2 PCIe 4.0 X4,7000
Samsung 970 Evo Plus,99.99,2000,0.05,SSD,1024,M.2,M.2 PCIe 3.0 X4,3500
Western Digital Black SN770,49.99,1000,0.05,SSD,0,M.2,M.2 PCIe 4.0 X4,7000
Crucial P3,39.99,1000,0.04,SSD,0,M.2,M.2 PCIe 3.0 X4,3500
Samsung 970 Evo Plus,34.99,500,0.07,SSD,512,M.2,M.2 PCIe 3.0 X4,3500
TEAMGROUP QX,2499.98,15300,0.163,SSD,0,2.5,SATA 6.0 Gb/s,550
Kingston NV2,84.99,2000,0.042,SSD,0,M.2,M.2 PCIe 4.0 X4,7000
Samsung 870 Evo,59.99,1000,0.06,SSD,1024,2.5,SATA 6.0 Gb/s,550
Western Digital Black SN850X,139.99,2000,0.07,SSD,0,M.2,M.2 PCIe 4.0 X4,7000
Seagate BarraCuda,63.98,4000,0.016,5400,256,3.5,SATA 6.0 Gb/s,160
Western Digital Black SN850X,283.49,4000,0.071,SSD,0,M.2,M.2 PCIe 4.0 X4,7000
Western Digital Blue SN570,45.99,1000,0.046,SSD,0,M.2,M.2 PCIe 3.0 X4,3500
Western Digital Black SN770,112.99,2000,0.056,SSD,0,M.2,M.2 PCIe 4.0 X4,7000
Crucial P3 Plus,49.99,1000,0.05,SSD,0,M.2,M.2 PCIe 4.0 X4,7000
Samsung 870 Evo,99.99,2000,0.05,SSD,2048,2.5,SATA 6.0 Gb/s,550
Samsung 980,49.99,1000,0.05,SSD,0,M.2,M.2 PCIe 3.0 X4,3500
TEAMGROUP MP33,38.49,1000,0.038,SSD,0,M.2,M.2 PCIe 3.0 X4,3500
Silicon Power A60,35.97,1000,0.036,SSD,0,M.2,M.2 PCIe 3.0 X4,3500
Crucial P5 Plus,122.99,2000,0.061,SSD,2048,M.2,M.2 PCIe 4.0 X4,7000
Western Digital Caviar Blue,41,1000,0.041,7200,64,3.5,SATA 6.0 Gb/s,160
Sabrent Rocket 4 Plus,999.99,8000,0.125,SSD,0,M.2,M.2 PCIe 4.0 X4,7000
Samsung 990 Pro,69.99,1000,0.07,SSD,1024,M.2,M.2 PCIe 4.0 X4,7000
Western Digital Black SN850X,59.99,1000,0.06,SSD,0,M.2,M.2 PCIe 4.0 X4,7000
Samsung 870 Evo,219,4000,0.055,SSD,4096,2.5,SATA 6.0 Gb/s,550
Crucial P3 Plus,104.81,2000,0.052,SSD,0,M.2,M.2 PCIe 4.0 X4,7000
Kingston NV2,27.99,500,0.056,SSD,0,M.2,M.2 PCIe 4.0 X4,7000
Seagate BarraCuda,43.23,1000,0.043,7200,64,3.5,SATA 6.0 Gb/s,160
MSI SPATIUM M371,34.99,1000,0.035,SSD,0,M.2,M.2 PCIe 3.0 X4,3500
Samsung 870 QVO,399.99,8000,0.05,SSD,0,2.5,SATA 6.0 Gb/s,550
Crucial P5 Plus,49.99,1000,0.05,SSD,1024,M.2,M.2 PCIe 4.0 X4,7000
Silicon Power A60,65.97,2000,0.033,SSD,0,M.2,M.2 PCIe 3.0 X4,3500
TEAMGROUP MP33,65.98,2000,0.033,SSD,0,M.2,M.2 PCIe 3.0 X4,3500
Crucial P3 Plus,248.49,4000,0.062,SSD,0,M.2,M.2 PCIe 4.0 X4,7000
TEAMGROUP MP33,22.49,512,0.044,SSD,0,M.2,M.2 PCIe 3.0 X4,3500
Crucial P3,24.99,500,0.05,SSD,0,M.2,M.2 PCIe 3.0 X4,3500
Kingston A400,16.98,240,0.071,SSD,0,2.5,SATA 6.0 Gb/s,550
Intel 670p,69.98,2000,0.035,SSD,0,M.2,M.2 PCIe 3.0 X4,3500
Western Digital Blue SN570,26.99,500,0.054,SSD,0,M.2,M.2 PCIe 3.0 X4,3500
Samsung 980 Pro,49.99,500,0.1,SSD,512,M.2,M.2 PCIe 4.0 X4,7000
Crucial P3,83.29,2000,0.042,SSD,0,M.2,M.2 PCIe 3.0 X4,3500
Crucial MX500,47.99,1000,0.048,SSD,1024,2.5,SATA 6.0 Gb/s,550
Western Digital Gold,549.99,22000,0.025,7200,512,3.5,SATA 6.0 Gb/s,160
Kingston KC3000,145.13,2048,0.071,SSD,0,M.2,M.2 PCIe 4.0 X4,7000
Seagate Barracuda Compute,114.99,8000,0.014,5400,256,3.5,SATA 6.0 Gb/s,160
Samsung 870 Evo,39.25,500,0.079,SSD,512,2.5,SATA 6.0 Gb/s,550
Western Digital Blue,53.99,2000,0.027,7200,256,3.5,SATA 6.0 Gb/s,160
Samsung 970 Evo Plus,31.48,250,0.126,SSD,512,M.2,M.2 PCIe 3.0 X4,3500
Seagate IronWolf Pro NAS,289.99,22000,0.013,7200,512,3.5,SATA 6.0 Gb/s,160
MSI SPATIUM M450,37.99,1000,0.038,SSD,0,M.2,M.2 PCIe 4.0 X4,7000
Silicon Power P34A60,22.97,512,0.045,SSD,0,M.2,M.2 PCIe 3.0 X4,3500
Corsair MP600 PRO XT,1014.99,8000,0.127,SSD,0,M.2,M.2 PCIe 4.0 X4,7000
Silicon Power UD90,78.97,2000,0.039,SSD,0,M.2,M.2 PCIe 4.0 X4,7000
Crucial P3,209.76,4000,0.052,SSD,0,M.2,M.2 PCIe 3.0 X4,3500
Samsung 980 Pro w/Heatsink,126,2000,0.063,SSD,2048,M.2,M.2 PCIe 4.0 X4,7000
Solidigm P41 Plus,79.99,2000,0.04,SSD,0,M.2,M.2 PCIe 4.0 X4,7000
SK Hynix Platinum P41,,2000,,SSD,0,M.2,M.2 PCIe 4.0 X4,7000
Sabrent Rocket 4 Plus,129.99,2000,0.065,SSD,0,M.2,M.2 PCIe 4.0 X4,7000
Samsung 980,27.99,500,0.056,SSD,0,M.2,M.2 PCIe 3.0 X4,3500
