name,price,capacity,price_per_gb,type,cache,form_factor,interface,speed,capacity_spec,cache_spec,speed_spec
Crucial P3 Plus,26.99,0.02237177155329211,0.9904846204912592,SSD,0.0,M.2,M.2 PCIe 4.0 X4,1.0,0.5,0,7000
Western Digital Blue SN570,92.99,0.09057839214259732,0.992254923655676,SSD,0.0,M.2,M.2 PCIe 3.0 X4,0.48830409356725146,2.0,0,3500
Kingston KC3000,89.47,0.046198617679156055,0.9831821199380394,SSD,0.0,M.2,M.2 PCIe 4.0 X4,1.0,1.024,0,7000
Kingston A400,23.99,0.021462349945434705,0.9913697720734675,SSD,0.0,2.5,SATA 6.0 Gb/s,0.05701754385964912,0.48,0,550
Western Digital Black SN770,29.99,0.02237177155329211,0.9891568931179464,SSD,0.0,M.2,M.2 PCIe 4.0 X4,1.0,0.5,0,7000
Intel 670p,39.99,0.04510731174972717,0.9935826510289887,SSD,0.0,M.2,M.2 PCIe 3.0 X4,0.48830409356725146,1.0,0,3500
Crucial MX500,114.99,0.09057839214259732,0.9898207568046028,SSD,0.015625,2.5,SATA 6.0 Gb/s,0.05701754385964912,2.0,2048,550
Western Digital WD_BLACK,134.99,0.18152055292833758,0.9949103784023013,HDD,0.001953125,3.5,SATA 6.0 Gb/s,0.0,4.0,256,160
Solidigm P44 Pro,129.99,0.09057839214259732,0.9880504536401858,SSD,0.0,M.2,M.2 PCIe 4.0 X4,1.0,2.0,0,7000
MSI SPATIUM M461,49.98,0.04510731174972717,0.9913697720734675,SSD,0.0,M.2,M.2 PCIe 4.0 X4,1.0,1.0,0,7000
MSI SPATIUM M450,24.99,0.02237177155329211,0.9913697720734675,SSD,0.0,M.2,M.2 PCIe 4.0 X4,1.0,0.5,0,7000
Samsung 990 Pro w/Heatsink,179.99,0.09057839214259732,0.982518256251383,SSD,0.015625,M.2,M.2 PCIe 4.0 X4,1.0,2.0,2048,7000
Kingston Fury Renegade,149.99,0.09057839214259732,0.9858375746846647,SSD,0.0,M.2,M.2 PCIe 4.0 X4,1.0,2.0,0,7000
Silicon Power A55,34.97,0.04510731174972717,0.9946890905067493,SSD,0.0,2.5,SATA 6.0 Gb/s,0.05701754385964912,1.0,0,550
Samsung 860 Evo,110.0,0.04510731174972717,0.9780924983403407,SSD,0.0078125,2.5,SATA 6.0 Gb/s,0.05701754385964912,1.0,1024,550
Seagate IronWolf NAS,129.99,0.3634048744998181,0.9988935605222394,HDD,0.001953125,3.5,SATA 6.0 Gb/s,0.0,8.0,256,160
Silicon Power UD90,43.97,0.04510731174972717,0.9926974994467803,SSD,0.0,M.2,M.2 PCIe 4.0 X4,1.0,1.0,0,7000
Corsair MP600 PRO NH,909.99,0.3634048744998181,0.9772073467581324,SSD,0.0,M.2,M.2 PCIe 4.0 X4,1.0,8.0,0,7000
Kingston Fury Renegade,79.98,0.04510731174972717,0.9847311352069041,SSD,0.0,M.2,M.2 PCIe 4.0 X4,1.0,1.0,0,7000
Seagate Exos X20,288.99,0.9090578392142598,0.9993361363133436,HDD,0.001953125,3.5,SATA 6.0 Gb/s,0.0,20.0,256,160
Seagate FireCuda 530,132.75,0.09057839214259732,0.9878291657446338,SSD,0.0,M.2,M.2 PCIe 4.0 X4,1.0,2.0,0,7000
Samsung 980 Pro w/Heatsink,69.98,0.04510731174972717,0.9869440141624253,SSD,0.0078125,M.2,M.2 PCIe 4.0 X4,1.0,1.0,1024,7000
Kingston A400,39.99,0.043288468534012366,0.9931400752378845,SSD,0.0,2.5,SATA 6.0 Gb/s,0.05701754385964912,0.96,0,550
Seagate SuperSpeed HDD,,0.04510731174972717,,,0.00048828125,2.5,SATA 6.0 Gb/s,0.05701754385964912,1.0,64,550
TEAMGROUP MP34,75.98,0.09057839214259732,0.994025226820093,SSD,0.0,M.2,M.2 PCIe 3.0 X4,0.48830409356725146,2.0,0,3500
Western Digital DC HC530,159.0,0.636231356857039,1.0,HDD,0.00390625,3.5,SATA 6.0 Gb/s,0.0,14.0,512,160
Western Digital Blue,69.98,0.04510731174972717,0.9869440141624253,SSD,0.0,2.5,SATA 6.0 Gb/s,0.05701754385964912,1.0,0,550
TEAMGROUP MS30,19.98,0.02291742451800655,0.9938039389245408,SSD,0.0,M.2,M.2 SATA,0.05701754385964912,0.512,0,550
Kingston NV2,24.8,0.011004001455074573,0.9805266651914141,SSD,0.0,M.2,M.2 PCIe 4.0 X4,1.0,0.25,0,7000
Crucial MX500,34.95,0.02237177155329211,0.9869440141624253,SSD,0.00390625,2.5,SATA 6.0 Gb/s,0.05701754385964912,0.5,512,550
Corsair MP600 CORE XT,94.99,0.09057839214259732,0.9920336357601239,SSD,0.0,M.2,M.2 PCIe 4.0 X4,1.0,2.0,0,7000
Seagate BarraCuda,63.34,0.09057839214259732,0.9953529541934056,HDD,0.00048828125,3.5,SATA 6.0 Gb/s,0.0,2.0,64,160
Patriot Burst Elite,11.49,0.005092761004001455,0.9811905288780703,SSD,0.0,2.5,SATA 6.0 Gb/s,0.05701754385964912,0.12,0,550
Samsung 860 Evo,,0.02237177155329211,,SSD,0.00390625,2.5,SATA 6.0 Gb/s,0.05701754385964912,0.5,512,550
MSI SPATIUM M461,,0.18152055292833758,,SSD,0.0,M.2,M.2 PCIe 4.0 X4,1.0,4.0,0,7000
Mushkin ALPHA,1488.88,0.3634048744998181,0.9612746182783802,SSD,0.0,M.2,M.2 PCIe 3.0 X4,0.48830409356725146,8.0,0,3500
Crucial MX500,206.99,0.18152055292833758,0.9909271962823634,SSD,0.0,2.5,SATA 6.0 Gb/s,0.05701754385964912,4.0,0,550
Kingston A400,14.99,0.005092761004001455,0.9747731799070591,SSD,0.0,2.5,SATA 6.0 Gb/s,0.05701754385964912,0.12,0,550
Western Digital Green SN350,43.99,0.04510731174972717,0.9926974994467803,SSD,0.0,M.2,M.2 PCIe 3.0 X4,0.48830409356725146,1.0,0,3500
Silicon Power UD85,72.97,0.09057839214259732,0.9944678026111972,SSD,0.0,M.2,M.2 PCIe 4.0 X4,1.0,2.0,0,7000
