chipset,memory,core_clock,boost_clock,G3Dmark,G2Dmark,testDate,category
Radeon R9 280X,6.0,1000.0,1050.0,6284,692,2016,Desktop
Quadro P600,2.0,1354.0,1455.0,3324,482,2017,Workstation
Radeon R9 295X2,8.0,1018.0,1018.0,8619,804,2014,Desktop
GeForce GTX 550 Ti,1.0,910.0,910.0,1557,363,2012,Desktop
GeForce GTX 550 Ti,2.0,900.0,900.0,1557,363,2012,Desktop
Radeon R9 Fury X,4.0,1050.0,1050.0,10088,875,2020,Unknown
GeForce GTX 650 Ti,1.0,928.0,928.0,2527,400,2012,Desktop
GeForce GTX 650 Ti,2.0,1071.0,1071.0,2527,400,2012,Desktop
Quadro K2200,4.0,1046.0,1046.0,3541,534,2014,Workstation
Quadro GV100,32.0,1200.0,1447.0,17675,841,2018,Workstation
GeForce GTX 660 Ti,2.0,1028.0,1028.0,4367,449,2012,Desktop
GeForce GTX 660 Ti,3.0,1032.0,1032.0,4367,449,2012,Desktop
Radeon R9 390X,8.0,1050.0,1100.0,9503,840,2016,Desktop
Quadro K2000,2.0,,,1567,371,2013,Workstation
Quadro P6000,24.0,1417.0,1531.0,15811,773,2016,Workstation
GeForce GTX 670,2.0,1006.0,1006.0,5304,523,2012,Desktop
GeForce GTX 670,4.0,967.0,967.0,5304,523,2012,Desktop
Quadro 4000,2.0,,,1489,366,2010,Workstation
Radeon Pro VII,16.0,1400.0,1700.0,16853,720,2020,Unknown
FirePro W5000,2.0,825.0,825.0,3056,587,2012,Workstation
Radeon R9 380X,4.0,1040.0,1040.0,6189,670,2015,Desktop
Quadro 2000D,1.0,625.0,625.0,989,324,2011,Unknown
GeForce GTX 480,1.5,700.0,700.0,4110,447,2012,Desktop
Radeon HD 6770,1.0,,,1231,313,2011,Desktop
Radeon R9 290X,4.0,1040.0,1040.0,8794,787,2020,Unknown
Radeon R9 290X,8.0,1030.0,1030.0,8794,787,2020,Unknown
Quadro M5000,8.0,861.0,1038.0,9262,679,2015,Workstation
GeForce GT 630,2.0,780.0,780.0,683,208,2012,Desktop
GeForce GT 630,1.0,820.0,820.0,683,208,2012,Desktop
GeForce GT 630,4.0,810.0,810.0,683,208,2012,Desktop
Radeon HD 7850,2.0,920.0,920.0,3826,550,2012,Desktop
Radeon HD 7850,4.0,1000.0,1000.0,3826,550,2012,Desktop
Radeon HD 7850,1.0,860.0,860.0,3826,550,2012,Desktop
FirePro W7100,8.0,824.0,824.0,5175,667,2015,Workstation
GeForce 9800 GTX+,0.5,,,538,139,2012,Desktop
GeForce GTX 580,3.0,772.0,772.0,4538,456,2012,Desktop
GeForce GTX 580,1.5,782.0,782.0,4538,456,2012,Desktop
GeForce GTX 680,2.0,1006.0,1006.0,5535,528,2012,Desktop
GeForce GTX 680,4.0,1071.0,1071.0,5535,528,2012,Desktop
Radeon R7 360,2.0,1070.0,1070.0,3034,495,2015,Desktop
GeForce GTX 560,1.0,810.0,810.0,2711,418,2012,Desktop
GeForce GTX 560,2.0,850.0,850.0,2711,418,2012,Desktop
GeForce GTX 690,4.0,915.0,915.0,5654,458,2012,Desktop
Quadro K4000,3.0,810.0,810.0,2700,419,2012,Workstation
