cpuName,price,cpuMark,cpuValue,threadMark,threadValue,TDP,powerPerf,cores,testDate,socket,category
AMD Opteron 270,249.95,761,3.04,411,1.64,95.0,8.01,2,2012,940,Server
AMD Athlon 64 X2 Dual Core 5000+,331.49,760,2.29,882,2.66,65.0,11.69,2,2008,AM2,Desktop
Intel Pentium E2200,54.0,752,13.93,841,15.57,65.0,11.57,2,2009,LGA775,Desktop
AMD Athlon Dual Core 5050e,60.0,748,12.46,875,14.58,45.0,16.61,2,2009,AM2,Desktop
Dual-Core AMD Opteron 1220 SE,,748,,900,,103.0,7.26,2,2016,AM2,Server
Intel Celeron 1047UE,,748,,526,,17.0,44.03,2,2014,FCBGA1023,Desktop
AMD Opteron 180,119.95,746,6.22,874,7.29,110.0,6.78,2,2009,939,Server
Intel Pentium D 960,,743,,775,,130.0,5.71,2,2009,PLGA775,Desktop
ARM Cortex-A55 4 Core 2124 MHz,,742,,336,,,,4,2022,unknown,Unknown
ARM Cortex-A55 4 Core 1992 MHz,,741,,328,,,,4,2022,unknown,Unknown
AMD Athlon Dual Core 5600B,,737,,1003,,65.0,11.34,2,2012,AM2+,Desktop
Athlon 64 Dual Core 3800+,,736,,653,,35.0,21.03,2,2014,unknown,Unknown
AMD Athlon Dual Core 4850e,39.0,735,18.85,879,22.53,45.0,16.33,2,2009,AM2,Desktop
AC8257V/WAB,,735,,447,,,,8,2021,unknown,Unknown
AMD Opteron 1216 HE,,727,,847,,65.0,11.18,2,2012,AM2,Server
AMD Athlon Dual Core 4850B,,727,,887,,45.0,16.15,2,2010,AM2+,Desktop
ARM Cortex-A72 4 Core 2000 MHz,,726,,555,,,,4,2021,unknown,Unknown
AMD Athlon 64 X2 Dual Core 4800+,149.95,722,4.82,885,5.9,65.0,11.11,2,2008,AM2,Desktop
ARM Cortex-A55 4 Core 2100 MHz,,719,,328,,,,4,2021,unknown,Unknown
Intel Core2 Duo E4500,11.0,718,65.32,820,74.56,65.0,11.05,2,2008,LGA775,Desktop
AMD Athlon 64 X2 Dual Core 4600+,349.95,716,2.05,839,2.4,65.0,11.02,2,2008,AM2,Desktop
Intel Core2 Duo E6420,39.99,714,17.86,783,19.58,65.0,10.99,2,2008,PLGA775,Desktop
Intel Celeron E1600,,712,,877,,65.0,10.95,2,2009,LGA775,Desktop
AMD Athlon II P360 Dual-Core,19.95,711,35.65,879,44.04,25.0,28.45,2,2011,S1g4,Unknown
AMD Athlon 64 FX-60 Dual Core,,709,,912,,110.0,6.45,2,2009,939,Desktop
Intel Atom E3840,,704,,477,,,,4,2014,unknown,Unknown
Intel Pentium E2210,,702,,946,,65.0,10.81,2,2009,LGA775,Desktop
AMD Athlon Dual Core 4450e,14.48,698,48.22,812,56.08,45.0,15.52,2,2009,AM2,Desktop
AMD Opteron 1214,86.35,696,8.07,830,9.61,103.0,6.76,2,2009,AM2,Server
AMD Athlon II Dual-Core M320,30.0,696,23.19,831,27.69,35.0,19.87,2,2009,unknown,Unknown
AMD Opteron 185,,695,,884,,110.0,6.32,2,2009,939,Server
AMD Athlon 64 X2 Dual Core 4400+,298.95,691,2.31,787,2.63,65.0,10.63,2,2008,AM2,Desktop
Intel Celeron G470,35.15,691,19.67,937,26.67,35.0,19.75,1,2014,LGA1155,Desktop
AMD Athlon X2 Dual Core BE-2400,,688,,693,,18.0,38.21,2,2009,FT1,Desktop
AMD Athlon Dual Core 4450B,31.0,684,22.05,780,25.15,45.0,15.19,2,2009,AM2+,Desktop
AMD Opteron 175,,682,,773,,110.0,6.2,2,2008,939,Server
Athlon Dual Core 4450e,,681,,792,,45.0,15.12,2,2009,AM2,Desktop
Intel Core2 Duo L7800,,680,,622,,,,2,2012,unknown,Unknown
Intel Pentium D 950,,679,,695,,130.0,5.22,2,2008,PLGA775,Desktop
AMD Athlon II Dual-Core M340,,676,,774,,35.0,19.32,2,2010,unknown,Unknown
AMD Athlon II X2 270u,67.67,675,9.98,791,11.69,25.0,27.02,2,2010,AM3,Desktop
AMD Athlon II P320 Dual-Core,19.95,674,33.78,811,40.64,25.0,26.96,2,2010,unknown,Unknown
AMD Athlon II P340 Dual-Core,39.95,673,16.84,827,20.71,25.0,26.91,2,2010,S1g4,Unknown
AMD Athlon 64 X2 Dual Core 4200+,109.95,672,6.12,786,7.15,89.0,7.56,2,2008,AM2,Desktop
Intel Pentium E2180,19.5,671,34.42,748,38.36,65.0,10.33,2,2008,LGA775,Desktop
Intel Celeron E1400,14.0,671,47.91,746,53.28,65.0,10.32,2,2009,LGA775,Desktop
Athlon Dual Core 4050e,,670,,744,,45.0,14.89,2,2009,AM2,Desktop
Intel Celeron J3060,,668,,627,,6.0,111.3,2,2016,BGA1170,Desktop
VIA QuadCore U46501.0+ GHz,,666,,296,,27.5,24.21,4,2012,unknown,Desktop
AMD Athlon II N330 Dual-Core,,665,,813,,35.0,19.01,2,2010,unknown,Unknown
AMD Athlon II X2 260u,83.44,663,7.94,703,8.42,25.0,26.5,2,2010,AM3,Desktop
AMD Athlon 64 X2 Dual Core 4000+,,661,,730,,65.0,10.17,2,2008,AM2,Desktop
ARM Cortex-A72 4 Core 1500 MHz,,661,,459,,,,4,2021,unknown,Unknown
ARM Cortex-A72 4 Core 2100 MHz,,653,,543,,,,4,2021,unknown,Unknown
Intel Celeron E1500,19.65,649,33.02,785,39.95,65.0,9.98,2,2009,LGA775,Desktop
AMD Opteron 170,,648,,715,,110.0,5.89,2,2009,939,Server
Intel Pentium E2160,89.0,636,7.14,683,7.67,65.0,9.78,2,2008,LGA775,Desktop
AMD Athlon 64 X2 Dual-Core TK-57,,634,,675,,31.0,20.45,2,2009,unknown,Unknown
Intel Core2 Duo E4400,42.5,632,14.88,753,17.73,65.0,9.73,2,2008,LGA775,Desktop
AMD Athlon II Dual-Core M300,,631,,747,,35.0,18.03,2,2009,unknown,Unknown
ARM Cortex-A72 2 Core 0 MHz,,625,,534,,,,2,2021,unknown,Unknown
AMD Athlon Dual Core 4050e,,616,,732,,45.0,13.69,2,2009,AM2,Desktop
AMD Athlon 64 X2 Dual Core 3800+,,611,,719,,89.0,6.87,2,2008,AM2,Desktop
AMD Athlon II X2 250u,24.95,604,24.22,632,25.32,25.0,24.17,2,2010,AM3,Desktop
Intel Xeon 5110,35.0,600,17.14,606,17.32,65.0,9.23,2,2009,LGA771,Server
Intel Pentium T2410,,598,,726,,,,2,2009,unknown,Unknown
Intel Core2 Duo E6320,39.99,597,14.92,642,16.05,65.0,9.18,2,2008,PLGA775,Desktop
AMD Athlon 64 X2 Dual Core 3600+,68.25,596,8.73,686,10.05,65.0,9.17,2,2008,AM2,Desktop
Intel Atom S1260,64.0,596,9.31,224,3.5,8.5,70.08,2,2013,FCBGA1283,Server
Intel Celeron J1750,,595,,659,,10.0,59.53,2,2014,FCBGA1170,Desktop
AMD Athlon 64 X2 Dual Core BE-2300,,594,,624,,45.0,13.2,2,2011,AM2,Desktop
AMD Opteron 1212,290.0,593,2.04,729,2.51,103.0,5.75,2,2009,AM2,Server
Intel Core2 Duo E6300,127.61,592,4.64,693,5.43,65.0,9.11,2,2008,"LGA775, PLGA775",Desktop
AMD Athlon X2 Dual Core BE-2350,,591,,705,,45.0,13.14,2,2009,AM2,Desktop
Intel Xeon MV ,,582,,378,,90.0,6.46,2,2015,mPGA604,Server
Intel Celeron J1800,,581,,664,,10.0,58.09,2,2014,FCBGA1170,Desktop
AMD Athlon 64 X2 Dual-Core TK-42,,577,,537,,20.0,28.85,2,2009,unknown,Unknown
Intel Celeron 1019Y,,576,,521,,10.0,57.65,2,2014,FCBGA1023,Desktop
AMD Athlon 64 X2 Dual Core BE-2350,,573,,674,,45.0,12.74,2,2009,AM2,Desktop
AMD Athlon X2 Dual Core BE-2300,60.0,570,9.5,644,10.73,45.0,12.67,2,2009,AM2,Desktop
AMD Athlon 64 X2 3800+,,566,,745,,89.0,6.36,2,2010,939,Desktop
AMD Athlon X2 Dual Core 6850e,,564,,623,,22.0,25.65,2,2010,unknown,Unknown
AMD Sempron Dual Core 2200,39.95,563,14.09,649,16.24,65.0,8.66,2,2009,unknown,Unknown
AMD Sempron 2650 APU,84.97,561,6.6,475,5.59,25.0,22.42,2,2014,"AM1,FSB1",Desktop
Intel Core2 Duo E4300,42.5,561,13.21,665,15.65,65.0,8.64,2,2009,LGA775,Desktop
ARM Cortex-A53 4 Core 1800 MHz,,558,,246,,,,4,2021,unknown,Unknown
AMD Sempron Dual Core 2300,41.99,555,13.22,697,16.6,65.0,8.54,2,2009,unknown,Unknown
Intel Pentium E2140,79.95,549,6.87,605,7.56,65.0,8.45,2,2008,"LGA775, PLGA775",Desktop
Intel T1500,,548,,661,,,,2,2009,unknown,Unknown
Intel Celeron,,548,,611,,,,1,2013,unknown,Unknown
Amlogic,,537,,376,,,,4,2021,unknown,Unknown
AMD Athlon 64 X2 Dual-Core TK-53,,535,,600,,31.0,17.26,2,2009,unknown,Unknown
AMD Sempron Dual Core 2100,37.99,533,14.04,596,15.69,65.0,8.21,2,2009,unknown,Unknown
Intel Atom C2350,43.0,532,12.38,496,11.53,6.0,88.7,2,2021,FCBGA1283,Server
AMD Athlon 64 X2 Dual Core 3400+,,531,,505,,89.0,5.97,2,2010,754,Desktop
AMD Opteron 165,550.0,531,0.97,638,1.16,110.0,4.83,2,2009,939,Server
AMD Athlon Neo X2 Dual Core L335,,529,,570,,18.0,29.36,2,2009,unknown,Unknown
AMD Athlon 64 X2 Dual-Core TK-55,72.74,525,7.21,613,8.42,35.0,14.99,2,2008,unknown,Unknown
AMD Athlon 64 FX-57,,517,,552,,104.0,4.97,1,2009,939,Desktop
Intel T2050,,516,,611,,31.0,16.64,2,2012,PPGA478,Unknown
ARM Cortex-A17 4 Core 1800 MHz,,515,,398,,,,4,2021,unknown,Unknown
AMD Sempron 145,35.99,505,14.04,989,27.47,45.0,11.23,1,2010,AM3,Desktop
AMD Sempron 130,30.0,501,16.69,1064,35.47,45.0,11.13,1,2012,AM2+/AM3,Unknown
AMD Sempron 150,14.95,498,33.32,1079,72.16,45.0,11.07,1,2011,AM3,Desktop
Intel Pentium D 940,,498,,574,,130.0,3.83,2,2008,PLGA775,Desktop
Intel Celeron G460,55.0,494,8.99,720,13.09,35.0,14.13,1,2012,LGA1155,Desktop
Intel Pentium D 830,,494,,550,,95.0,5.2,2,2008,PLGA775,Desktop
Intel Atom D2700,,492,,387,,10.0,49.22,2,2011,BGA559,Desktop
Intel Celeron E1200,99.95,492,4.93,628,6.28,65.0,7.58,2,2008,LGA775,Desktop
AMD Athlon 64 3100+,,484,,600,,89.0,5.44,1,2015,754,Desktop
Intel Celeron G465,40.0,480,12.0,739,18.49,35.0,13.71,1,2012,LGA1155,Desktop
Intel Xeon ,,478,,696,,103.0,4.64,1,2009,PPGA604,Server
AMD E-350D APU,,478,,521,,18.0,26.58,2,2013,unknown,Unknown
AMD Athlon Neo X2 Dual Core L325,,476,,527,,18.0,26.45,2,2010,unknown,Unknown
Intel T1400,15.0,475,31.7,671,44.73,,,2,2009,unknown,Unknown
AMD Sempron 140,11.95,471,39.42,1044,87.38,45.0,10.47,1,2009,AM3,Desktop
Intel Pentium Extreme Edition 955,31.23,469,15.02,515,16.49,130.0,3.61,2,2009,PLGA775,Desktop
AMD Athlon 64 FX-59,,465,,575,,,,1,2013,939,Desktop
ARM Cortex-A53 4 Core 1392 MHz,,459,,191,,,,4,2021,unknown,Unknown
AMD Opteron 154,,457,,534,,104.0,4.39,1,2011,939,Server
AMD Athlon Neo X2 Dual Core 6850e,,456,,566,,22.0,20.72,2,2009,unknown,Unknown
AMD Opteron 254,,451,,578,,68.0,6.63,1,2012,940,Server
ARM Cortex-A53 4 Core 1512 MHz,,448,,229,,,,4,2021,unknown,Unknown
Intel Celeron 450,38.99,445,11.41,613,15.73,35.0,12.71,1,2009,LGA775,Desktop
AMD E2-1800 APU,,442,,528,,18.0,24.53,2,2012,FT1,Desktop
Intel Atom D2560,,433,,353,,10.0,43.31,2,2013,unknown,Desktop
AMD Athlon LE-1640,89.95,430,4.78,489,5.44,45.0,9.55,1,2009,AM2,Desktop
AMD Opteron 152,,428,,487,,104.0,4.12,1,2009,939,Server
Sony Mobile fusion3,,428,,234,,,,4,2021,unknown,Unknown
Intel Celeron G440,100.0,426,4.26,739,7.39,35.0,12.17,1,2012,LGA1155,Desktop
Intel Xeon ,,425,,607,,103.0,4.12,1,2009,PPGA604,Server
ARM Cortex-A53 4 Core 1296 MHz,,425,,184,,,,4,2021,unknown,Unknown
Intel Pentium D 915,,423,,508,,95.0,4.46,2,2008,PLGA775,Desktop
AMD Athlon LE-1620,18.0,421,23.4,475,26.38,45.0,9.36,1,2009,AM2,Desktop
AMD Athlon LE-1660,,416,,428,,45.0,9.25,1,2009,AM2,Desktop
AMD E-350,,414,,486,,18.0,23,2,2011,FT1,"Desktop, Laptop"
AMD Athlon LE-1600,21.0,412,19.63,430,20.49,45.0,9.16,1,2009,AM2,Desktop
AMD Athlon 1640B,50.0,412,8.23,462,9.25,45.0,9.14,1,2009,AM2,Desktop
Intel Atom D2550,,408,,311,,10.0,40.78,2,2012,BGA559,Desktop
AMD Athlon 64 FX-55,65.0,404,6.22,505,7.77,104.0,3.89,1,2009,939,Desktop
Intel Atom D510,97.16,404,4.16,292,3.01,13.0,31.11,2,2010,BGA559,Desktop
Intel Xeon ,851.0,403,0.47,643,0.76,110.0,3.67,1,2009,PPGA604,Server
AMD E-350 APU,,401,,482,,18.0,22.28,2,2012,FT1 BGA,"Desktop, Laptop"
AMD Sempron LE-1300,27.0,400,14.81,389,14.42,45.0,8.89,1,2009,AM2,Desktop
AMD Geode NX 2400+,,400,,634,,,,1,2016,unknown,Unknown
ARM Cortex-A53 4 Core 1600 MHz,,400,,163,,,,4,2022,unknown,Unknown
Intel Atom D525,,399,,310,,13.0,30.68,2,2010,BGA559,Desktop
QCT APQ8064 MAKO,,399,,254,,,,4,2021,unknown,Unknown
ARM ARMv7 rev 4 (v7l) 4 Core 1400 MHz,,399,,273,,,,4,2022,unknown,Unknown
AMD Athlon 64 3500+,79.95,396,4.95,568,7.1,45.0,8.8,1,2008,AM2,Unknown
ARM ARMv7 rev 4 (v7l) 4 Core 1200 MHz,,396,,272,,,,4,2021,unknown,Unknown
AMD Athlon 64 3700+,89.95,394,4.38,435,4.83,89.0,4.42,1,2008,939,Desktop
AMD Opteron 150,352.94,393,1.11,471,1.34,85.3,4.6,1,2009,939,Server
Intel Xeon ,851.0,393,0.46,594,0.7,110.0,3.57,1,2009,PPGA604,Server
AMD Opteron 148,,392,,443,,85.3,4.6,1,2009,939,Server
Intel Core Duo L2300,,387,,442,,15.0,25.81,2,2010,BGA479,Desktop
Intel Atom E3825,70.32,385,5.47,370,5.26,6.0,64.14,2,2014,FCBGA1170,Desktop
Intel Pentium 4 ,,385,,572,,115.0,3.35,1,2009,unknown,Desktop
AMD Athlon 64 3400+,99.95,375,3.75,429,4.29,89.0,4.21,1,2009,754,Unknown
Intel Xeon ,,375,,519,,103.0,3.64,1,2008,PPGA604,Server
AMD Athlon 64 3300+,,375,,477,,,,1,2009,unknown,Unknown
Intel Pentium D 805,,374,,497,,95.0,3.93,2,2008,PLGA775,Desktop
ARM Cortex-A53 4 Core 0 MHz,,374,,165,,,,4,2021,unknown,Unknown
Intel Celeron D 360,,372,,712,,65.0,5.72,1,2008,PLGA775,Desktop
Intel Atom 330,,371,,168,,8.0,46.43,2,2009,BGA437,Desktop
Intel Celeron 440,49.99,368,7.37,444,8.88,35.0,10.52,1,2009,LGA775,Desktop
AMD Sempron 3600+,15.0,364,24.24,377,25.13,62.0,5.86,1,2009,AM2,Desktop
AMD Sempron 3800+,14.99,360,24.03,422,28.17,62.0,5.81,1,2008,AM2,Desktop
AMD Athlon II 160u,29.99,358,11.93,717,23.89,20.0,17.89,1,2010,unknown,Desktop
AMD Athlon II 170u,24.0,357,14.86,728,30.34,20.0,17.83,1,2010,"AM2+,AM3",Desktop
AMD Athlon X2 Dual Core 3250e,,357,,458,,22.0,16.23,2,2009,unknown,Unknown
ARM Cortex-A7 4 Core 1300 MHz,,354,,253,,,,4,2022,unknown,Unknown
AMD Sempron LE-1200,14.95,349,23.32,551,36.89,45.0,7.75,1,2009,AM2,Desktop
ARM Cortex-A53 4 Core 1152 MHz,,347,,155,,,,4,2021,unknown,Unknown
AMD Opteron 146,35.0,346,9.88,400,11.43,67.0,5.16,1,2009,939,Server
ARM Cortex-A7 4 Core 1368 MHz,,346,,265,,,,4,2021,unknown,Unknown
ARM Cortex-A53 4 Core 1400 MHz,,345,,230,,,,4,2021,unknown,Unknown
Intel ,,341,,456,,,,2,2019,unknown,Unknown
AMD Athlon 64 4000+,99.95,340,3.4,565,5.65,62.0,5.49,1,2008,AM2,Unknown
AMD Athlon 64 3200+,149.95,340,2.27,568,3.79,62.0,5.48,1,2008,AM2,Unknown
AMD Athlon TF-36,,338,,349,,25.0,13.53,1,2010,unknown,Unknown
AMD Sempron M100,12.0,338,28.15,587,48.91,,,1,2009,unknown,Unknown
ARM Cortex-A72 4 Core 1750 MHz,,335,,463,,,,4,2021,unknown,Unknown
ARM Cortex-A35 4 Core 1296 MHz,,334,,166,,,,4,2022,unknown,Unknown
AMD Athlon 2850e,,333,,337,,22.0,15.12,1,2009,AM2,Desktop
Intel Pentium 4 ,,326,,561,,82.0,3.97,1,2008,PGA478,Desktop
ARM Cortex-A53 4 Core 1200 MHz,,323,,237,,,,4,2021,unknown,Unknown
Intel Core Duo T2050,,320,,493,,31.0,10.32,2,2008,PGA478,Desktop
AMD Opteron 144,29.95,316,10.55,376,12.56,67.0,4.72,1,2008,939,Server
AMD Sempron 3300+,20.0,315,15.74,394,19.68,62.0,5.08,1,2008,754,Desktop
AMD Sempron LE-1100,34.95,315,9.02,509,14.56,45.0,7.01,1,2009,AM2,Desktop
Intel Pentium 4 ,,315,,447,,115.0,2.74,1,2008,unknown,Desktop
VIA Eden X2 U42001.0+ GHz,,315,,281,,,,2,2013,unknown,Unknown
Intel Celeron D 420,,313,,388,,35.0,8.95,1,2011,LGA775,Desktop
Intel Pentium 4 ,,313,,549,,81.9,3.82,1,2008,PGA478,Desktop
Intel Pentium 4 ,,313,,596,,65.0,4.81,1,2008,unknown,Desktop
AMD C-60 APU,,309,,359,,9.0,34.36,2,2011,unknown,Unknown
AMD Z-01,,308,,290,,,,2,2011,unknown,Unknown
AMD Athlon 64 3000+,20.0,303,15.13,506,25.31,89.0,3.4,1,2008,Socket 754,Desktop
AMD Sempron LE-1250,99.99,301,3.01,508,5.08,45.0,6.68,1,2009,AM2,Desktop
AMD C-70 APU,,300,,354,,9.0,33.29,2,2012,unknown,Unknown
AMD Sempron 3100+,65.0,298,4.58,383,5.89,62.0,4.8,1,2009,754,Desktop
AMD Athlon 64 2800+,99.99,295,2.95,375,3.75,89.0,3.32,1,2009,754,Unknown
Intel Pentium 4 ,,295,,512,,110.7,2.67,1,2009,unknown,Desktop
Intel Celeron 430,49.99,293,5.86,630,12.59,35.0,8.37,1,2009,LGA775,Desktop
Intel Pentium 4 ,,293,,667,,89.0,3.29,1,2008,PGA478,Desktop
AMD Athlon 64 3800+,131.01,292,2.23,461,3.52,45.0,6.5,1,2009,AM2,Unknown
AMD Sempron 3400+,86.68,292,3.37,346,3.99,62.0,4.71,1,2008,AM2,Desktop
AMD Athlon 2800+,109.95,291,2.65,439,3.99,89.0,3.27,1,2009,754,Unknown
AMD C-60,,290,,354,,9.0,32.21,2,2011,unknown,Unknown
AMD Sempron 3200+,124.68,288,2.31,356,2.85,62.0,4.65,1,2009,AM2,Desktop
Intel Celeron D 352,,283,,674,,86.0,3.29,1,2009,PLGA775,Desktop
AMD Athlon Neo MV-40,,282,,442,,15.0,18.79,1,2009,unknown,Unknown
AMD Athlon XP 3100+,,282,,431,,,,1,2009,unknown,Unknown
AMD Athlon XP 3200+,,281,,430,,62.0,4.53,1,2008,AM2,Unknown
Spreadtrum SC7731e,,277,,183,,,,4,2021,unknown,Unknown
AMD Athlon XP 2900+,,276,,410,,,,1,2009,unknown,Unknown
Intel Atom D2500,,275,,346,,10.0,27.46,2,2012,BGA559,Desktop
AMD Athlon 2650e,19.0,274,14.43,304,16.0,15.0,18.28,1,2009,AM2,Desktop
AMD Athlon TF-20,,272,,420,,15.0,18.1,1,2009,unknown,Unknown
ARM Cortex-A7 4 Core 1200 MHz,,270,,208,,,,4,2021,unknown,Unknown
AMD Sempron 3000+,34.95,268,7.66,333,9.53,62.0,4.32,1,2008,AM2,Desktop
AMD Sempron 210U,,267,,299,,15.0,17.83,1,2009,unknown,Unknown
Intel Celeron ,,267,,599,,,,1,2009,unknown,Unknown
Intel Celeron ,,263,,528,,,,1,2009,unknown,Unknown
VIA Eden C1050@,,263,,283,,,,1,2017,unknown,Unknown
AMD Athlon XP 3000+,79.7,262,3.29,396,4.97,62.0,4.22,1,2009,Socket A,Desktop
AMD Athlon XP 2800+,,260,,408,,89.0,2.93,1,2009,754,Unknown
Intel Xeon ,,260,,384,,103.0,2.52,1,2008,PPGA604,Server
AMD Athlon XP 2700+,84.79,256,3.02,398,4.69,,,1,2008,unknown,Unknown
AMD Sempron 2600+,34.95,253,7.23,325,9.31,,,1,2008,Socket A,Desktop
AMD Sempron LE-1150,14.94,251,16.82,477,31.92,45.0,5.59,1,2009,AM2,Desktop
Intel Celeron D 356,,251,,619,,86.0,2.92,1,2009,PLGA775,Desktop
Intel Pentium 4 ,,249,,551,,81.8,3.04,1,2009,PGA478,Desktop
ARM Cortex-A7 4 Core 900 MHz,,244,,171,,,,4,2021,unknown,Unknown
AMD Sempron 2800+,29.95,243,8.11,408,13.63,62.0,3.92,1,2008,AM2,Desktop
AMD Athlon 64 2600+,,243,,292,,15.0,16.22,1,2013,unknown,Unknown
AMD Athlon XP2400+,,243,,390,,,,1,2009,unknown,Unknown
AMD Athlon XP 2600+,23.03,242,10.52,380,16.49,,,1,2008,unknown,Unknown
Intel Pentium 4 ,,236,,506,,69.7,3.39,1,2008,PGA478,Desktop
Intel Celeron 420,49.95,235,4.71,471,9.43,35.0,6.72,1,2009,LGA775,Desktop
AMD Athlon XP 2400+,79.99,234,2.93,375,4.69,,,1,2009,unknown,Unknown
Intel Celeron ,,234,,514,,,,1,2009,unknown,Unknown
AMD Sempron 3500+,24.99,232,9.28,264,10.56,62.0,3.74,1,2009,AM2,Desktop
Mobile Intel Pentium 4 ,,232,,468,,82.0,2.83,1,2009,PGA478,Desktop
Intel Celeron D 347,,232,,565,,86.0,2.7,1,2008,PLGA775,Desktop
AMD Athlon XP 2500+,,231,,353,,,,1,2008,unknown,Unknown
Intel Celeron ,,230,,396,,,,1,2009,unknown,Unknown
Intel Atom D425,992.98,222,0.22,320,0.32,10.0,22.2,1,2011,BGA559,Desktop
Mobile Intel Pentium 4 ,,220,,423,,81.8,2.68,1,2009,PGA478,Desktop
Intel Pentium 4 ,,215,,494,,69.0,3.11,1,2008,PGA478,Desktop
AMD Athlon XP 2200+,84.95,214,2.52,335,3.94,,,1,2009,unknown,Unknown
Intel Atom 230,,210,,167,,4.0,52.61,1,2009,BGA437,Desktop
AMD Athlon XP 2100+,63.75,210,3.3,327,5.12,,,1,2009,unknown,Unknown
Intel Celeron 220,,209,,255,,19.0,10.97,1,2009,BGA479,Desktop
Intel Celeron ,,208,,370,,,,1,2008,unknown,Unknown
AMD Sempron 2300+,45.0,207,4.6,314,6.98,,,1,2009,Socket A,Desktop
AMD Sempron 2500+,59.95,207,3.45,405,6.75,,,1,2009,Socket A,Desktop
Mobile Intel Pentium 4 ,,205,,397,,69.7,2.94,1,2009,PGA478,Desktop
AMD Sempron 2400+,12.99,205,15.74,321,24.72,,,1,2008,Socket A,Desktop
AMD Athlon XP 1900+,45.8,203,4.44,312,6.81,,,1,2009,unknown,Unknown
ARM Cortex-A53 4 Core 1536 MHz,,202,,192,,,,4,2021,unknown,Unknown
Intel Pentium M ,,199,,262,,,,1,2008,unknown,Unknown
ARM Cortex-A72 4 Core 1850 MHz,,199,,343,,,,4,2021,unknown,Unknown
AMD Athlon L110,,197,,223,,13.0,15.17,1,2009,unknown,Unknown
AMD Athlon XP 1800+,50.95,195,3.83,301,5.9,66.0,2.96,1,2009,Socket A,Desktop
AMD Athlon XP 2000+,58.99,195,3.31,311,5.28,70.0,2.79,1,2009,Socket A,Desktop
Intel Pentium III 1400S,,194,,278,,32.2,6.04,1,2009,Socket 370,Desktop
Intel Pentium III 1400,,193,,272,,31.2,6.19,1,2009,Socket 370,Desktop
AMD Athlon 1500+,,191,,275,,,,1,2009,unknown,Unknown
Intel Celeron ,,190,,425,,68.4,2.78,1,2008,PPGA478,Desktop
AMD Sempron 2200+,39.95,184,4.6,279,6.99,,,1,2009,Socket A,Desktop
Intel Pentium M ,,184,,218,,,,1,2009,unknown,Unknown
AMD Athlon XP1600+,,183,,272,,,,1,2009,unknown,Unknown
Mobile Intel Pentium 4 ,,182,,425,,66.1,2.75,1,2009,PGA478,Desktop
Intel Celeron ,,182,,382,,,,1,2009,unknown,Unknown
Intel Xeon ,9.1,180,19.73,387,42.52,,,1,2009,unknown,Server
Intel Atom D410,635.99,177,0.28,254,0.4,10.0,17.7,1,2010,BGA559,Desktop
AMD Athlon XP 1700+,51.25,176,3.44,272,5.3,64.0,2.75,1,2009,Socket A (462),Desktop
AMD Athlon XP 1600+,,174,,265,,,,1,2009,unknown,Unknown
AMD Athlon XP 1500+,,167,,251,,,,1,2009,unknown,Unknown
Intel Celeron ,,166,,361,,,,1,2009,unknown,Unknown
Mobile AMD Sempron 2100+,,164,,203,,8.0,20.49,1,2011,S1,"Laptop, Mobile/Embedded"
Intel XEON ,,164,,351,,,,1,2009,unknown,Server
Intel Celeron ,,164,,431,,,,1,2009,unknown,Unknown
Intel Pentium 4 ,,162,,442,,61.5,2.64,1,2009,PGA478,Desktop
Intel Pentium 4 ,,160,,385,,61.0,2.62,1,2009,PGA478,Desktop
Intel Atom E3815,135.0,159,1.17,238,1.76,5.0,31.7,1,2014,FCBGA1170,Desktop
Intel Celeron ,,159,,212,,,,1,2009,unknown,Unknown
Intel Celeron ,,159,,386,,,,1,2009,unknown,Unknown
Intel Pentium 4 ,,157,,379,,57.1,2.76,1,2009,PGA478,Desktop
Intel Pentium 4 ,,157,,431,,66.1,2.38,1,2009,PGA478,Desktop
AMD Athlon 64 2000+,,154,,173,,8.0,19.3,1,2013,unknown,Unknown
Intel Pentium 4 ,,154,,237,,,,1,2018,unknown,Desktop
Intel Celeron ,,154,,417,,,,1,2009,unknown,Unknown
Intel Atom N435,,153,,220,,,,1,2011,unknown,Unknown
Intel Xeon ,,152,,259,,,,1,2009,unknown,Server
Intel Pentium 4 ,,151,,409,,58.0,2.6,1,2009,PGA478,Desktop
VIA C7-D ,,150,,147,,20.0,7.51,1,2011,BGA400,Desktop
Intel Pentium 4 ,,150,,269,,,,1,2009,unknown,Desktop
Intel Celeron ,,148,,364,,,,1,2009,unknown,Unknown
VIA C7-M ,,145,,121,,,,1,2011,unknown,Unknown
Intel Celeron ,,143,,397,,,,1,2008,unknown,Unknown
Intel Celeron ,,143,,353,,,,1,2009,unknown,Unknown
ARM Cortex-A7 2 Core 1080 MHz,,142,,200,,,,2,2021,unknown,Unknown
Intel Celeron ,,139,,174,,,,1,2009,unknown,Unknown
Intel Celeron ,,139,,349,,,,1,2009,unknown,Unknown
VIA Esther ,,135,,112,,,,1,2011,unknown,Unknown
Intel Pentium 4 ,,133,,349,,54.3,2.45,1,2009,PGA478,Desktop
Intel Pentium 4 ,,131,,360,,59.8,2.2,1,2008,PGA478,Desktop
Intel Celeron ,,125,,338,,52.8,2.36,1,2009,PPGA478,Desktop
