index,name,price,core_count,core_clock,boost_clock,tdp,graphics,smt,codename,socket,lithography,cache,supported_mem,supported_chipset,release_date,passmark,category,passmarkPred,cinebench,cinePred,blender,blenderPred,core_count_spec,boost_clock_spec,cache_spec,tdp_spec
33,AMD Ryzen 7 3700X,239.0,0.1111111111111111,3.6,0.6363636363636364,0.8431372549019608,,True,Matisse,AM4,7,0.12156862745098039,DDR4,"A300, X300, A320, B350, X370, B450, X470, A520, B550, X570","Jul 7th, 2019",0.487010859,Desktop,False,0.3341633466135457,True,0.329334806,False,8,4.4,32.0,65
34,Intel Core i3-13100F,118.99,0.047619047619047616,3.4,0.6590909090909091,0.8705882352941177,,True,Raptor Lake-S,1700,10,0.043137254901960784,"DDR4, DDR5","B660, Z690, B760, Z790","Jan 4th, 2023",0.262535777,Unknown,True,0.1746347941567065,True,0.2054264903862749,False,4,4.5,12.0,58
35,AMD Threadripper 3990X,4483.0,1.0,2.9,0.6136363636363635,0.0,,True,Castle Peak,TRX4,7,1.0,DDR4,,"Feb 7th, 2020",0.6068299504031113,Unknown,True,0.5137782204515272,True,0.8854292519589906,True,64,4.3,256.0,280
36,Intel Core i9-13900KS,,0.36507936507936506,3.0,0.9999999999999999,0.5098039215686274,Intel UHD Graphics 770,True,Raptor Lake-S,1700,10,0.13725490196078433,"DDR4, DDR5","B660, Z690, B760, H770, Z790","Jan 12th, 2023",0.9575258362647208,Unknown,True,1.0,False,0.9330836411336256,False,24,6.0,36.0,150
37,Intel Core i7-12700KF,219.99,0.1746031746031746,3.6,0.7727272727272726,0.607843137254902,,True,Alder Lake-S,1700,10,0.09411764705882353,"DDR4, DDR5","Z690, H670, B660, H610","Nov 4th, 2021",0.7359566518822783,Desktop,False,0.5197543160690571,False,0.5254064689840865,False,12,5.0,25.0,125
38,AMD Ryzen 9 5950X,390.0,0.23809523809523808,3.4,0.7500000000000001,0.6862745098039216,,True,Vermeer,AM4,7,0.24705882352941178,DDR4,"A320, B350, X370, B450, X470, A520, B550, X570","Nov 5th, 2020",1.0,Desktop,False,0.6220119521912351,True,0.7291069764230729,False,16,4.9,64.0,105
39,Intel Core i9-13900KF,535.99,0.36507936507936506,3.0,0.9545454545454545,0.607843137254902,,True,Raptor Lake-S,1700,10,0.13725490196078433,"DDR4, DDR5","Z690, Z790","Sep 27th, 2022",0.9377963250234874,Unknown,True,0.9868857901726428,False,0.915530395,False,24,5.8,36.0,125
40,AMD Ryzen 5 4600G,104.0,0.07936507936507936,3.7,0.5909090909090909,0.8431372549019608,Radeon Vega 7,True,Renoir,AM4,7,0.027450980392156862,DDR4,"A320, B350, X370, B450, X470, A520, B550, X570","Jul 21st, 2020",0.3310319211693504,Desktop,False,0.2093293492695883,True,0.2424660844350857,False,6,4.2,8.0,65
41,Intel Core i3-10100F,75.83,0.047619047619047616,3.6,0.6136363636363635,0.8431372549019608,,True,Comet Lake,1200,14,0.0196078431372549,DDR4,"H410, B460, H470, Z490","Apr 30th, 2020",0.184142105,Desktop,False,0.1098937583001327,True,0.1562014567296075,False,4,4.3,6.0,65
42,Intel Core i5-12400,172.99,0.07936507936507936,2.5,0.6363636363636364,0.8431372549019608,Intel UHD Graphics 730,True,Alder Lake-S,1700,10,0.06666666666666667,"DDR4, DDR5","H610, B650, H670, Z690, H710, B750, H770, Z790","Jan 4th, 2022",0.418296227,Desktop,False,0.2782204515272244,True,0.2910179847423107,False,6,4.4,18.0,65
43,Intel Core i5-13400,228.0,0.14285714285714285,2.5,0.6818181818181818,0.8431372549019608,Intel UHD Graphics 730,True,Raptor Lake-S,1700,10,0.07450980392156863,"DDR4, DDR5","H610, B650, H670, Z690, H710, B750, H770, Z790","Jan 4th, 2023",0.5601171098341672,Unknown,True,0.3552456839309429,False,0.3625772377368911,False,10,4.6,20.0,65
44,AMD Ryzen 3 4100,63.96,0.047619047619047616,3.8,0.5454545454545454,0.8431372549019608,,True,Renoir,AM4,7,0.027450980392156862,DDR4,"A320, B350, X370, B450, X470, A520, B550, X570","Apr 4th, 2022",0.2466953614892175,Unknown,True,0.1424302788844621,True,0.1544409541233732,False,4,4.0,8.0,65
45,AMD Ryzen 9 7900,391.31,0.1746031746031746,3.6,0.8636363636363636,0.8431372549019608,Radeon,True,Raphael,AM5,5,0.24705882352941178,DDR5,"X670E, X670, B650E, B650","Jan 14th, 2023",0.7989250365968231,Unknown,True,0.5790172642762283,True,0.7158514273878974,False,12,5.4,64.0,65
46,Intel Core i5-12600KF,219.0,0.14285714285714285,3.7,0.7500000000000001,0.607843137254902,,True,Alder Lake-S,1700,10,0.07450980392156863,"DDR4, DDR5","Z690. H670, B660, H610","Nov 4th, 2021",0.5846752168498328,Desktop,False,0.398406375,False,0.3921433256239428,False,10,4.9,20.0,125
47,Intel Core i5-11400F,130.97,0.07936507936507936,2.6,0.6363636363636364,0.8431372549019608,,True,Rocket Lake,1200,14,0.043137254901960784,DDR4,"H510, B560, H570, Q570, W580, Z590, Q470, H470, W480, Z490","Mar 16th, 2021",0.3667766392099456,Desktop,False,0.2375498007968127,True,0.2580517104491007,False,6,4.4,12.0,65
48,AMD Ryzen 9 7900X3D,521.74,0.1746031746031746,4.4,0.9090909090909091,0.6274509803921569,Radeon,True,Raphael,AM5,5,0.4980392156862745,DDR5,"X670E, X670, B650E, B650, A620","Jan 4th, 2023",0.8256898774279534,Unknown,True,0.5747011952191234,True,0.7302461251682832,False,12,5.6,128.0,120
49,Intel Core i7-9700K,339.0,0.1111111111111111,3.6,0.7500000000000001,0.7254901960784313,Intel UHD Graphics 630,False,Coffee Lake,1151,14,0.043137254901960784,DDR4,,"Oct 19th, 2018",0.3085931525705171,Desktop,False,0.2197875166002656,False,0.2325071628292312,False,8,4.9,12.0,95
50,AMD Ryzen 5 2600,165.0,0.07936507936507936,3.4,0.5227272727272727,0.8431372549019608,,True,Zen,AM4,12,0.058823529411764705,DDR4,"A320, B350, X370, B450, X470, A520, B550, X570","Apr 19th, 2018",0.2789879612838384,Desktop,False,0.1849269588313412,False,0.2035451689737305,False,6,3.9,16.0,65
51,Intel Core i7-11700K,272.87,0.1111111111111111,3.6,0.7727272727272726,0.607843137254902,Intel UHD Graphics 750,True,Rocket Lake,1200,14,0.058823529411764705,DDR4,"H510, B560, Z590, Q470, H470, W480, Z490","Mar 16th, 2021",0.5314295702331272,Desktop,False,0.3839641434262948,True,0.3715350892333183,False,8,5.0,16.0,125
52,AMD Ryzen 3 3200G,72.75,0.047619047619047616,3.6,0.5454545454545454,0.8431372549019608,Radeon Vega 8,False,Picasso,AM4,12,0.011764705882352941,DDR4,,"Jul 7th, 2019",0.144442745,Desktop,False,0.067895086,False,0.092529946,False,4,4.0,4.0,65
53,AMD Ryzen 5 3600X,210.0,0.07936507936507936,3.8,0.6363636363636364,0.7254901960784313,,True,Matisse,AM4,7,0.12156862745098039,DDR4,"A300, X300, A320, B350, X370, B450, X470, A520, B550, X570","Jul 7th, 2019",0.3901986060433918,Desktop,False,0.2408698539176626,False,0.2498187717905347,False,6,4.4,32.0,95
54,Intel Core i7-10700K,283.95,0.1111111111111111,3.8,0.7954545454545453,0.607843137254902,Intel UHD Graphics 630,True,Comet Lake,1200,14,0.058823529411764705,DDR4,"H410, B460, H470, Z490","Apr 30th, 2020",0.4118726649041928,Desktop,False,0.3565737051792829,False,0.3224136145534882,False,8,5.1,16.0,125
55,Intel Core i9-9900K,565.0,0.1111111111111111,3.6,0.7727272727272726,0.7254901960784313,Intel UHD Graphics 630,True,Coffee Lake-R,1151,14,0.058823529411764705,DDR4,,"Oct 19th, 2018",0.39961546,Desktop,False,0.3401394422310756,False,0.3068107287100003,False,8,5.0,16.0,95
56,Intel Core i5-11600K,184.0,0.07936507936507936,3.9,0.7500000000000001,0.607843137254902,Intel UHD Graphics 750,True,Rocket Lake,1200,14,0.043137254901960784,DDR4,"H510, B560, H570, Q570, W580, Z590, Q470, H470, W480, Z490","Mar 16th, 2021",0.4228844851318578,Desktop,False,0.3145750332005311,True,0.2808174255238357,False,6,4.9,12.0,125
57,AMD Ryzen 7 2700X,220.0,0.1111111111111111,3.7,0.6136363636363635,0.6862745098039216,,True,Zen,AM4,12,0.058823529411764705,DDR4,"A320, B350, X370, B450, X470, A520, B550, X570","Apr 19th, 2018",0.3669514300072101,Desktop,False,0.2690903054448871,False,0.2786081673513065,False,8,4.3,16.0,105
58,AMD Ryzen 9 3900X,365.0,0.1746031746031746,3.8,0.6818181818181818,0.6862745098039216,,True,Matisse,AM4,7,0.24705882352941178,DDR4,"A300, X300, A320, B350, X370, B450, X470, A520, B550, X570","Jul 7th, 2019",0.7062640651969674,Desktop,False,0.4933598937583001,False,0.4944768545686768,False,12,4.6,64.0,105
59,Intel Core i7-8700K,279.0,0.07936507936507936,3.7,0.7045454545454545,0.7254901960784313,Intel UHD Graphics 630,True,Coffee Lake,1151,14,0.043137254901960784,DDR4,,"Oct 5th, 2017",0.2932989578098713,Desktop,False,0.2076693227091633,False,0.2308156995408885,False,6,4.7,12.0,95
60,Intel Core i7-13700,379.0,0.23809523809523808,2.1,0.8181818181818182,0.8431372549019608,Intel UHD Graphics 770,True,Raptor Lake-S,1700,10,0.11372549019607843,"DDR4, DDR5","H610, B660, H670, Q670, Z690, W680, B760, H770, Z790","Jan 4th, 2023",0.8450698070746575,Unknown,True,0.6439243027888446,True,0.4101108081052159,False,16,5.2,30.0,65
61,Intel Core i3-12100,114.99,0.047619047619047616,3.3,0.6136363636363635,0.8627450980392157,Intel UHD Graphics 730,True,Alder Lake-S,1700,10,0.043137254901960784,"DDR4, DDR5","H610, B650, H670, Z690, H710, B750, H770, Z790","Jan 4th, 2022",0.3075662566365881,Desktop,False,0.197211155,True,0.2111740136007456,False,4,4.3,12.0,60
62,Intel Core i5-9400F,135.0,0.07936507936507936,2.9,0.568181818181818,0.8431372549019608,,False,Coffee Lake,1151,14,0.03137254901960784,DDR4,,"Jan 8th, 2019",0.1992178111822412,"Desktop, Laptop",False,0.1313081009296148,False,0.1523352549276813,False,6,4.1,9.0,65
63,Intel Core i7-13700F,349.99,0.23809523809523808,2.1,0.8181818181818182,0.8431372549019608,,True,Raptor Lake-S,1700,10,0.11372549019607843,"DDR4, DDR5","H610, B650, H670, Z690, H710, B750, H770, Z790","Jan 4th, 2023",0.8450698070746575,Unknown,True,0.6439243027888446,True,0.5698505298767649,False,16,5.2,30.0,65
64,Intel Core i7-7700K,310.0,0.047619047619047616,4.2,0.6590909090909091,0.7411764705882353,Intel HD Graphics 630,True,Kaby Lake,1151,14,0.027450980392156862,DDR4,,"Jan 3rd, 2017",0.2017085800432607,Desktop,False,0.1326361221779548,False,0.1657461424281128,False,4,4.5,8.0,91
65,Intel Core i3-13100,138.94,0.047619047619047616,3.4,0.6590909090909091,0.8627450980392157,Intel UHD Graphics 730,True,Raptor Lake-S,1700,10,0.043137254901960784,"DDR4, DDR5","H610, B650, H670, Z690, H710, B750, H770, Z790","Jan 4th, 2023",0.311564596,Unknown,True,0.2030212483399734,True,0.2054955297041665,False,4,4.5,12.0,60
66,Intel Core i7-12700F,284.99,0.1746031746031746,2.1,0.7500000000000001,0.8431372549019608,,True,Alder Lake-S,1700,10,0.09411764705882353,"DDR4, DDR5","H610, B650, H670, Z690, H710, B750, H770, Z790","Jan 4th, 2022",0.6957110708121217,Desktop,False,0.4873837981407702,True,0.441558217,False,12,4.9,25.0,65
67,AMD Ryzen 7 3800X,275.99,0.1111111111111111,3.9,0.6590909090909091,0.6862745098039216,,True,Matisse,AM4,7,0.12156862745098039,DDR4,"A300, X300, A320, B350, X370, B450, X470, A520, B550, X570","Jul 7th, 2019",0.4992243658371387,Desktop,False,0.3268592297476759,False,0.3204459939935793,False,8,4.5,32.0,105
68,Intel Core i9-11900K,299.0,0.1111111111111111,3.5,0.8409090909090907,0.607843137254902,Intel UHD Graphics 750,True,Rocket Lake,1200,14,0.058823529411764705,DDR4,"H510, B560, H570, Q570, W580, Z590, Q470, H470, W480, Z490","Mar 16th, 2021",0.548690161,Desktop,False,0.3849601593625498,False,0.3830819151506782,False,8,5.3,16.0,125
69,Intel Core i5-10400,131.13,0.07936507936507936,2.9,0.6136363636363635,0.8431372549019608,Intel UHD Graphics 630,True,Comet Lake,1200,14,0.043137254901960784,DDR4,,"Apr 30th, 2020",0.2598702178330311,Desktop,False,0.1900730411686587,False,0.199868825,False,6,4.3,12.0,65
