name,Blender Score,Number of Benchmarks
AMD Ryzen 7 PRO 4750U,109.4,2
AMD Ryzen 5 2600,108.93,82
Intel Core i7-8700,108.85,28
Intel Core i7-6800K,108.31,2
Intel Core i7-7800X,108.23,2
AMD EPYC 7773X,108.17,1
Intel Core i7-9700F,106.97,2
Intel Core i5-10400,106.8,18
Intel Core i9-11900H,106.79,14
Intel Xeon D-1541,106.5,1
Intel Xeon E5-2690 v2,106.45,1
Intel Xeon E5-2640 v3,105.81,4
Intel Core i5-10600,105.54,1
Intel Core i7-9700,105.07,15
Intel Xeon E5-2697 v2,104.04,10
Intel Core i7-10870H,103.4,12
Intel Xeon E-2234,103.36,1
Intel Xeon W-2235,103.16,2
Intel Xeon E5-2696 v2,102.94,3
AMD Ryzen 5 5500U,102.91,38
Intel Core i3-10105,102.08,1
Intel Core i5-8600K,101.55,28
Intel Xeon W-2133,101.4,1
Intel Core i7-8700B,100.33,4
Intel Core i5-10505,99.89,1
Intel Core i7-1355U,99.81,12
Intel Xeon E-2176M,99.25,2
AMD Ryzen 5 1600X,98.93,4
Intel Core i7-1365U,97.56,1
Intel Xeon E-2276M ,97.37,1
AMD Ryzen 7 4700U,96.93,3
AMD Ryzen 5 1600,96.78,10
AMD Ryzen 5 PRO 4650U,96.73,4
Intel Core i5-9600KF,96.47,8
Intel Xeon E5-2630L v3,96.37,1
Intel Core i7-5930K,95.7,2
Intel Xeon E5-1650 v3,95.57,1
Westmere E56xx/L56xx/X56xx (Nehalem-C),95.48,1
Apple M1,95.17,87
Intel Xeon X5675 ,57.024,4
AMD Ryzen 5 6600HS Creator Edition,94.62,7
Intel Xeon E5-2630,56.76,1
Intel Core i7-5820K,93.84,10
Intel Core i5-9600K,93.03,30
Intel Core i5-8600,92.16,5
Intel Xeon E5-1680 v2,90.67,1
Intel Core i7-10750H,90.49,37
AMD Ryzen 5 7530U,90.41,5
AMD Ryzen 3 PRO 5350GE,89.46,3
AMD Ryzen 3 3300X,89.18,3
Intel Core i7-1265U,89.06,9
Intel Core i5-10500H,88.18,3
Intel Core i5-1335U,87.85,7
Intel Core i7-8850H,87.65,8
AMD Ryzen 5 3500,87.5,12
Intel Xeon X5650 ,52.458000000000006,2
Intel Core i7-7700K,87.03,18
Intel Xeon X5670,52.145999999999994,2
Intel Xeon E5-2670 v2,86.48,2
Intel Core i5-8500B,86.32,5
AMD Ryzen 5 5625U,85.89,5
AMD EPYC 7401P,85.32,1
Intel Core i7-9750HF,85.21,1
Intel Core i5-12600,85.19,2
Intel Core i7-7700,85.04,18
Intel Core i5-8500,84.5,6
Intel Core i7-8809G,83.12,2
Intel Core i7-9750H,82.61,52
Intel Core i7-10850H,81.8,3
Intel Core i3-10100F,81.5,21
Intel Core i5-8400T,80.67,1
Intel Core i7-7700T,80.63,5
AMD Ryzen 3 4100,80.48,3
Intel Core i7-6700K,79.98,31
Intel Core i7-9850H,79.87,4
Genuine Intel 0000,79.78,1
AMD Ryzen 5 3500X,79.69,38
Intel Xeon E5-2430 0,47.79,2
Intel Core i7-8750H,79.44,47
Intel Core i5-9400F,79.26,22
AMD Ryzen 3 3100,78.55,8
Intel Xeon E5-2650 0,47.04,1
Intel Core i5-1235U,78.33,6
Intel Xeon W-2125,78.22,1
Intel Core i5-9500,77.22,2
Intel Xeon E5-2667 v2,76.51,3
AMD Ryzen 5 Microsoft Surface Edition,76.4,2
Intel Core i3-10105F,76.1,5
Intel Core i5-8400,76.1,10
Intel Core i3-10320,75.73,1
AMD EPYC 7543P,75.67,4
Intel Core i5-11320H,75.45,3
Intel Xeon Silver 4215R,75.34,1
Intel Core i5-1240P,75.1,9
AMD Ryzen 5 4500U,74.79,4
Intel Core i5-10400H,74.69,1
Intel Xeon E3-1280 v5,74.57,1
Intel Xeon E-2244G,73.79,1
Intel Core i7-3960X,73.66,3
Intel Core i3-10100,73.15,3
Intel Core i7-4790K,72.81,29
Intel Core i5-11300H,72.79,10
Intel Core i5-8259U,72.41,4
Intel Core i5-9400,72.39,3
Intel Core i7-1255U,72.39,16
Intel Xeon E5-2660 v2,72.11,1
Intel Core i7-8559U,71.68,2
Intel Core i7-7920HQ,71.57,2
Intel Xeon E3-1230 v3,71.49,1
AMD Custom APU 0405,71.38,19
Intel Xeon E5-2689 0,71.21,1
Intel Xeon E5-2620 v3,71.11,4
Intel Xeon E3-1245 v5,71.03,1
Intel Core i7-6700,70.55,22
AMD Ryzen 5 3400G,70.49,12
Intel Xeon E5-1650 v2,70.44,7
Intel Core i7-4770K,69.26,10
Intel Core i5-1038NG7,69.25,8
Intel Core i9-8950HK,69.2,3
Intel Xeon E3-1230 v5,68.69,1
Intel Core i5-10200H,68.36,2
AMD EPYC 9354,20.255999999999997,1
Intel Core i7-7820HK,67.5,3
Intel Xeon E3-1505M v6,67.5,2
AMD Ryzen 5 PRO 3400G,67.47,2
Intel Xeon E5-1630 v3,67.31,1
AMD Ryzen 5 1500X,66.85,5
Intel Core i7-1165G7,66.39,33
Intel Xeon W-2123,66.01,1
Intel Xeon E5-2690,65.44,1
Intel Core i7-3930K,64.79,8
Intel Core i7-11370H,64.42,9
Intel Core i7-4790,64.05,30
Intel Xeon E5-2650 v2,63.74,2
Intel Core i3-1215U,63.7,4
AMD Ryzen 7 3750H with Radeon Vega Mobile Gfx,63.49,3
Intel Xeon E3-1505M v5,62.66,1
Intel Core i5-9400T,61.59,2
AMD Ryzen 5 PRO 3400GE,61.37,1
Intel Xeon E3-1276 v3,60.89,1
Intel Core i7-7700HQ,60.3,27
Intel Core i7-4770,60.17,6
Intel Core i5-10300H,59.9,34
Intel Core i5-7600K,59.64,8
Intel Core i7-6820HQ,59.07,7
Intel Xeon X5675,58.99,2
Intel Core i5-8500T,58.86,3
Intel Core i3-8100,58.74,2
AMD Ryzen 3 PRO 3200G,58.71,2
Intel Core i7-4980HQ,58.46,4
Intel Core i7-4930K,58.41,3
Intel Core i7-1185G7,57.97,9
Intel Core i7-6700HQ,57.97,12
AMD Ryzen 3 5300U,57.65,1
Intel Core i7-4790S,57.42,3
Intel Core i7-4940MX,57.39,1
Intel Core i7-4850HQ,57.33,3
Intel Core i7-6700T,57.29,1
Intel Core i5-8257U,56.82,2
Intel Core i7-4770HQ,56.66,7
Intel Core i5-6600,56.53,4
Intel Core i7-4870HQ,56.4,9
Intel Core i7-4710HQ,55.95,1
AMD Ryzen 5 1400,55.67,4
Intel Core i5-1145G7,55.38,3
Intel Xeon W3690,54.92,1
AMD Ryzen Embedded R2514,54.8,4
AMD Ryzen 5 3550H with Radeon Vega Mobile Gfx,54.79,7
Intel Core i7-4960X,54.5,1
10X Virtual,54.18,1
